"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920013",44,29,10,12,16,20,41,58,32,48,31,42,7,4,23,22,28,59.9666666666667,"ATL","WSH","14162","1","2008200920013",41.41,41.02,58.03,-17,99.06,40,32.02,48.03,-16,80.04,42.47,31.02,42.02,-11,63.64,7,4,3,45.1,113.06,60.27,96.88,75.61,22.58,21.88,90.48,1,6,9,10,2008-10-10
"2008200920021",32,34,6,7,16,24,47,61,40,51,33,39,2,3,22,18,26,63.8833333333333,"ATL","FLA","14163","0","2008200920021",43.52,44.14,57.29,-14,101.43,43.96,37.57,47.9,-11,85.47,45.83,30.99,36.63,-6,40,1.88,2.82,-1,45.83,98.37,48.48,82.5,70.21,6.06,5,92.31,7,12,7,10,2008-10-11
"2008200920040",25,34,5,4,6,10,51,44,43,36,26,26,2,4,23,21,15,60,"ATL","MIN","14166","1","2008200920040",53.68,51,44,7,95,54.43,43,36,7,79,50,26,26,0,33.33,2,4,-2,60.53,92.31,42.37,60.47,50.98,7.69,4.65,84.62,17,10,8,8,2008-10-14
"2008200920049",26,21,3,5,8,6,47,63,37,45,25,35,0,1,14,12,21,59.9333333333333,"ATL","N.J","14168","1","2008200920049",42.73,47.05,63.07,-16,110.12,45.12,37.04,45.05,-8,82.09,41.67,25.03,35.04,-10,0,0,1,-1,40,97.14,55.32,67.57,53.19,0,0,97.14,12,10,10,18,2008-10-16
"2008200920068",40,27,7,8,10,10,72,55,55,41,37,30,2,2,28,19,20,65,"ATL","BUF","14170","1","2008200920068",56.69,66.46,50.77,17,117.23,57.29,50.77,37.85,14,88.62,55.22,34.15,27.69,7,50,1.85,1.85,0,58.33,98.74,59.7,67.27,51.39,5.41,3.64,93.33,18,11,17,14,2008-10-18
"2008200920085",28,32,5,3,10,13,62,58,45,49,33,38,2,3,23,13,24,61.6833333333333,"ATL","T.B","14173","0","2008200920085",51.67,60.31,56.42,4,116.73,47.87,43.77,47.66,-4,91.43,46.48,32.1,36.96,-5,40,1.95,2.92,-1,48.94,98.17,46.67,73.33,53.23,6.06,4.44,92.11,12,11,17,9,2008-10-21
"2008200920103",23,38,4,7,18,6,51,61,46,51,33,46,3,5,20,18,23,59.9833333333333,"ATL","DET","14176","0","2008200920103",45.54,51.01,61.02,-10,112.03,47.42,46.01,51.01,-5,97.03,41.77,33.01,46.01,-13,37.5,3,5,-2,46.51,98.22,37.7,71.74,64.71,9.09,6.52,89.13,13,5,5,10,2008-10-24
"2008200920105",26,35,6,5,20,15,49,61,40,47,32,33,4,5,17,26,18,59.9833333333333,"ATL","BOS","14177","0","2008200920105",44.55,49.01,61.02,-12,110.03,45.98,40.01,47.01,-7,87.02,49.23,32.01,33.01,-1,44.44,4,5,-1,48.57,97.35,42.62,80,65.31,12.5,10,84.85,8,14,9,14,2008-10-25
"2008200920127",29,27,8,6,7,11,40,50,30,41,24,30,0,7,18,18,20,59.9833333333333,"ATL","PHI","14180","1","2008200920127",44.44,40.01,50.01,-10,90.03,42.25,30.01,41.01,-11,71.02,44.44,24.01,30.01,-6,0,0,7,-7,47.37,76.67,51.79,80,60,0,0,76.67,6,11,10,9,2008-10-28
"2008200920137",30,26,7,5,27,28,58,65,41,50,29,33,2,3,14,18,24,60,"ATL","NYR","14182","0","2008200920137",47.15,58,65,-7,123,45.05,41,50,-9,91,46.77,29,33,-4,40,2,3,-1,36.84,97.81,53.57,70.73,50,6.9,4.88,90.91,12,17,17,15,2008-10-30
"2008200920154",34,25,7,4,9,8,42,46,32,40,20,32,1,6,16,19,24,60,"ATL","N.J","14184","0","2008200920154",47.73,42,46,-4,88,44.44,32,40,-8,72,38.46,20,32,-12,14.29,1,6,-5,40,86.25,57.63,62.5,47.62,5,3.12,81.25,12,8,10,6,2008-11-01
"2008200920164",28,30,3,4,10,12,54,44,44,34,31,21,5,3,15,23,20,59.9833333333333,"ATL","FLA","14185","1","2008200920164",55.1,54.02,44.01,10,98.03,56.41,44.01,34.01,10,78.02,59.62,31.01,21.01,10,62.5,5,3,2,42.86,101.84,48.28,70.45,57.41,16.13,11.36,85.71,13,13,10,10,2008-11-02
"2008200920184",42,24,5,4,17,6,50,52,40,39,27,27,4,3,24,19,23,59.9833333333333,"ATL","NYI","14189","1","2008200920184",49.02,50.01,52.01,-2,102.03,50.63,40.01,39.01,1,79.02,50,27.01,27.01,0,57.14,4,3,1,51.06,103.7,63.64,67.5,54,14.81,10,88.89,13,12,10,13,2008-11-06
