"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920006",30,36,5,2,17,34,38,69,28,47,20,39,5,4,13,23,30,59.9333333333333,"BOS","COL","14161","0","2008200920006",35.51,38.04,69.08,-31,107.12,37.33,28.03,47.05,-19,75.08,33.9,20.02,39.04,-19,55.56,5.01,4,1,30.23,114.74,45.45,71.43,52.63,25,17.86,89.74,8,8,10,22,2008-10-09
"2008200920025",32,19,4,5,16,15,63,44,52,36,37,26,3,4,18,18,15,59.9333333333333,"BOS","MIN","14163","0","2008200920025",58.88,63.07,44.05,19,107.12,59.09,52.06,36.04,16,88.1,58.73,37.04,26.03,11,42.86,3,4,-1,54.55,92.72,62.75,71.15,58.73,8.11,5.77,84.62,15,10,11,8,2008-10-11
"2008200920045",27,36,7,9,26,30,73,63,47,41,34,28,3,3,22,22,19,64.9666666666667,"BOS","MTL","14167","0","2008200920045",53.68,67.42,58.18,10,125.6,53.41,43.41,37.87,6,81.27,54.84,31.4,25.86,6,50,2.77,2.77,0,53.66,98.11,42.86,72.34,46.58,8.82,6.38,89.29,13,13,26,22,2008-10-15
"2008200920065",29,20,5,2,27,25,48,55,36,35,27,23,4,2,7,20,22,59.95,"BOS","OTT","14170","0","2008200920065",46.6,48.04,55.05,-7,103.09,50.7,36.03,35.03,1,71.06,54,27.02,23.02,4,66.67,4,2,2,24.14,106.12,59.18,75,56.25,14.81,11.11,91.3,9,12,12,20,2008-10-18
"2008200920078",31,35,5,7,20,20,64,45,48,36,36,32,1,1,29,18,19,64.8666666666667,"BOS","PIT","14172","1","2008200920078",58.72,59.2,41.62,19,100.82,57.14,44.4,33.3,12,77.7,52.94,33.3,29.6,4,50,0.92,0.92,0,60.42,99.65,46.97,75,56.25,2.78,2.08,96.88,12,4,16,9,2008-10-20
"2008200920082",32,23,4,6,17,20,54,51,42,37,32,30,2,2,18,17,20,64.9666666666667,"BOS","BUF","14173","0","2008200920082",51.43,49.87,47.1,3,96.97,53.16,38.79,34.17,5,72.96,51.61,29.55,27.71,2,50,1.85,1.85,0,47.37,99.58,58.18,76.19,59.26,6.25,4.76,93.33,10,7,12,14,2008-10-21
"2008200920092",32,33,7,4,23,15,58,57,39,47,28,37,2,4,22,21,22,60,"BOS","TOR","14175","1","2008200920092",50.43,58,57,1,115,45.35,39,47,-8,86,43.08,28,37,-9,33.33,2,4,-2,50,96.33,49.23,71.79,48.28,7.14,5.13,89.19,11,10,19,10,2008-10-23
"2008200920105",35,26,5,6,15,20,61,49,47,40,33,32,5,4,18,26,17,59.9833333333333,"BOS","ATL","14177","1","2008200920105",55.45,61.02,49.01,12,110.03,54.02,47.01,40.01,7,87.02,50.77,33.01,32.01,1,55.56,5,4,1,51.43,102.65,57.38,70.21,54.1,15.15,10.64,87.5,14,8,14,9,2008-10-25
"2008200920124",25,27,3,5,13,11,64,57,48,39,36,27,1,0,22,11,19,63.2833333333333,"BOS","EDM","14179","0","2008200920124",52.89,60.68,54.04,7,114.72,55.17,45.51,36.98,9,82.49,57.14,34.13,25.6,9,100,0.95,0,1,53.66,102.78,48.08,75,56.25,2.78,2.08,100,12,12,16,18,2008-10-27
"2008200920131",27,30,3,2,19,10,46,61,35,43,30,31,1,0,20,16,21,60,"BOS","VAN","14180","0","2008200920131",42.99,46,61,-15,107,44.87,35,43,-8,78,49.18,30,31,-1,100,1,0,1,48.78,103.33,47.37,85.71,65.22,3.33,2.86,100,5,12,11,18,2008-10-28
"2008200920144",29,29,5,3,19,18,56,65,52,51,31,38,2,3,14,19,25,59.9833333333333,"BOS","CGY","14182","0","2008200920144",46.28,56.02,65.02,-9,121.03,50.49,52.01,51.01,1,103.03,44.93,31.01,38.01,-7,40,2,3,-1,35.9,98.56,50,59.62,55.36,6.45,3.85,92.11,21,13,4,14,2008-10-30
"2008200920151",45,24,15,12,17,26,46,47,35,42,25,36,5,1,24,20,25,59.9666666666667,"BOS","DAL","14184","1","2008200920151",49.46,46.03,47.03,-1,93.05,45.45,35.02,42.02,-7,77.04,40.98,25.01,36.02,-11,83.33,5,1,4,48.98,117.22,65.22,71.43,54.35,20,14.29,97.22,10,6,11,5,2008-11-01
"2008200920181",20,26,4,3,25,21,53,55,45,44,35,36,5,2,11,19,16,60,"BOS","TOR","14189","1","2008200920181",49.07,53,55,-2,108,50.56,45,44,1,89,49.3,35,36,-1,71.43,5,2,3,40.74,108.73,43.48,77.78,66.04,14.29,11.11,94.44,10,8,8,11,2008-11-06
"2008200920196",30,15,2,3,26,20,59,50,48,43,40,33,3,1,16,16,13,59.9666666666667,"BOS","BUF","14191","1","2008200920196",54.13,59.03,50.03,9,109.06,52.75,48.03,43.02,5,91.05,54.79,40.02,33.02,7,75,3,1,2,55.17,104.47,66.67,83.33,67.8,7.5,6.25,96.97,8,10,11,7,2008-11-08
"2008200920226",37,31,10,9,11,20,59,50,42,38,39,32,1,1,27,19,22,64.9666666666667,"BOS","CHI","14195","0","2008200920226",54.13,54.49,46.18,9,100.67,52.5,38.79,35.09,4,73.88,54.93,36.02,29.55,7,50,0.92,0.92,0,55.1,99.44,54.41,92.86,66.1,2.56,2.38,96.88,3,6,17,12,2008-11-12
"2008200920228",30,25,3,5,17,28,56,43,38,34,31,28,6,1,16,24,15,59.9666666666667,"BOS","MTL","14196","1","2008200920228",56.57,56.03,43.02,13,99.06,52.78,38.02,34.02,4,72.04,52.54,31.02,28.02,3,85.71,6,1,5,51.61,115.78,54.55,81.58,55.36,19.35,15.79,96.43,7,6,18,9,2008-11-13
"2008200920245",29,32,7,3,37,38,39,71,32,56,25,31,2,2,14,19,28,64.9666666666667,"BOS","NYR","14198","0","2008200920245",35.45,36.02,65.57,-32,101.59,36.36,29.55,51.72,-24,81.27,44.64,23.09,28.63,-6,50,1.85,1.85,0,33.33,101.55,47.54,78.12,64.1,8,6.25,93.55,7,25,7,15,2008-11-15
"2008200920268",32,27,4,7,20,26,51,44,38,39,23,29,7,4,16,28,15,59.9333333333333,"BOS","BUF","14202","1","2008200920268",53.68,51.06,44.05,7,95.11,49.35,38.04,39.04,-1,77.09,44.23,23.03,29.03,-6,63.64,7.01,4,3,51.61,116.64,54.24,60.53,45.1,30.43,18.42,86.21,15,10,13,5,2008-11-19
"2008200920279",47,28,6,4,25,25,55,50,47,39,39,32,4,2,21,27,27,59.95,"BOS","FLA","14204","1","2008200920279",52.38,55.05,50.04,5,105.09,54.65,47.04,39.03,8,86.07,54.93,39.03,32.03,7,66.67,4,2,2,43.75,104.01,62.67,82.98,70.91,10.26,8.51,93.75,8,7,8,11,2008-11-21
"2008200920289",32,33,5,3,23,49,56,77,41,48,27,35,2,2,17,23,25,64.9833333333333,"BOS","MTL","14205","0","2008200920289",42.11,51.71,71.1,-21,122.8,46.07,37.86,44.32,-7,82.17,43.55,24.93,32.32,-8,50,1.85,1.85,0,40.48,101.69,49.23,65.85,48.21,7.41,4.88,94.29,14,13,15,29,2008-11-22
"2008200920309",29,25,3,3,27,32,56,45,43,37,29,23,2,3,20,19,15,59.9833333333333,"BOS","BUF","14209","0","2008200920309",55.45,56.02,45.01,11,101.03,53.75,43.01,37.01,6,80.02,55.77,29.01,23.01,6,40,2,3,-1,57.14,93.85,53.7,67.44,51.79,6.9,4.65,86.96,14,14,13,8,2008-11-26
"2008200920323",30,29,6,6,23,27,67,37,53,32,39,24,7,2,20,23,16,59.9666666666667,"BOS","NYI","14211","1","2008200920323",64.42,67.04,37.02,30,104.06,62.35,53.03,32.02,21,85.05,61.9,39.02,24.01,15,77.78,7,2,5,55.56,109.62,50.85,73.58,58.21,17.95,13.21,91.67,14,8,14,5,2008-11-28
"2008200920336",24,23,4,1,22,20,30,56,27,41,19,30,4,1,11,15,21,59.9666666666667,"BOS","DET","14212","1","2008200920336",34.88,30.02,56.03,-26,86.05,39.71,27.02,41.02,-14,68.04,38.78,19.01,30.02,-11,80,4,1,3,34.38,117.72,51.06,70.37,63.33,21.05,14.81,96.67,8,11,3,15,2008-11-29
"2008200920370",25,31,3,1,21,27,47,60,37,43,26,31,3,1,15,23,18,60,"BOS","T.B","14217","0","2008200920370",43.93,47,60,-13,107,46.25,37,43,-6,80,45.61,26,31,-5,75,3,1,2,45.45,108.31,44.64,70.27,55.32,11.54,8.11,96.77,11,12,10,17,2008-12-04
"2008200920385",36,28,2,4,20,24,61,44,49,37,32,27,4,0,23,23,18,59.9833333333333,"BOS","FLA","14219","0","2008200920385",58.1,61.02,44.01,17,105.03,56.98,49.01,37.01,12,86.02,54.24,32.01,27.01,5,100,4,0,4,56.1,112.5,56.25,65.31,52.46,12.5,8.16,100,17,10,12,7,2008-12-06
"2008200920397",34,25,4,7,17,17,43,45,36,35,23,29,5,3,20,24,15,59.95,"BOS","T.B","14221","1","2008200920397",48.86,43.04,45.04,-2,88.07,50.7,36.03,35.03,1,71.06,44.23,23.02,29.02,-6,62.5,5,3,2,57.14,111.39,57.63,63.89,53.49,21.74,13.89,89.66,13,6,7,10,2008-12-08
"2008200920407",28,44,2,3,31,29,67,50,49,37,34,25,1,3,32,21,19,59.9666666666667,"BOS","WSH","14223","0","2008200920407",57.26,67.04,50.03,17,117.07,56.98,49.03,37.02,12,86.05,57.63,34.02,25.01,9,25,1,3,-2,62.75,90.94,38.89,69.39,50.75,2.94,2.04,88,15,12,18,13,2008-12-10
"2008200920425",30,37,7,8,7,15,46,62,36,51,25,33,7,3,23,24,20,60,"BOS","ATL","14225","0","2008200920425",42.59,46,62,-16,108,41.38,36,51,-15,87,43.1,25,33,-8,70,7,3,4,53.49,118.91,44.78,69.44,54.35,28,19.44,90.91,11,18,10,11,2008-12-12
