"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920012",34,30,5,6,14,20,64,59,47,46,36,28,1,1,27,12,25,64.9333333333333,"BUF","MTL","14162","1","2008200920012",52.03,59.14,54.52,5,113.66,50.54,43.43,42.51,1,85.93,56.25,33.26,25.87,8,50,0.92,0.92,0,51.92,99.21,53.12,76.6,56.25,2.78,2.13,96.43,11,18,17,13,2008-10-10
"2008200920033",20,40,15,19,15,26,61,48,42,35,35,24,7,1,22,23,15,59.9833333333333,"BUF","NYI","14165","0","2008200920033",55.96,61.02,48.01,13,109.03,54.55,42.01,35.01,7,77.02,59.32,35.01,24.01,11,87.5,7,1,6,59.46,115.83,33.33,83.33,57.38,20,16.67,95.83,7,11,19,13,2008-10-13
"2008200920044",23,27,5,6,11,16,33,50,24,32,19,20,3,1,10,20,20,59.9333333333333,"BUF","NYR","14167","0","2008200920044",39.76,33.04,50.06,-17,83.09,42.86,24.03,32.04,-8,56.06,48.72,19.02,20.02,-1,75,3,1,2,33.33,110.79,46,79.17,57.58,15.79,12.5,95,5,12,9,18,2008-10-15
"2008200920059",24,24,5,8,25,17,55,50,39,36,31,25,5,2,13,20,15,59.9666666666667,"BUF","VAN","14169","1","2008200920059",52.38,55.03,50.03,5,105.06,52,39.02,36.02,3,75.04,55.36,31.02,25.01,6,71.43,5,2,3,46.43,108.13,50,79.49,56.36,16.13,12.82,92,8,11,16,14,2008-10-17
"2008200920068",27,40,8,7,10,10,55,72,41,55,30,37,2,2,20,19,28,65,"BUF","ATL","14170","0","2008200920068",43.31,50.77,66.46,-17,117.23,42.71,37.85,50.77,-14,88.62,44.78,27.69,34.15,-7,50,1.85,1.85,0,41.67,101.26,40.3,73.17,54.55,6.67,4.88,94.59,11,18,14,17,2008-10-18
"2008200920082",23,32,6,4,20,17,51,54,37,42,30,32,2,2,20,17,18,64.9666666666667,"BUF","BOS","14173","1","2008200920082",48.57,47.1,49.87,-3,96.97,46.84,34.17,38.79,-5,72.96,48.39,27.71,29.55,-2,50,1.85,1.85,0,52.63,100.42,41.82,81.08,58.82,6.67,5.41,93.75,7,10,14,12,2008-10-21
"2008200920096",27,28,3,2,13,26,41,50,33,39,24,33,4,3,11,28,16,60.7,"BUF","MIN","14175","0","2008200920096",45.05,40.53,49.42,-9,89.95,45.83,32.62,38.55,-6,71.17,42.11,23.72,32.62,-9,57.14,3.95,2.97,1,40.74,107.58,49.09,72.73,58.54,16.67,12.12,90.91,9,6,8,11,2008-10-23
"2008200920117",25,26,3,3,15,31,62,61,46,48,30,29,1,1,20,14,17,64.95,"BUF","COL","14177","0","2008200920117",50.41,57.27,56.35,1,113.63,48.94,42.49,44.34,-2,86.84,50.85,27.71,26.79,1,50,0.92,0.92,0,54.05,99.89,49.02,65.22,48.39,3.33,2.17,96.55,16,19,16,13,2008-10-25
"2008200920120",21,37,10,14,11,10,59,49,34,35,27,28,2,5,18,25,15,59.9833333333333,"BUF","OTT","14179","1","2008200920120",54.63,59.02,49.01,10,108.03,49.28,34.01,35.01,-1,69.02,49.09,27.01,28.01,-1,28.57,2,5,-3,54.55,89.55,36.21,79.41,45.76,7.41,5.88,82.14,7,7,25,14,2008-10-27
"2008200920136",27,30,3,6,19,12,46,59,40,50,31,40,2,5,18,16,23,59.95,"BUF","T.B","14182","1","2008200920136",43.81,46.04,59.05,-13,105.09,44.44,40.03,50.04,-10,90.08,43.66,31.03,40.03,-9,28.57,2,5,-3,43.9,93.95,47.37,77.5,67.39,6.45,5,87.5,9,10,6,9,2008-10-30
