"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920011",33,31,6,4,25,27,55,73,39,49,24,33,6,4,19,26,19,59.9833333333333,"CAR","FLA","14162","1","2008200920011",42.97,55.02,73.02,-18,128.04,44.32,39.01,49.01,-10,88.02,42.11,24.01,33.01,-9,60,6,4,2,50,112.88,51.56,61.54,43.64,25,15.38,87.88,15,16,16,24,2008-10-10
"2008200920023",31,40,7,9,16,20,71,51,59,41,46,29,4,3,29,25,17,64.5333333333333,"CAR","T.B","14163","0","2008200920023",58.2,66.01,47.42,20,113.43,59,54.86,38.12,18,92.98,61.33,42.77,26.96,17,57.14,3.72,2.79,1,63.04,98.35,43.66,77.97,64.79,8.7,6.78,89.66,13,12,12,10,2008-10-11
"2008200920037",26,31,6,4,32,23,47,68,36,48,28,36,1,3,20,19,18,59.9416666666667,"CAR","DET","14165","1","2008200920037",40.87,47.05,68.07,-21,115.11,42.86,36.04,48.05,-12,84.08,43.75,28.03,36.04,-8,25,1,3,-2,52.63,95.24,45.61,77.78,59.57,3.57,2.78,91.67,8,12,11,20,2008-10-13
"2008200920062",25,33,3,5,28,35,52,45,41,37,26,24,3,4,19,20,19,63.35,"CAR","L.A","14169","0","2008200920062",53.61,49.25,42.62,7,91.87,52.56,38.83,35.04,4,73.88,52,24.63,22.73,2,42.86,2.84,3.79,-1,50,94.87,43.1,63.41,50,11.54,7.32,83.33,15,13,11,8,2008-10-17
"2008200920077",24,31,5,5,12,25,38,70,32,55,24,33,3,1,19,17,19,59.9666666666667,"CAR","ANA","14171","0","2008200920077",35.19,38.02,70.04,-32,108.06,36.78,32.02,55.03,-23,87.05,42.11,24.01,33.02,-9,75,3,1,2,50,109.47,43.64,75,63.16,12.5,9.38,96.97,8,22,6,15,2008-10-19
"2008200920094",26,30,3,4,33,20,50,55,33,43,25,35,1,4,21,16,19,59.95,"CAR","PIT","14175","0","2008200920094",47.62,50.04,55.05,-5,105.09,43.42,33.03,43.04,-10,76.06,41.67,25.02,35.03,-10,20,1,4,-3,52.5,92.57,46.43,75.76,50,4,3.03,88.57,8,8,17,12,2008-10-23
"2008200920108",31,20,9,4,25,16,58,95,40,73,28,60,4,3,10,16,25,60,"CAR","NYI","14177","0","2008200920108",37.91,58,95,-37,153,35.4,40,73,-33,113,31.82,28,60,-32,57.14,4,3,1,28.57,109.29,60.78,70,48.28,14.29,10,95,12,13,18,22,2008-10-25
"2008200920129",31,33,8,7,15,28,66,60,48,39,33,24,2,1,23,14,27,64.95,"CAR","MTL","14180","0","2008200920129",52.38,60.97,55.43,6,116.4,55.17,44.34,36.03,9,80.37,57.89,30.48,22.17,9,66.67,1.85,0.92,1,46,101.89,48.44,68.75,50,6.06,4.17,95.83,15,15,18,21,2008-10-28
"2008200920142",32,24,4,7,13,21,61,45,44,38,29,19,1,0,28,18,10,59.9166666666667,"CAR","STL","14182","0","2008200920142",57.55,61.08,45.06,16,106.15,53.66,44.06,38.05,6,82.11,60.42,29.04,19.03,10,100,1,0,1,73.68,103.45,57.14,65.91,47.54,3.45,2.27,100,15,19,17,7,2008-10-30
"2008200920150",34,27,4,7,26,21,61,58,48,41,34,32,1,3,17,21,23,59.9333333333333,"CAR","EDM","14184","1","2008200920150",51.26,61.07,58.06,3,119.13,53.93,48.05,41.05,7,89.1,51.52,34.04,32.04,2,25,1,3,-2,42.5,93.57,55.74,70.83,55.74,2.94,2.08,90.62,14,9,13,17,2008-11-01
