"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920015",35,27,10,5,26,28,42,61,34,45,27,31,5,4,14,25,23,64.5833333333333,"CBJ","DAL","14162","0","2008200920015",40.78,39.02,56.67,-19,95.69,43.04,31.59,41.81,-11,73.39,46.55,25.08,28.8,-4,55.56,4.65,3.72,1,37.84,105.62,56.45,79.41,64.29,18.52,14.71,87.1,7,14,8,16,2008-10-10
"2008200920027",35,30,10,6,13,24,69,51,45,36,29,30,1,3,24,22,19,59.9666666666667,"CBJ","PHX","14163","0","2008200920027",57.5,69.04,51.03,18,120.07,55.56,45.03,36.02,9,81.05,49.15,29.02,30.02,-1,25,1,3,-2,55.81,93.45,53.85,64.44,42.03,3.45,2.22,90,16,6,24,15,2008-10-11
"2008200920043",25,29,4,7,23,26,58,51,41,33,33,25,2,5,20,23,11,59.975,"CBJ","S.J","14166","0","2008200920043",53.21,58.02,51.02,7,109.05,55.41,41.02,33.01,8,74.03,56.9,33.01,25.01,8,28.57,2,5,-3,64.52,86.06,46.3,80.49,56.9,6.06,4.88,80,8,8,17,18,2008-10-14
"2008200920058",23,34,7,6,30,25,44,57,33,42,28,30,5,3,13,25,19,59.9666666666667,"CBJ","NSH","14169","1","2008200920058",43.56,44.02,57.03,-13,101.06,44,33.02,42.02,-9,75.04,48.28,28.02,30.02,-2,62.5,5,3,2,40.62,107.86,40.35,84.85,63.64,17.86,15.15,90,5,12,11,15,2008-10-17
"2008200920072",33,29,7,7,16,22,51,47,35,38,26,30,3,6,14,30,18,59.9666666666667,"CBJ","NSH","14170","0","2008200920072",52.04,51.03,47.03,4,98.05,47.95,35.02,38.02,-3,73.04,46.43,26.01,30.02,-4,33.33,3,6,-3,43.75,91.54,53.23,74.29,50.98,11.54,8.57,80,9,8,16,9,2008-10-18
"2008200920084",22,28,7,6,22,28,52,40,41,31,33,25,4,2,19,16,15,59.9833333333333,"CBJ","VAN","14173","1","2008200920084",56.52,52.01,40.01,12,92.03,56.94,41.01,31.01,10,72.02,56.9,33.01,25.01,8,66.67,4,2,2,55.88,104.12,44,80.49,63.46,12.12,9.76,92,8,6,11,9,2008-10-21
"2008200920101",28,23,8,7,22,26,50,58,39,44,26,32,1,3,14,18,19,59.9833333333333,"CBJ","NYR","14176","1","2008200920101",46.3,50.01,58.02,-8,108.03,46.99,39.01,44.01,-5,83.02,44.83,26.01,32.01,-6,25,1,3,-2,42.42,94.47,54.9,66.67,52,3.85,2.56,90.62,13,12,11,14,2008-10-24
"2008200920113",26,28,4,2,17,18,50,51,36,32,26,23,1,2,23,14,17,59.9833333333333,"CBJ","MIN","14177","0","2008200920113",49.5,50.01,51.01,-1,101.03,52.94,36.01,32.01,4,68.02,53.06,26.01,23.01,3,33.33,1,2,-1,57.5,95.15,48.15,72.22,52,3.85,2.78,91.3,10,9,14,19,2008-10-25
"2008200920122",23,32,8,9,27,28,57,39,46,34,32,24,2,3,19,21,15,59.9666666666667,"CBJ","ANA","14179","1","2008200920122",59.38,57.03,39.02,18,96.05,57.5,46.03,34.02,12,80.04,57.14,32.02,24.01,8,40,2,3,-1,55.88,93.75,41.82,69.57,56.14,6.25,4.35,87.5,14,10,11,5,2008-10-27
"2008200920143",23,36,4,3,29,21,40,56,24,41,17,32,4,2,16,19,24,59.975,"CBJ","COL","14182","0","2008200920143",41.67,40.02,56.02,-16,96.04,36.92,24.01,41.02,-17,65.03,34.69,17.01,32.01,-15,66.67,4,2,2,40,117.28,38.98,70.83,42.5,23.53,16.67,93.75,7,9,16,15,2008-10-30
"2008200920156",35,26,5,11,31,21,84,42,66,36,51,24,3,3,30,19,12,64.9666666666667,"CBJ","CHI","14184","1","2008200920156",66.67,77.58,38.79,42,116.37,64.71,60.95,33.25,30,94.2,68,47.1,22.17,27,50,2.77,2.77,0,71.43,93.38,57.38,77.27,60.71,5.88,4.55,87.5,15,12,18,6,2008-11-01
"2008200920169",34,24,2,7,13,19,66,59,48,41,34,29,3,4,23,22,13,63.2,"CBJ","NYI","14186","0","2008200920169",52.8,62.66,56.01,7,118.67,53.93,45.57,38.92,7,84.49,53.97,32.28,27.53,5,42.86,2.85,3.8,-1,63.89,95.03,58.62,70.83,51.52,8.82,6.25,86.21,14,12,18,18,2008-11-03
"2008200920179",35,32,6,7,26,18,65,54,48,40,38,26,5,4,22,27,18,59.9416666666667,"CBJ","EDM","14188","1","2008200920179",54.62,65.06,54.05,11,119.12,54.55,48.05,40.04,8,88.09,59.38,38.04,26.03,12,55.56,5,4,1,55,97.77,52.24,79.17,58.46,13.16,10.42,84.62,10,14,17,14,2008-11-05
"2008200920193",32,39,7,8,33,27,52,62,40,45,28,37,3,3,26,22,23,64.975,"CBJ","MTL","14190","1","2008200920193",45.61,48.02,57.25,-10,105.27,47.06,36.94,41.55,-5,78.49,43.08,25.86,34.17,-9,50,2.77,2.77,0,53.06,102.61,45.07,70,53.85,10.71,7.5,91.89,12,8,12,17,2008-11-07
"2008200920202",36,35,11,11,25,48,46,46,39,35,28,23,3,1,25,24,22,59.975,"CBJ","CGY","14191","1","2008200920202",50,46.02,46.02,0,92.04,52.7,39.02,35.01,4,74.03,54.9,28.01,23.01,5,75,3,1,2,53.19,106.37,50.7,71.79,60.87,10.71,7.69,95.65,11,12,7,11,2008-11-08
"2008200920224",31,25,6,6,17,11,66,58,47,45,33,30,2,5,20,19,17,59.975,"CBJ","PHX","14195","1","2008200920224",53.23,66.03,58.02,8,124.05,51.09,47.02,45.02,2,92.04,52.38,33.01,30.01,3,28.57,2,5,-3,54.05,89.39,55.36,70.21,50,6.06,4.26,83.33,14,15,19,13,2008-11-12
