"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920007",33,30,11,8,12,18,53,47,38,36,25,23,0,6,24,19,20,60,"CGY","VAN","14161","0","2008200920007",53,53,47,6,100,51.35,38,36,2,74,52.08,25,23,2,0,0,6,-6,54.55,73.91,52.38,65.79,47.17,0,0,73.91,13,13,15,11,2008-10-09
"2008200920026",38,36,10,11,30,20,58,53,44,43,29,34,4,5,32,23,19,63.8833333333333,"CGY","VAN","14163","1","2008200920026",52.25,54.47,49.78,5,104.25,50.57,41.33,40.39,1,81.71,46.03,27.24,31.93,-5,44.44,3.76,4.7,-1,62.75,99.09,51.35,65.91,50,13.79,9.09,85.29,15,9,14,10,2008-10-11
"2008200920041",36,27,6,7,19,15,59,43,46,36,35,29,5,4,21,24,18,60,"CGY","COL","14166","1","2008200920041",57.84,59,43,16,102,56.1,46,36,10,82,54.69,35,29,6,55.56,5,4,1,53.85,100.49,57.14,76.09,59.32,14.29,10.87,86.21,11,7,13,7,2008-10-14
"2008200920060",23,29,8,4,22,15,52,61,43,46,29,35,3,4,14,17,21,59.9833333333333,"CGY","EDM","14169","1","2008200920060",46.02,52.01,61.02,-9,113.03,48.31,43.01,46.01,-3,89.02,45.31,29.01,35.01,-6,42.86,3,4,-1,40,98.92,44.23,67.44,55.77,10.34,6.98,88.57,14,11,9,15,2008-10-17
"2008200920074",23,34,5,9,8,21,76,48,49,38,33,27,2,3,27,20,10,59.9833333333333,"CGY","EDM","14170","0","2008200920074",61.29,76.02,48.01,28,124.03,56.32,49.01,38.01,11,87.02,55,33.01,27.01,6,40,2,3,-1,72.97,94.95,40.35,67.35,43.42,6.06,4.08,88.89,16,11,27,10,2008-10-18
"2008200920086",27,20,6,10,24,24,51,54,41,45,28,31,2,1,22,11,14,60,"CGY","WSH","14173","1","2008200920086",48.57,51,54,-3,105,47.67,41,45,-4,86,47.46,28,31,-3,66.67,2,1,1,61.11,103.92,57.45,68.29,54.9,7.14,4.88,96.77,13,14,10,9,2008-10-21
"2008200920095",37,29,9,6,12,17,57,59,39,50,27,38,5,3,18,22,26,60,"CGY","NSH","14175","0","2008200920095",49.14,57,59,-2,116,43.82,39,50,-11,89,41.54,27,38,-11,62.5,5,3,2,40.91,110.62,56.06,69.23,47.37,18.52,12.82,92.11,12,12,18,9,2008-10-23
"2008200920119",29,21,5,5,19,28,64,40,48,32,36,24,4,1,19,19,12,59.9166666666667,"CGY","PHX","14177","0","2008200920119",61.54,64.09,40.06,24,104.14,60,48.07,32.04,16,80.11,60,36.05,24.03,12,80,4.01,1,3,61.29,106.94,58,75,56.25,11.11,8.33,95.83,12,8,16,8,2008-10-25
"2008200920130",35,23,4,3,16,15,66,37,45,33,30,22,3,0,20,20,18,59.9833333333333,"CGY","COL","14180","1","2008200920130",64.08,66.02,37.01,29,103.03,57.69,45.01,33.01,12,78.02,57.69,30.01,22.01,8,100,3,0,3,52.63,110,60.34,66.67,45.45,10,6.67,100,15,11,21,4,2008-10-28
"2008200920144",29,29,3,5,18,19,65,56,51,52,38,31,3,2,25,19,14,59.9833333333333,"CGY","BOS","14182","1","2008200920144",53.72,65.02,56.02,9,121.03,49.51,51.01,52.01,-1,103.03,55.07,38.01,31.01,7,60,3,2,1,64.1,101.44,50,74.51,58.46,7.89,5.88,93.55,13,21,14,4,2008-10-30
"2008200920161",26,42,8,5,21,42,38,59,31,49,21,36,3,2,18,24,26,59.95,"CGY","L.A","14184","0","2008200920161",39.18,38.03,59.05,-21,97.08,38.75,31.03,49.04,-18,80.07,36.84,21.02,36.03,-15,60,3,2,1,40.91,108.73,38.24,67.74,55.26,14.29,9.68,94.44,10,13,7,10,2008-11-01
