"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920010",32,23,5,5,31,44,53,51,45,39,32,29,2,4,17,19,19,60,"CHI","NYR","14162","0","2008200920010",50.96,53,51,2,104,53.57,45,39,6,84,52.46,32,29,3,33.33,2,4,-2,47.22,92.46,58.18,71.11,60.38,6.25,4.44,86.21,13,10,8,12,2008-10-10
"2008200920020",24,24,5,5,21,17,47,59,36,44,21,34,2,4,15,21,12,60,"CHI","WSH","14163","0","2008200920020",44.34,47,59,-12,106,45,36,44,-8,80,38.18,21,34,-13,33.33,2,4,-2,55.56,97.76,50,58.33,44.68,9.52,5.56,88.24,15,10,11,15,2008-10-11
"2008200920038",22,30,3,5,18,15,45,50,34,41,25,27,2,2,16,18,18,64.9666666666667,"CHI","NSH","14165","1","2008200920038",47.37,41.56,46.18,-5,87.74,45.33,31.4,37.87,-7,69.27,48.08,23.09,24.94,-2,50,1.85,1.85,0,47.06,100.59,42.31,73.53,55.56,8,5.88,92.59,9,14,11,9,2008-10-13
"2008200920046",35,17,12,11,27,17,53,49,37,36,30,30,4,1,18,19,15,59.9666666666667,"CHI","PHX","14167","1","2008200920046",51.96,53.03,49.03,4,102.06,50.68,37.02,36.02,1,73.04,50,30.02,30.02,0,80,4,1,3,54.55,110,67.31,81.08,56.6,13.33,10.81,96.67,7,6,16,13,2008-10-15
"2008200920073",20,35,4,4,15,25,47,58,32,43,26,29,3,3,16,21,18,65,"CHI","STL","14170","0","2008200920073",44.76,43.38,53.54,-11,96.92,42.67,29.54,39.69,-11,69.23,47.27,24,26.77,-3,50,2.77,2.77,0,47.06,101.19,36.36,81.25,55.32,11.54,9.38,89.66,6,14,15,15,2008-10-18
"2008200920076",24,22,10,9,22,14,35,53,32,34,26,30,4,2,11,18,17,59.9666666666667,"CHI","VAN","14171","1","2008200920076",39.77,35.02,53.03,-18,88.05,48.48,32.02,34.02,-2,66.04,46.43,26.01,30.02,-4,66.67,4,2,2,39.29,108.72,52.17,81.25,74.29,15.38,12.5,93.33,6,4,3,19,2008-10-19
"2008200920091",26,22,7,5,17,17,50,39,37,28,30,23,3,0,17,16,15,59.9666666666667,"CHI","EDM","14174","1","2008200920091",56.18,50.03,39.02,11,89.05,56.92,37.02,28.02,9,65.04,56.6,30.02,23.01,7,100,3,0,3,53.12,110,54.17,81.08,60,10,8.11,100,7,5,13,11,2008-10-22
"2008200920115",39,43,3,8,20,15,56,53,49,47,41,44,5,5,35,27,20,64.95,"CHI","DET","14177","1","2008200920115",51.38,51.73,48.96,3,100.69,51.04,45.27,43.42,2,88.68,48.24,37.88,40.65,-3,50,4.62,4.62,0,63.64,100.83,47.56,83.67,73.21,12.2,10.2,88.64,8,3,7,6,2008-10-25
"2008200920123",28,31,5,4,6,14,62,40,49,32,36,18,2,3,27,15,17,59.95,"CHI","MIN","14179","0","2008200920123",60.78,62.05,40.03,22,102.09,60.49,49.04,32.03,17,81.07,66.67,36.03,18.02,18,40,2,3,-1,61.36,88.89,47.46,73.47,58.06,5.56,4.08,83.33,13,14,13,8,2008-10-27
"2008200920148",26,28,6,4,18,16,53,41,41,27,32,23,5,2,17,22,15,59.9833333333333,"CHI","DAL","14183","1","2008200920148",56.38,53.01,41.01,12,94.03,60.29,41.01,27.01,14,68.02,58.18,32.01,23.01,9,71.43,5,2,3,53.12,106.93,48.15,78.05,60.38,15.62,12.2,91.3,9,4,12,14,2008-10-31
"2008200920156",26,35,11,5,21,31,42,84,36,66,24,51,3,3,12,19,30,64.9666666666667,"CHI","CBJ","14184","0","2008200920156",33.33,38.79,77.58,-42,116.37,35.29,33.25,60.95,-30,94.2,32,22.17,47.1,-27,50,2.77,2.77,0,28.57,106.62,42.62,66.67,57.14,12.5,8.33,94.12,12,15,6,18,2008-11-01
"2008200920170",21,34,7,6,12,14,56,44,42,35,37,26,6,2,18,20,17,60,"CHI","COL","14186","1","2008200920170",56,56,44,12,100,54.55,42,35,7,77,58.73,37,26,11,75,6,2,4,51.43,108.52,38.18,88.1,66.07,16.22,14.29,92.31,5,9,14,9,2008-11-03
"2008200920210",34,24,11,10,13,22,43,35,37,26,27,23,6,1,19,20,19,59.9666666666667,"CHI","CGY","14192","1","2008200920210",55.13,43.02,35.02,8,78.04,58.73,37.02,26.01,11,63.04,54,27.02,23.01,4,85.71,6,1,5,50,117.87,58.62,72.97,62.79,22.22,16.22,95.65,10,3,6,9,2008-11-09
"2008200920226",31,37,9,10,20,11,50,59,38,42,32,39,1,1,22,19,27,64.9666666666667,"CHI","BOS","14195","1","2008200920226",45.87,46.18,54.49,-9,100.67,47.5,35.09,38.79,-4,73.88,45.07,29.55,36.02,-7,50,0.92,0.92,0,44.9,100.56,45.59,84.21,64,3.12,2.63,97.44,6,3,12,17,2008-11-12
"2008200920240",30,26,10,10,21,10,64,48,46,35,35,30,3,4,23,18,15,62.2333333333333,"CHI","STL","14197","1","2008200920240",57.14,61.7,46.28,16,107.98,56.79,44.35,33.74,11,78.09,53.85,33.74,28.92,5,42.86,2.89,3.86,-1,60.53,95.24,53.57,76.09,54.69,8.57,6.52,86.67,11,5,18,13,2008-11-14
"2008200920255",34,38,7,6,12,10,46,49,40,39,33,31,5,6,17,30,25,59.9666666666667,"CHI","S.J","14199","1","2008200920255",48.42,46.03,49.03,-3,95.05,50.63,40.02,39.02,1,79.04,51.56,33.02,31.02,2,45.45,5,6,-1,40.48,95.8,47.22,82.5,71.74,15.15,12.5,80.65,7,8,6,10,2008-11-16
"2008200920266",35,34,9,8,18,27,71,70,49,51,40,38,2,2,23,21,25,64.9833333333333,"CHI","PHX","14201","0","2008200920266",50.35,65.56,64.63,1,130.19,49,45.24,47.09,-2,92.33,51.28,36.93,35.09,2,50,1.85,1.85,0,47.92,99.74,50.72,81.63,56.34,5,4.08,94.74,9,13,22,19,2008-11-18
"2008200920275",21,28,2,5,27,18,52,52,46,46,30,34,6,3,14,22,13,59.9666666666667,"CHI","DAL","14203","0","2008200920275",50,52.03,52.03,0,104.06,50,46.03,46.03,0,92.05,46.88,30.02,34.02,-4,66.67,6,3,3,51.85,111.18,42.86,65.22,57.69,20,13.04,91.18,16,12,6,6,2008-11-20
"2008200920288",25,29,3,3,28,26,64,64,52,53,36,37,5,4,15,23,16,60.7833333333333,"CHI","TOR","14205","0","2008200920288",50,63.18,63.18,0,126.35,49.52,51.33,52.32,-1,103.65,49.32,35.54,36.52,-1,55.56,4.94,3.95,1,48.39,103.08,46.3,69.23,56.25,13.89,9.62,89.19,16,16,12,11,2008-11-22
"2008200920320",21,32,3,3,26,42,58,68,36,56,26,40,2,3,18,15,20,60.7333333333333,"CHI","S.J","14209","0","2008200920320",46.03,57.3,67.18,-10,124.48,39.13,35.57,55.32,-20,90.89,39.39,25.69,39.52,-14,40,1.98,2.96,-1,47.37,100.19,39.62,72.22,44.83,7.69,5.56,92.5,10,16,22,12,2008-11-26
"2008200920327",28,26,2,2,14,22,42,34,39,28,26,21,0,1,23,18,13,60,"CHI","ANA","14211","0","2008200920327",55.26,42,34,8,76,58.21,39,28,11,67,55.32,26,21,5,0,0,1,-1,63.89,95.24,51.85,66.67,61.9,0,0,95.24,13,7,3,6,2008-11-28
"2008200920335",22,42,6,5,33,28,52,65,32,50,24,28,2,5,22,22,20,60,"CHI","L.A","14212","0","2008200920335",44.44,52,65,-13,117,39.02,32,50,-18,82,46.15,24,28,-4,28.57,2,5,-3,52.38,90.48,34.38,75,46.15,8.33,6.25,82.14,8,22,20,15,2008-11-29
"2008200920364",30,31,3,5,14,17,60,43,48,38,41,32,4,2,26,15,20,59.9833333333333,"CHI","ANA","14216","1","2008200920364",58.25,60.02,43.01,17,103.03,55.81,48.01,38.01,10,86.02,56.16,41.01,32.01,9,66.67,4,2,2,56.52,103.51,49.18,85.42,68.33,9.76,8.33,93.75,7,6,12,5,2008-12-03
"2008200920386",19,34,3,3,24,23,50,51,39,42,32,30,4,4,18,21,14,65,"CHI","DET","14219","0","2008200920386",49.5,46.15,47.08,-1,93.23,48.15,36,38.77,-3,74.77,51.61,29.54,27.69,2,50,3.69,3.69,0,56.25,99.17,35.85,82.05,64,12.5,10.26,86.67,7,12,11,9,2008-12-06
"2008200920394",31,27,8,9,10,12,58,32,39,25,28,21,7,1,18,25,15,59.975,"CHI","PHX","14220","1","2008200920394",64.44,58.02,32.01,26,90.04,60.94,39.02,25.01,14,64.03,57.14,28.01,21.01,7,87.5,7,1,6,54.55,120.24,53.45,71.79,48.28,25,17.95,95.24,11,4,19,7,2008-12-07
"2008200920410",24,28,6,7,17,21,54,39,42,30,30,23,2,0,14,22,16,59.9666666666667,"CHI","OTT","14223","1","2008200920410",58.06,54.03,39.02,15,93.05,58.33,42.02,30.02,12,72.04,56.6,30.02,23.01,7,100,2,0,2,46.67,106.67,46.15,71.43,55.56,6.67,4.76,100,12,7,12,9,2008-12-10
"2008200920427",20,31,5,6,18,12,59,35,43,26,30,21,4,3,21,20,10,59.975,"CHI","COL","14225","0","2008200920427",62.77,59.02,35.01,24,94.04,62.32,43.02,26.01,17,69.03,58.82,30.01,21.01,9,57.14,4,3,1,67.74,99.05,39.22,69.77,50.85,13.33,9.3,85.71,13,5,16,9,2008-12-12
"2008200920441",30,20,1,3,14,14,49,54,39,42,31,32,3,1,20,12,18,59.9833333333333,"CHI","CBJ","14227","1","2008200920441",47.57,49.01,54.02,-5,103.03,48.15,39.01,42.01,-3,81.02,49.21,31.01,32.01,-1,75,3,1,2,52.63,106.55,60,79.49,63.27,9.68,7.69,96.88,8,10,10,12,2008-12-14
"2008200920453",32,33,4,5,8,8,79,57,61,45,44,33,9,2,22,25,18,59.9416666666667,"CHI","EDM","14229","0","2008200920453",58.09,79.08,57.06,22,136.13,57.55,61.06,45.04,16,106.1,57.14,44.04,33.03,11,81.82,9.01,2,7,55,114.39,49.23,72.13,55.7,20.45,14.75,93.94,17,12,18,12,2008-12-16
"2008200920472",27,27,4,3,8,17,51,54,39,45,31,34,3,2,18,18,18,60.3666666666667,"CHI","CGY","14232","0","2008200920472",48.57,50.69,53.67,-3,104.36,46.43,38.76,44.73,-6,83.49,47.69,30.81,33.79,-3,60,2.98,1.99,1,50,103.8,50,79.49,60.78,9.68,7.69,94.12,8,11,12,9,2008-12-19
"2008200920484",26,29,7,5,17,14,54,65,48,51,34,31,3,1,20,16,19,59.9833333333333,"CHI","VAN","14233","0","2008200920484",45.38,54.02,65.02,-11,119.03,48.48,48.01,51.01,-3,99.03,52.31,34.01,31.01,3,75,3,1,2,51.28,105.6,47.27,70.83,62.96,8.82,6.25,96.77,14,20,6,14,2008-12-20
"2008200920513",29,37,4,8,18,20,67,29,50,21,38,18,5,1,28,25,13,59.9666666666667,"CHI","PHI","14239","1","2008200920513",69.79,67.04,29.02,38,96.05,70.42,50.03,21.01,29,71.04,67.86,38.02,18.01,20,83.33,5,1,4,68.29,107.6,43.94,76,56.72,13.16,10,94.44,12,3,17,8,2008-12-26
"2008200920529",23,33,2,4,10,20,68,42,44,28,32,19,4,1,20,19,17,59.9333333333333,"CHI","MIN","14241","0","2008200920529",61.82,68.08,42.05,26,110.12,61.11,44.05,28.03,16,72.08,62.75,32.04,19.02,13,80,4,1,3,54.05,107.24,41.07,72.73,47.06,12.5,9.09,94.74,12,9,24,14,2008-12-28
"2008200920543",17,38,6,6,23,33,59,53,50,45,36,39,0,4,22,17,16,60,"CHI","DET","14243","0","2008200920543",52.68,59,53,6,112,52.63,50,45,5,95,48,36,39,-3,0,0,4,-4,57.89,89.74,30.91,72,61.02,0,0,89.74,14,6,9,8,2008-12-30
"2008200920554",30,21,5,6,12,11,51,60,40,54,37,43,4,6,19,16,16,59.9666666666667,"CHI","DET","14245","1","2008200920554",45.95,51.03,60.03,-9,111.06,42.55,40.02,54.03,-14,94.05,46.25,37.02,43.02,-6,40,4,6,-2,54.29,96.86,58.82,92.5,72.55,10.81,10,86.05,3,11,11,6,2009-01-01
"2008200920579",24,39,8,7,20,9,54,53,46,40,36,36,5,2,20,24,19,59.9666666666667,"CHI","CGY","14248","1","2008200920579",50.47,54.03,53.03,1,107.06,53.49,46.03,40.02,6,86.05,50,36.02,36.02,0,71.43,5,2,3,51.28,108.33,38.1,78.26,66.67,13.89,10.87,94.44,10,4,8,13,2009-01-04
"2008200920594",22,31,8,5,22,20,71,41,58,31,41,22,6,0,18,21,14,59.9833333333333,"CHI","PHX","14250","0","2008200920594",63.39,71.02,41.01,30,112.03,65.17,58.02,31.01,27,89.02,65.08,41.01,22.01,19,100,6,0,6,56.25,114.63,41.51,70.69,57.75,14.63,10.34,100,17,9,13,10,2009-01-06
"2008200920605",27,24,3,1,25,22,65,57,55,43,44,32,1,2,17,21,13,59.975,"CHI","COL","14252","0","2008200920605",53.28,65.03,57.02,8,122.05,56.12,55.02,43.02,12,98.04,57.89,44.02,32.01,12,33.33,1,2,-1,56.67,96.02,52.94,80,67.69,2.27,1.82,93.75,11,11,10,14,2009-01-08
