"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920006",36,30,2,5,34,17,69,38,47,28,39,20,4,5,30,23,13,59.9333333333333,"COL","BOS","14161","1","2008200920006",64.49,69.08,38.04,31,107.12,62.67,47.05,28.03,19,75.08,66.1,39.04,20.02,19,44.44,4,5.01,-1,69.77,85.26,54.55,82.98,56.52,10.26,8.51,75,8,8,22,10,2008-10-09
"2008200920029",36,14,4,6,16,15,59,41,47,29,32,19,1,3,15,15,20,59.9416666666667,"COL","EDM","14164","0","2008200920029",59,59.06,41.04,18,100.1,61.84,47.05,29.03,18,76.07,62.75,32.03,19.02,13,25,1,3,-2,42.86,87.34,72,68.09,54.24,3.12,2.13,84.21,15,10,12,12,2008-10-12
"2008200920041",27,36,7,6,15,19,43,59,36,46,29,35,4,5,18,24,21,60,"COL","CGY","14166","0","2008200920041",42.16,43,59,-16,102,43.9,36,46,-10,82,45.31,29,35,-6,44.44,4,5,-1,46.15,99.51,42.86,80.56,67.44,13.79,11.11,85.71,7,11,7,13,2008-10-14
"2008200920055",30,20,9,11,17,21,50,36,42,23,34,17,5,1,21,16,13,59.95,"COL","PHI","14168","1","2008200920055",58.14,50.04,36.03,14,86.07,64.62,42.04,23.02,19,65.05,66.67,34.03,17.01,17,83.33,5,1,4,61.76,108.82,60,80.95,68,14.71,11.9,94.12,8,6,8,13,2008-10-16
"2008200920063",32,34,8,11,19,23,40,61,30,46,22,30,5,4,19,24,23,59.9833333333333,"COL","DAL","14170","0","2008200920063",39.6,40.01,61.02,-21,101.03,39.47,30.01,46.01,-16,76.02,42.31,22.01,30.01,-8,55.56,5,4,1,45.24,109.39,48.48,73.33,55,22.73,16.67,86.67,8,16,10,15,2008-10-18
"2008200920081",17,28,3,4,19,28,28,57,25,43,16,29,4,3,12,17,16,60,"COL","L.A","14172","0","2008200920081",32.94,28,57,-29,85,36.76,25,43,-18,68,35.56,16,29,-13,57.14,4,3,1,42.86,114.66,37.78,64,57.14,25,16,89.66,9,14,3,14,2008-10-20
"2008200920097",18,26,7,9,11,16,42,58,32,34,25,26,4,1,14,17,13,59.9916666666667,"COL","EDM","14175","1","2008200920097",42,42.01,58.01,-16,100.01,48.48,32,34,-2,66.01,49.02,25,26,-1,80,4,1,3,51.85,112.15,40.91,78.12,59.52,16,12.5,96.15,7,8,10,24,2008-10-23
"2008200920117",26,25,3,3,31,15,61,62,48,46,29,30,1,1,17,14,20,64.95,"COL","BUF","14177","1","2008200920117",49.59,56.35,57.27,-1,113.63,51.06,44.34,42.49,2,86.84,49.15,26.79,27.71,-1,50,0.92,0.92,0,45.95,100.11,50.98,60.42,47.54,3.45,2.08,96.67,19,16,13,16,2008-10-25
"2008200920130",23,35,3,4,15,16,37,66,33,45,22,30,0,3,18,20,20,59.9833333333333,"COL","CGY","14180","0","2008200920130",35.92,37.01,66.02,-29,103.03,42.31,33.01,45.01,-12,78.02,42.31,22.01,30.01,-8,0,0,3,-3,47.37,90,39.66,66.67,59.46,0,0,90,11,15,4,21,2008-10-28
"2008200920143",36,23,3,4,21,29,56,40,41,24,32,17,2,4,24,19,16,59.975,"COL","CBJ","14182","1","2008200920143",58.33,56.02,40.02,16,96.04,63.08,41.02,24.01,17,65.03,65.31,32.01,17.01,15,33.33,2,4,-2,60,82.72,61.02,78.05,57.14,6.25,4.88,76.47,9,7,15,16,2008-10-30
