"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920015",27,35,5,10,28,26,61,42,45,34,31,27,4,5,23,25,14,64.5833333333333,"DAL","CBJ","14162","1","2008200920015",59.22,56.67,39.02,19,95.69,56.96,41.81,31.59,11,73.39,53.45,28.8,25.08,4,44.44,3.72,4.65,-1,62.16,94.38,43.55,68.89,50.82,12.9,8.89,81.48,14,7,16,8,2008-10-10
"2008200920024",26,30,11,10,10,17,41,64,32,47,20,32,1,3,23,17,16,60,"DAL","NSH","14163","0","2008200920024",39.05,41,64,-23,105,40.51,32,47,-15,79,38.46,20,32,-12,25,1,3,-2,58.97,95.62,46.43,62.5,48.78,5,3.12,90.62,12,15,9,17,2008-10-11
"2008200920047",27,41,6,6,34,21,60,44,44,32,28,19,6,4,25,25,18,59.9666666666667,"DAL","NSH","14167","1","2008200920047",57.69,60.03,44.02,16,104.06,57.89,44.02,32.02,12,76.04,59.57,28.02,19.01,9,60,6,4,2,58.14,100.38,39.71,63.64,46.67,21.43,13.64,78.95,16,13,16,12,2008-10-15
"2008200920054",30,25,5,4,18,21,52,44,42,37,30,23,1,6,14,27,14,59.9833333333333,"DAL","STL","14168","0","2008200920054",54.17,52.01,44.01,8,96.03,53.16,42.01,37.01,5,79.02,56.6,30.01,23.01,7,14.29,1,6,-5,50,77.25,54.55,71.43,57.69,3.33,2.38,73.91,12,14,10,7,2008-10-16
"2008200920063",34,32,11,8,23,19,61,40,46,30,30,22,4,5,23,24,19,59.9833333333333,"DAL","COL","14170","1","2008200920063",60.4,61.02,40.01,21,101.03,60.53,46.01,30.01,16,76.02,57.69,30.01,22.01,8,44.44,4,5,-1,54.76,90.61,51.52,65.22,49.18,13.33,8.7,77.27,16,8,15,10,2008-10-18
"2008200920079",18,23,3,4,35,43,47,59,39,43,27,29,2,1,12,13,16,60,"DAL","NYR","14172","0","2008200920079",44.34,47,59,-12,106,47.56,39,43,-4,82,48.21,27,29,-2,66.67,2,1,1,42.86,103.96,43.9,69.23,57.45,7.41,5.13,96.55,12,14,8,16,2008-10-20
"2008200920088",26,19,6,6,22,20,35,46,25,38,21,29,0,5,12,19,14,60,"DAL","N.J","14174","0","2008200920088",43.21,35,46,-11,81,39.68,25,38,-13,63,42,21,29,-8,0,0,5,-5,46.15,82.76,57.78,84,60,0,0,82.76,4,9,10,8,2008-10-22
"2008200920093",31,19,6,7,23,17,51,60,43,42,29,27,5,3,14,24,12,59.95,"DAL","NYI","14175","0","2008200920093",45.95,51.04,60.05,-9,111.09,50.59,43.04,42.04,1,85.07,51.79,29.02,27.02,2,62.5,5,3,2,53.85,106.13,62,67.44,56.86,17.24,11.63,88.89,14,15,8,18,2008-10-23
"2008200920114",30,32,5,5,35,12,55,55,45,40,33,30,5,6,22,24,16,62.2833333333333,"DAL","WSH","14177","1","2008200920114",50,52.98,52.98,0,105.97,52.94,43.35,38.53,5,81.88,52.38,31.79,28.9,3,45.45,4.82,5.78,-1,57.89,95.15,48.39,73.33,60,15.15,11.11,80,12,10,10,15,2008-10-25
"2008200920134",30,28,4,5,29,23,52,45,42,32,33,21,4,2,25,17,16,59.9666666666667,"DAL","MIN","14181","1","2008200920134",53.61,52.03,45.03,7,97.05,56.76,42.02,32.02,10,74.04,61.11,33.02,21.01,12,66.67,4,2,2,60.98,102.6,51.72,78.57,63.46,12.12,9.52,90.48,9,11,10,13,2008-10-29
"2008200920148",28,26,4,6,16,18,41,53,27,41,23,32,2,5,15,22,17,59.9833333333333,"DAL","CHI","14183","0","2008200920148",43.62,41.01,53.01,-12,94.03,39.71,27.01,41.01,-14,68.02,41.82,23.01,32.01,-9,28.57,2,5,-3,46.88,93.07,51.85,85.19,56.1,8.7,7.41,84.38,4,9,14,12,2008-10-31
"2008200920151",24,45,12,15,26,17,47,46,42,35,36,25,1,5,25,20,24,59.9666666666667,"DAL","BOS","14184","0","2008200920151",50.54,47.03,46.03,1,93.05,54.55,42.02,35.02,7,77.04,59.02,36.02,25.01,11,16.67,1,5,-4,51.02,82.78,34.78,85.71,76.6,2.78,2.38,80,6,10,5,11,2008-11-01
"2008200920195",27,30,8,8,16,23,39,53,35,46,26,30,5,2,16,19,22,59.9833333333333,"DAL","ANA","14190","0","2008200920195",42.39,39.01,53.01,-14,92.03,43.21,35.01,46.01,-11,81.02,46.43,26.01,30.01,-4,71.43,5,2,3,42.11,112.56,47.37,74.29,66.67,19.23,14.29,93.33,9,16,4,7,2008-11-07
"2008200920206",27,24,4,5,21,43,44,69,35,52,24,33,1,2,16,17,18,59.9833333333333,"DAL","S.J","14191","0","2008200920206",38.94,44.01,69.02,-25,113.03,40.23,35.01,52.01,-17,87.02,42.11,24.01,33.01,-9,33.33,1,2,-1,47.06,98.11,52.94,68.57,54.55,4.17,2.86,93.94,11,19,9,17,2008-11-08
