"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920005",38,21,2,3,19,17,60,42,49,33,37,29,2,3,22,18,19,59.9833333333333,"DET","TOR","14161","1","2008200920005",58.82,60.02,42.01,18,102.03,59.76,49.01,33.01,16,82.02,56.06,37.01,29.01,8,40,2,3,-1,53.66,95.06,64.41,75.51,61.67,5.41,4.08,89.66,12,4,11,9,2008-10-09
"2008200920017",34,26,6,6,18,27,66,36,53,29,41,22,3,2,25,19,16,59.9833333333333,"DET","OTT","14163","0","2008200920017",64.71,66.02,36.01,30,102.03,64.63,53.01,29.01,24,82.02,65.08,41.01,22.01,19,60,3,2,1,60.98,98.23,56.67,77.36,62.12,7.32,5.66,90.91,12,7,13,7,2008-10-11
"2008200920037",31,26,4,6,23,32,68,47,48,36,36,28,3,1,18,19,20,59.9416666666667,"DET","CAR","14165","0","2008200920037",59.13,68.07,47.05,21,115.11,57.14,48.05,36.04,12,84.08,56.25,36.04,28.03,8,75,3,1,2,47.37,104.76,54.39,75,52.94,8.33,6.25,96.43,12,8,20,11,2008-10-13
"2008200920053",34,24,5,6,22,14,70,50,52,39,35,29,3,4,20,23,15,60.4333333333333,"DET","VAN","14168","1","2008200920053",58.33,69.5,49.64,20,119.14,57.14,51.63,38.72,13,90.35,54.69,34.75,28.79,6,42.86,2.98,3.97,-1,57.14,94.78,58.62,67.31,50,8.57,5.77,86.21,17,10,18,11,2008-10-16
"2008200920070",27,29,2,3,19,27,72,47,62,38,45,32,5,4,18,24,14,60.3833333333333,"DET","NYR","14170","1","2008200920070",60.5,71.54,46.7,25,118.24,62,61.61,37.76,24,99.37,58.44,44.71,31.8,13,55.56,4.97,3.97,1,56.25,98.61,48.21,72.58,62.5,11.11,8.06,87.5,17,6,10,9,2008-10-18
"2008200920090",34,32,7,5,19,23,57,51,46,40,34,24,4,3,23,19,24,59.9666666666667,"DET","STL","14174","0","2008200920090",52.78,57.03,51.03,6,108.06,53.49,46.03,40.02,6,86.05,58.62,34.02,24.01,10,57.14,4,3,1,48.94,99.26,51.52,73.91,59.65,11.76,8.7,87.5,12,16,11,11,2008-10-22
"2008200920103",38,23,7,4,6,18,61,51,51,46,46,33,5,3,23,18,20,59.9833333333333,"DET","ATL","14176","1","2008200920103",54.46,61.02,51.01,10,112.03,52.58,51.01,46.01,5,97.03,58.23,46.01,33.01,13,62.5,5,3,2,53.49,101.78,62.3,90.2,75.41,10.87,9.8,90.91,5,13,10,5,2008-10-24
"2008200920115",43,39,8,3,15,20,53,56,47,49,44,41,5,5,20,27,35,64.95,"DET","CHI","14177","0","2008200920115",48.62,48.96,51.73,-3,100.69,48.96,43.42,45.27,-2,88.68,51.76,40.65,37.88,3,50,4.62,4.62,0,36.36,99.17,52.44,93.62,83.02,11.36,10.64,87.8,3,8,6,7,2008-10-25
"2008200920125",37,37,7,6,24,20,63,47,55,35,37,19,3,3,25,24,25,64.9833333333333,"DET","L.A","14179","0","2008200920125",57.27,58.17,43.4,16,101.56,61.11,50.78,32.32,20,83.1,66.07,34.16,17.54,18,50,2.77,2.77,0,50,92.32,50,67.27,58.73,8.11,5.45,84.21,18,16,8,12,2008-10-27
"2008200920135",36,36,10,9,15,20,60,57,50,45,38,34,4,5,21,25,26,61.6166666666667,"DET","ANA","14181","0","2008200920135",51.28,58.43,55.5,3,113.93,52.63,48.69,43.82,5,92.51,52.78,37,33.11,4,44.44,3.9,4.87,-1,44.68,95.82,50,76,63.33,10.53,8,85.29,12,11,10,12,2008-10-29
"2008200920147",33,28,4,4,16,29,51,58,34,44,27,33,2,4,21,20,20,59.9666666666667,"DET","S.J","14182","0","2008200920147",46.79,51.03,58.03,-7,109.06,43.59,34.02,44.02,-10,78.04,45,27.02,33.02,-6,33.33,2,4,-2,51.22,95.29,54.1,79.41,52.94,7.41,5.88,87.88,7,11,17,14,2008-10-30
"2008200920167",29,30,8,6,10,16,51,51,36,37,23,27,3,2,21,17,21,59.9833333333333,"DET","VAN","14185","0","2008200920167",50,51.01,51.01,0,102.03,49.32,36.01,37.01,-1,73.02,46,23.01,27.01,-4,60,3,2,1,50,105.64,49.15,63.89,45.1,13.04,8.33,92.59,13,10,15,14,2008-11-02
"2008200920201",27,21,3,5,17,18,53,38,43,33,31,25,3,1,18,15,15,59.9916666666667,"DET","N.J","14191","1","2008200920201",58.24,53.01,38.01,15,91.01,56.58,43.01,33,10,76.01,55.36,31,25,6,75,3,1,2,54.55,105.68,56.25,72.09,58.49,9.68,6.98,96,12,8,10,5,2008-11-08
"2008200920216",37,30,5,5,22,16,53,58,43,47,34,34,6,7,22,28,17,63.7833333333333,"DET","PIT","14194","1","2008200920216",47.75,49.86,54.56,-5,104.42,47.78,40.45,44.21,-4,84.66,50,31.98,31.98,0,46.15,5.64,6.58,-1,56.41,97.06,55.22,79.07,64.15,17.65,13.95,79.41,9,13,10,11,2008-11-11
"2008200920231",34,21,4,5,10,14,66,29,54,22,39,18,4,3,17,25,13,59.95,"DET","T.B","14196","0","2008200920231",69.47,66.06,29.02,37,95.08,71.05,54.05,22.02,32,76.06,68.42,39.03,18.02,21,57.14,4,3,1,56.67,93.59,61.82,72.22,59.09,10.26,7.41,83.33,15,4,12,7,2008-11-13
"2008200920239",35,35,3,4,15,20,63,44,49,36,32,27,3,2,19,30,21,59.95,"DET","FLA","14197","0","2008200920239",58.88,63.05,44.04,19,107.09,57.65,49.04,36.03,13,85.07,54.24,32.03,27.02,5,60,3,2,1,47.5,101.97,50,65.31,50.79,9.38,6.12,92.59,17,9,14,8,2008-11-14
"2008200920260",31,18,6,6,18,16,67,45,56,32,41,21,4,0,17,19,13,59.975,"DET","EDM","14200","1","2008200920260",59.82,67.03,45.02,22,112.05,63.64,56.02,32.01,24,88.04,66.13,41.02,21.01,20,100,4,0,4,56.67,109.76,63.27,73.21,61.19,9.76,7.14,100,15,11,11,13,2008-11-17
"2008200920277",32,34,7,7,10,8,64,64,51,53,35,34,4,3,20,20,26,59.9916666666667,"DET","EDM","14203","0","2008200920277",50,64.01,64.01,0,128.02,49.04,51.01,53.01,-2,104.01,50.72,35,34,1,57.14,4,3,1,43.48,102.61,48.48,68.63,54.69,11.43,7.84,91.18,16,19,13,11,2008-11-20
