"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920029",14,36,6,4,15,16,41,59,29,47,19,32,3,1,20,15,15,59.9416666666667,"EDM","COL","14164","1","2008200920029",41,41.04,59.06,-18,100.1,38.16,29.03,47.05,-18,76.07,37.25,19.02,32.03,-13,75,3,1,2,57.14,112.66,28,65.52,46.34,15.79,10.34,96.88,10,15,12,12,2008-10-12
"2008200920048",22,32,2,3,20,27,47,61,41,49,28,35,3,2,17,20,17,59.9666666666667,"EDM","ANA","14167","0","2008200920048",43.52,47.03,61.03,-14,108.06,45.56,41.02,49.03,-8,90.05,44.44,28.02,35.02,-7,60,3,2,1,50,105,40.74,68.29,59.57,10.71,7.32,94.29,13,14,6,12,2008-10-15
"2008200920060",29,23,4,8,15,22,61,52,46,43,35,29,4,3,21,17,14,59.9833333333333,"EDM","CGY","14169","0","2008200920060",53.98,61.02,52.01,9,113.03,51.69,46.01,43.01,3,89.02,54.69,35.01,29.01,6,57.14,4,3,1,60,101.08,55.77,76.09,57.38,11.43,8.7,89.66,11,14,15,9,2008-10-17
"2008200920074",34,23,9,5,21,8,48,76,38,49,27,33,3,2,10,20,27,59.9833333333333,"EDM","CGY","14170","1","2008200920074",38.71,48.01,76.02,-28,124.03,43.68,38.01,49.01,-11,87.02,45,27.01,33.01,-6,60,3,2,1,27.03,105.05,59.65,71.05,56.25,11.11,7.89,93.94,11,16,10,27,2008-10-18
"2008200920091",22,26,5,7,17,17,39,50,28,37,23,30,0,3,15,16,17,59.9666666666667,"EDM","CHI","14174","0","2008200920091",43.82,39.02,50.03,-11,89.05,43.08,28.02,37.02,-9,65.04,43.4,23.01,30.02,-7,0,0,3,-3,46.88,90,45.83,82.14,58.97,0,0,90,5,7,11,13,2008-10-22
"2008200920097",26,18,9,7,16,11,58,42,34,32,26,25,1,4,13,17,14,59.9916666666667,"EDM","COL","14175","0","2008200920097",58,58.01,42.01,16,100.01,51.52,34,32,2,66.01,50.98,26,25,1,20,1,4,-3,48.15,87.85,59.09,76.47,44.83,3.85,2.94,84,8,7,24,10,2008-10-23
"2008200920118",26,39,10,7,21,8,54,52,42,42,28,30,3,6,26,21,18,59.9833333333333,"EDM","VAN","14177","0","2008200920118",50.94,54.02,52.01,2,106.03,50,42.01,42.01,0,84.02,48.28,28.01,30.01,-2,33.33,3,6,-3,59.09,90.71,40,66.67,51.85,10.71,7.14,80,14,12,12,10,2008-10-25
"2008200920124",27,25,5,3,11,13,57,64,39,48,27,36,0,1,19,11,22,63.2833333333333,"EDM","BOS","14179","1","2008200920124",47.11,54.04,60.68,-7,114.72,44.83,36.98,45.51,-9,82.49,42.86,25.6,34.13,-9,0,0,0.95,-1,46.34,97.22,51.92,69.23,47.37,0,0,97.22,12,12,18,16,2008-10-27
"2008200920140",27,33,3,4,12,14,57,44,44,35,28,25,1,3,29,14,17,60,"EDM","NSH","14182","0","2008200920140",56.44,57,44,13,101,55.7,44,35,9,79,52.83,28,25,3,25,1,3,-2,63.04,91.57,45,63.64,49.12,3.57,2.27,88,16,10,13,9,2008-10-30
"2008200920150",27,34,7,4,21,26,58,61,41,48,32,34,3,1,23,21,17,59.9333333333333,"EDM","CAR","14184","0","2008200920150",48.74,58.06,61.07,-3,119.13,46.07,41.05,48.05,-7,89.1,48.48,32.04,34.04,-2,75,3,1,2,57.5,106.43,44.26,78.05,55.17,9.38,7.32,97.06,9,14,17,13,2008-11-01
