"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920011",31,33,4,6,27,25,73,55,49,39,33,24,4,6,19,26,19,59.9833333333333,"FLA","CAR","14162","0","2008200920011",57.03,73.02,55.02,18,128.04,55.68,49.01,39.01,10,88.02,57.89,33.01,24.01,9,40,4,6,-2,50,87.12,48.44,67.35,45.21,12.12,8.16,75,16,15,24,16,2008-10-10
"2008200920021",34,32,7,6,24,16,61,47,51,40,39,33,3,2,26,18,22,63.8833333333333,"FLA","ATL","14163","1","2008200920021",56.48,57.29,44.14,14,101.43,56.04,47.9,37.57,11,85.47,54.17,36.63,30.99,6,60,2.82,1.88,1,54.17,101.63,51.52,76.47,63.93,7.69,5.88,93.94,12,7,10,7,2008-10-11
"2008200920052",36,25,9,6,19,15,53,49,38,42,26,34,2,6,22,19,20,59.95,"FLA","MIN","14168","1","2008200920052",51.96,53.04,49.04,4,102.09,47.5,38.03,42.04,-4,80.07,43.33,26.02,34.03,-8,25,2,6.01,-4,52.38,90.05,59.02,68.42,49.06,7.69,5.26,82.35,12,8,15,7,2008-10-16
"2008200920069",28,23,2,6,17,20,65,49,53,39,36,31,2,0,20,15,16,59.9833333333333,"FLA","NYI","14170","1","2008200920069",57.02,65.02,49.01,16,114.03,57.61,53.01,39.01,14,92.03,53.73,36.01,31.01,5,100,2,0,2,55.56,105.56,54.9,67.92,55.38,5.56,3.77,100,17,8,12,10,2008-10-18
"2008200920080",30,31,7,4,18,33,68,63,45,46,36,34,1,3,20,20,21,59.9833333333333,"FLA","MTL","14172","0","2008200920080",51.91,68.02,63.02,5,131.04,49.45,45.01,46.01,-1,91.03,51.43,36.01,34.01,2,25,1,3,-2,48.78,93.95,49.18,80,52.94,2.78,2.22,91.18,9,12,23,17,2008-10-20
"2008200920087",22,29,5,4,12,27,44,70,31,55,21,42,3,1,16,11,24,60,"FLA","OTT","14174","0","2008200920087",38.6,44,70,-26,114,36.05,31,55,-24,86,33.33,21,42,-21,75,3,1,2,40,111.9,43.14,67.74,47.73,14.29,9.68,97.62,10,13,13,15,2008-10-22
"2008200920102",31,43,5,3,20,19,52,75,42,56,35,50,4,3,25,20,29,59.95,"FLA","S.J","14176","1","2008200920102",40.94,52.04,75.06,-23,127.11,42.86,42.04,56.05,-14,98.08,41.18,35.03,50.04,-15,57.14,4,3,1,46.3,105.43,41.89,83.33,67.31,11.43,9.52,94,7,6,10,19,2008-10-24
"2008200920116",28,28,10,5,13,16,52,59,36,45,17,31,0,4,21,16,19,60,"FLA","STL","14177","0","2008200920116",46.85,52,59,-7,111,44.44,36,45,-9,81,35.42,17,31,-14,0,0,4,-4,52.5,87.1,50,47.22,32.69,0,0,87.1,19,14,16,14,2008-10-25
"2008200920139",26,34,5,3,16,22,50,52,37,41,26,31,1,2,20,20,20,59.9833333333333,"FLA","OTT","14182","1","2008200920139",49.02,50.01,52.01,-2,102.03,47.44,37.01,41.01,-4,78.02,45.61,26.01,31.01,-5,33.33,1,2,-1,50,97.39,43.33,70.27,52,3.85,2.7,93.55,11,10,13,11,2008-10-30
"2008200920158",28,37,4,3,12,15,53,68,39,46,26,32,2,2,17,22,26,64.9666666666667,"FLA","NSH","14184","0","2008200920158",43.8,48.95,62.8,-15,111.75,45.88,36.02,42.48,-7,78.5,44.83,24.01,29.55,-6,50,1.85,1.85,0,39.53,101.44,43.08,66.67,49.06,7.69,5.13,93.75,13,14,14,22,2008-11-01
"2008200920164",30,28,4,3,12,10,44,54,34,44,21,31,3,5,20,23,15,59.9833333333333,"FLA","ATL","14185","0","2008200920164",44.9,44.01,54.02,-10,98.03,43.59,34.01,44.01,-10,78.02,40.38,21.01,31.01,-10,37.5,3,5,-2,57.14,98.16,51.72,61.76,47.73,14.29,8.82,83.87,13,13,10,10,2008-11-02
