"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920028",22,30,6,4,24,24,34,69,21,58,13,41,1,3,10,20,22,60,"L.A","S.J","14163","0","2008200920028",33.01,34,69,-35,103,26.58,21,58,-37,79,24.07,13,41,-28,25,1,3,-2,31.25,100.38,42.31,61.9,38.24,7.69,4.76,92.68,8,17,13,11,2008-10-11
"2008200920031",22,25,4,5,25,16,49,55,36,42,21,19,0,1,18,13,16,59.9666666666667,"L.A","S.J","14164","1","2008200920031",47.12,49.03,55.03,-6,104.06,46.15,36.02,42.02,-6,78.04,52.5,21.01,19.01,2,0,0,1,-1,52.94,94.74,46.81,58.33,42.86,0,0,94.74,15,23,13,13,2008-10-12
"2008200920042",31,26,9,12,25,20,45,46,37,36,23,26,6,3,15,22,20,59.9666666666667,"L.A","ANA","14166","1","2008200920042",49.45,45.03,46.03,-1,91.05,50.68,37.02,36.02,1,73.04,46.94,23.01,26.01,-3,66.67,6,3,3,42.86,114.55,54.39,62.16,51.11,26.09,16.22,88.46,14,10,8,10,2008-10-14
"2008200920062",33,25,5,3,35,28,45,52,37,41,24,26,4,3,19,20,19,63.35,"L.A","CAR","14169","1","2008200920062",46.39,42.62,49.25,-7,91.87,47.44,35.04,38.83,-4,73.88,48,22.73,24.63,-2,57.14,3.79,2.84,1,50,105.13,56.9,64.86,53.33,16.67,10.81,88.46,13,15,8,11,2008-10-17
"2008200920081",28,17,4,3,28,19,57,28,43,25,29,16,3,4,16,17,12,60,"L.A","COL","14172","1","2008200920081",67.06,57,28,29,85,63.24,43,25,18,68,64.44,29,16,13,42.86,3,4,-1,57.14,85.34,62.22,67.44,50.88,10.34,6.98,75,14,9,14,3,2008-10-20
"2008200920104",34,26,9,10,13,22,56,43,42,31,29,15,4,0,27,20,13,59.95,"L.A","STL","14176","0","2008200920104",56.57,56.05,43.04,13,99.08,57.53,42.04,31.03,11,73.06,65.91,29.02,15.01,14,100,4,0,4,67.5,113.79,56.67,69.05,51.79,13.79,9.52,100,13,16,14,12,2008-10-24
"2008200920112",24,26,3,5,16,16,56,42,44,36,30,27,4,5,20,21,9,60,"L.A","NSH","14177","0","2008200920112",57.14,56,42,14,98,55,44,36,8,80,52.63,30,27,3,44.44,4,5,-1,68.97,94.81,48,68.18,53.57,13.33,9.09,81.48,14,9,12,6,2008-10-25
"2008200920125",37,37,6,7,20,24,47,63,35,55,19,37,3,3,25,24,25,64.9833333333333,"L.A","DET","14179","1","2008200920125",42.73,43.4,58.17,-16,101.56,38.89,32.32,50.78,-20,83.1,33.93,17.54,34.16,-18,50,2.77,2.77,0,50,107.68,50,54.29,40.43,15.79,8.57,91.89,16,18,12,8,2008-10-27
"2008200920146",23,26,7,8,29,17,53,38,41,30,28,18,0,4,25,13,11,59.9666666666667,"L.A","VAN","14182","1","2008200920146",58.24,53.03,38.02,15,91.05,57.75,41.02,30.02,11,71.04,60.87,28.02,18.01,10,0,0,4,-4,69.44,77.78,46.94,68.29,52.83,0,0,77.78,13,12,12,8,2008-10-30
"2008200920161",42,26,5,8,42,21,59,38,49,31,36,21,2,3,26,24,18,59.95,"L.A","CGY","14184","1","2008200920161",60.82,59.05,38.03,21,97.08,61.25,49.04,31.03,18,80.07,63.16,36.03,21.02,15,40,2,3,-1,59.09,91.27,61.76,73.47,61.02,5.56,4.08,85.71,13,10,10,7,2008-11-01
