"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920025",19,32,5,4,15,16,44,63,36,52,26,37,4,3,15,18,18,59.9333333333333,"MIN","BOS","14163","1","2008200920025",41.12,44.05,63.07,-19,107.12,40.91,36.04,52.06,-16,88.1,41.27,26.03,37.04,-11,57.14,4,3,1,45.45,107.28,37.25,72.22,59.09,15.38,11.11,91.89,10,15,8,11,2008-10-11
"2008200920040",34,25,4,5,10,6,44,51,36,43,26,26,4,2,15,21,23,60,"MIN","ATL","14166","0","2008200920040",46.32,44,51,-7,95,45.57,36,43,-7,79,50,26,26,0,66.67,4,2,2,39.47,107.69,57.63,72.22,59.09,15.38,11.11,92.31,10,17,8,8,2008-10-14
"2008200920052",25,36,6,9,15,19,49,53,42,38,34,26,6,2,20,19,22,59.95,"MIN","FLA","14168","0","2008200920052",48.04,49.04,53.04,-4,102.09,52.5,42.04,38.03,4,80.07,56.67,34.03,26.02,8,75,6.01,2,4,47.62,109.95,40.98,80.95,69.39,17.65,14.29,92.31,8,12,7,15,2008-10-16
"2008200920071",23,27,3,7,18,30,38,59,29,43,21,32,0,0,20,12,18,65,"MIN","T.B","14170","0","2008200920071",39.18,35.08,54.46,-21,89.54,40.28,26.77,39.69,-14,66.46,39.62,19.38,29.54,-11,NA,0,0,0,52.63,100,46,72.41,55.26,0,0,100,8,11,9,16,2008-10-18
"2008200920096",28,27,2,3,26,13,50,41,39,33,33,24,3,4,16,28,11,60.7,"MIN","BUF","14175","1","2008200920096",54.95,49.42,40.53,9,89.95,54.17,38.55,32.62,6,71.17,57.89,32.62,23.72,9,42.86,2.97,3.95,-1,59.26,92.42,50.91,84.62,66,9.09,7.69,83.33,6,9,11,8,2008-10-23
"2008200920113",28,26,2,4,18,17,51,50,32,36,23,26,2,1,17,14,23,59.9833333333333,"MIN","CBJ","14177","1","2008200920113",50.5,51.01,50.01,1,101.03,47.06,32.01,36.01,-4,68.02,46.94,23.01,26.01,-3,66.67,2,1,1,42.5,104.85,51.85,71.88,45.1,8.7,6.25,96.15,9,10,19,14,2008-10-25
"2008200920123",31,28,4,5,14,6,40,62,32,49,18,36,3,2,17,15,27,59.95,"MIN","CHI","14179","1","2008200920123",39.22,40.03,62.05,-22,102.09,39.51,32.03,49.04,-17,81.07,33.33,18.02,36.03,-18,60,3,2,1,38.64,111.11,52.54,56.25,45,16.67,9.38,94.44,14,13,8,13,2008-10-27
"2008200920134",28,30,5,4,23,29,45,52,32,42,21,33,2,4,16,17,25,59.9666666666667,"MIN","DAL","14181","0","2008200920134",46.39,45.03,52.03,-7,97.05,43.24,32.02,42.02,-10,74.04,38.89,21.01,33.02,-12,33.33,2,4,-2,39.02,97.4,48.28,65.62,46.67,9.52,6.25,87.88,11,9,13,10,2008-10-29
"2008200920141",20,25,6,11,14,18,54,40,37,32,29,21,1,2,17,13,15,59.9833333333333,"MIN","MTL","14182","1","2008200920141",57.45,54.02,40.01,14,94.03,53.62,37.01,32.01,5,69.02,58,29.01,21.01,8,33.33,1,2,-1,53.12,93.92,44.44,78.38,53.7,3.45,2.7,90.48,8,11,17,8,2008-10-30
"2008200920160",34,25,4,2,18,13,51,44,44,33,33,27,3,2,16,28,15,59.9666666666667,"MIN","PHX","14184","0","2008200920160",53.68,51.03,44.02,7,95.05,57.14,44.02,33.02,11,77.04,55,33.02,27.02,6,60,3,2,1,51.61,101.68,57.63,75,64.71,9.09,6.82,92.59,11,6,7,11,2008-11-01
"2008200920177",26,20,7,4,19,24,44,73,34,62,24,49,1,3,10,17,19,59.9833333333333,"MIN","S.J","14187","0","2008200920177",37.61,44.01,73.02,-29,117.03,35.42,34.01,62.02,-28,96.03,32.88,24.01,49.01,-25,25,1,3,-2,34.48,98.04,56.52,70.59,54.55,4.17,2.94,93.88,10,13,10,11,2008-11-04
"2008200920187",15,37,8,5,17,15,39,60,30,45,20,36,3,1,10,15,27,59.9583333333333,"MIN","COL","14189","0","2008200920187",39.39,39.03,60.04,-21,99.07,40,30.02,45.03,-15,75.05,35.71,20.01,36.03,-16,75,3,1,2,27.03,112.22,28.85,66.67,51.28,15,10,97.22,10,9,9,15,2008-11-06
"2008200920205",25,26,8,5,19,16,55,58,41,41,29,29,0,2,20,14,17,60,"MIN","VAN","14191","0","2008200920205",48.67,55,58,-3,113,50,41,41,0,82,50,29,29,0,0,0,2,-2,54.05,93.1,49.02,70.73,52.73,0,0,93.1,12,12,14,17,2008-11-08
"2008200920232",37,21,7,8,16,9,60,49,46,33,32,24,4,0,18,17,23,59.9666666666667,"MIN","PHX","14196","1","2008200920232",55.05,60.03,49.03,11,109.06,58.23,46.03,33.02,13,79.04,57.14,32.02,24.01,8,100,4,0,4,43.9,112.5,63.79,69.57,53.33,12.5,8.7,100,14,9,14,16,2008-11-13
"2008200920248",24,38,1,3,20,14,46,37,41,30,30,26,2,2,21,29,12,64.9666666666667,"MIN","CBJ","14198","1","2008200920248",55.42,42.48,34.17,9,76.65,57.75,37.87,27.71,11,65.57,53.57,27.71,24.01,4,50,1.85,1.85,0,63.64,98.97,38.71,73.17,65.22,6.67,4.88,92.31,11,4,5,7,2008-11-15
"2008200920262",24,32,5,3,16,23,58,53,36,40,25,25,1,1,16,14,26,64.9833333333333,"MIN","PIT","14201","0","2008200920262",52.25,53.55,48.94,5,102.49,47.37,33.24,36.93,-4,70.17,50,23.08,23.08,0,50,0.92,0.92,0,38.1,100,42.86,69.44,43.1,4,2.78,96,11,15,22,13,2008-11-18
"2008200920274",27,22,5,4,27,17,60,44,41,35,30,27,2,3,13,21,15,59.9333333333333,"MIN","VAN","14203","1","2008200920274",57.69,60.07,44.05,16,104.12,53.95,41.05,35.04,6,76.08,52.63,30.03,27.03,3,40,2,3,-1,46.43,95.56,55.1,73.17,50,6.67,4.88,88.89,11,8,19,9,2008-11-20
"2008200920292",27,26,2,6,23,26,68,44,48,32,32,26,1,2,20,17,16,59.9333333333333,"MIN","STL","14205","1","2008200920292",60.71,68.08,44.05,24,112.12,60,48.05,32.04,16,80.09,55.17,32.04,26.03,6,33.33,1,2,-1,55.56,95.43,50.94,66.67,47.06,3.12,2.08,92.31,16,6,20,12,2008-11-22
"2008200920303",31,31,3,6,13,20,50,57,40,38,33,28,4,3,20,24,18,59.9666666666667,"MIN","WSH","14207","1","2008200920303",46.73,50.03,57.03,-7,107.06,51.28,40.02,38.02,2,78.04,54.1,33.02,28.02,5,57.14,4,3,1,52.63,101.41,50,82.5,66,12.12,10,89.29,7,10,10,19,2008-11-24
"2008200920317",32,29,4,5,21,10,53,55,45,42,28,30,3,4,19,23,19,59.9833333333333,"MIN","DAL","14209","1","2008200920317",49.07,53.01,55.02,-2,108.03,51.72,45.01,42.01,3,87.02,48.28,28.01,30.01,-2,42.86,3,4,-1,50,97.38,52.46,62.22,52.83,10.71,6.67,86.67,17,12,8,13,2008-11-26
"2008200920325",24,29,6,3,11,16,58,61,49,48,33,37,4,2,15,15,23,59.95,"MIN","T.B","14211","1","2008200920325",48.74,58.05,61.05,-3,119.1,50.52,49.04,48.04,1,97.08,47.14,33.03,37.03,-4,66.67,4,2,2,39.47,106.72,45.28,67.35,56.9,12.12,8.16,94.59,16,11,9,13,2008-11-28
"2008200920342",27,36,9,15,10,10,46,54,37,44,29,27,6,2,19,24,20,59.9833333333333,"MIN","NSH","14212","0","2008200920342",46,46.01,54.02,-8,100.03,45.68,37.01,44.01,-7,81.02,51.79,29.01,27.01,2,75,6,2,4,48.72,113.28,42.86,78.38,63.04,20.69,16.22,92.59,8,17,9,10,2008-11-29
"2008200920353",33,29,4,5,15,15,43,49,27,38,17,31,5,6,15,27,20,59.95,"MIN","COL","14214","1","2008200920353",46.74,43.04,49.04,-6,92.08,41.54,27.02,38.03,-11,65.05,35.42,17.01,31.03,-14,45.45,5,6.01,-1,42.86,110.06,53.23,62.96,39.53,29.41,18.52,80.65,10,7,16,11,2008-12-01
"2008200920363",24,32,3,5,8,13,61,42,49,34,38,22,4,0,22,18,16,59.9333333333333,"MIN","STL","14216","1","2008200920363",59.22,61.07,42.05,19,103.11,59.04,49.05,34.04,15,83.09,63.33,38.04,22.02,16,100,4,0,4,57.89,110.53,42.86,77.55,62.3,10.53,8.16,100,11,12,12,8,2008-12-03
"2008200920376",25,29,6,6,23,25,45,58,31,41,17,31,1,2,13,18,23,59.9666666666667,"MIN","VAN","14218","1","2008200920376",43.69,45.03,58.03,-13,103.06,43.06,31.02,41.02,-10,72.04,35.42,17.01,31.02,-14,33.33,1,2,-1,36.11,99.43,46.3,54.84,37.78,5.88,3.23,93.55,14,10,14,17,2008-12-05
"2008200920388",36,37,4,4,17,21,55,65,43,53,32,43,0,1,19,22,32,59.9666666666667,"MIN","NSH","14219","0","2008200920388",45.83,55.03,65.04,-10,120.07,44.79,43.02,53.03,-10,96.05,42.67,32.02,43.02,-11,0,0,1,-1,37.25,97.67,49.32,74.42,58.18,0,0,97.67,11,10,12,12,2008-12-06
"2008200920419",31,30,5,5,19,26,62,55,46,39,31,32,1,3,19,14,28,59.95,"MIN","PHX","14224","0","2008200920419",52.99,62.05,55.05,7,117.1,54.12,46.04,39.03,7,85.07,49.21,31.03,32.03,-1,25,1,3,-2,40.43,93.85,50.82,67.39,50,3.23,2.17,90.62,15,7,16,16,2008-12-11
"2008200920430",37,29,5,4,24,21,50,70,41,57,34,43,1,3,22,14,30,59.9833333333333,"MIN","L.A","14226","0","2008200920430",41.67,50.01,70.02,-20,120.03,41.84,41.01,57.02,-16,98.03,44.16,34.01,43.01,-9,25,1,3,-2,42.31,95.96,56.06,82.93,68,2.94,2.44,93.02,7,14,9,13,2008-12-13
"2008200920442",28,30,5,5,22,24,42,52,37,45,28,34,2,4,13,20,25,59.9833333333333,"MIN","ANA","14227","0","2008200920442",44.68,42.01,52.01,-10,94.03,45.12,37.01,45.01,-8,82.02,45.16,28.01,34.01,-6,33.33,2,4,-2,34.21,95.38,48.28,75.68,66.67,7.14,5.41,88.24,9,11,5,7,2008-12-14
"2008200920457",36,29,5,5,15,13,57,55,43,40,27,30,2,3,18,17,30,63.7333333333333,"MIN","CGY","14230","1","2008200920457",50.89,53.66,51.78,2,105.44,51.81,40.48,37.66,3,78.14,47.37,25.42,28.24,-3,40,1.88,2.82,-1,37.5,97.41,55.38,62.79,47.37,7.41,4.65,90,16,10,14,15,2008-12-17
"2008200920471",29,27,5,4,23,13,63,31,52,19,39,16,4,1,25,17,14,59.95,"MIN","NYI","14232","1","2008200920471",67.02,63.05,31.03,32,94.08,73.24,52.04,19.02,33,71.06,70.91,39.03,16.01,23,80,4,1,3,64.1,104.01,51.79,75,61.9,10.26,7.69,93.75,13,3,11,12,2008-12-19
"2008200920482",30,26,6,8,25,15,53,47,39,39,26,24,2,4,18,17,21,59.9666666666667,"MIN","STL","14233","0","2008200920482",53,53.03,47.03,6,100.06,50,39.02,39.02,0,78.04,52,26.01,24.01,2,33.33,2,4,-2,46.15,91.03,53.57,66.67,49.06,7.69,5.13,83.33,13,15,14,8,2008-12-20
"2008200920503",25,28,4,1,14,12,50,56,33,47,23,37,3,2,14,14,25,59.95,"MIN","CAR","14236","1","2008200920503",47.17,50.04,56.05,-6,106.09,41.25,33.03,47.04,-14,80.07,38.33,23.02,37.03,-14,60,3,2,1,35.9,107.64,47.17,69.7,46,13.04,9.09,94.59,10,10,17,9,2008-12-23
"2008200920529",33,23,4,2,20,10,42,68,28,44,19,32,1,4,17,19,20,59.9333333333333,"MIN","CHI","14241","1","2008200920529",38.18,42.05,68.08,-26,110.12,38.89,28.03,44.05,-16,72.08,37.25,19.02,32.04,-13,20,1,4,-3,45.95,92.76,58.93,67.86,45.24,5.26,3.57,87.5,9,12,14,24,2008-12-28
"2008200920537",25,30,2,4,17,15,53,57,42,42,24,29,1,2,18,17,20,60,"MIN","CGY","14242","0","2008200920537",48.18,53,57,-4,110,50,42,42,0,84,45.28,24,29,-5,33.33,1,2,-1,47.37,97.27,45.45,57.14,45.28,4.17,2.38,93.1,18,13,11,15,2008-12-29
"2008200920548",28,25,3,4,23,25,54,58,40,48,32,34,3,2,15,17,21,61.5666666666667,"MIN","S.J","14244","1","2008200920548",48.21,52.63,56.52,-4,109.15,45.45,38.98,46.78,-8,85.76,48.48,31.19,33.13,-2,60,2.92,1.95,1,41.67,103.49,52.83,80,59.26,9.38,7.5,94.12,8,14,14,10,2008-12-31
"2008200920571",27,27,2,4,20,17,63,67,53,51,35,37,2,2,17,14,23,64.9833333333333,"MIN","DET","14247","1","2008200920571",48.46,58.17,61.86,-4,120.03,50.96,48.94,47.09,2,96.02,48.61,32.32,34.16,-2,50,1.85,1.85,0,42.5,100.31,50,66.04,55.56,5.71,3.77,94.59,18,14,10,16,2009-01-03
"2008200920580",33,25,4,8,11,25,66,75,50,48,37,33,2,0,20,14,24,59.9166666666667,"MIN","COL","14248","0","2008200920580",46.81,66.09,75.1,-9,141.2,51.02,50.07,48.07,2,98.14,52.86,37.05,33.05,4,100,2,0,2,45.45,105.41,56.9,74,56.06,5.41,4,100,13,15,16,27,2009-01-04
"2008200920585",23,19,3,6,17,16,46,48,37,39,24,28,1,0,14,11,17,60,"MIN","BOS","14250","0","2008200920585",48.94,46,48,-2,94,48.68,37,39,-2,76,46.15,24,28,-4,100,1,0,1,45.16,104.17,54.76,64.86,52.17,4.17,2.7,100,13,11,9,9,2009-01-06
"2008200920600",22,29,4,11,17,18,54,36,42,26,28,23,1,3,25,14,12,59.8333333333333,"MIN","PHI","14252","0","2008200920600",60,54.15,36.1,18,90.25,61.76,42.12,26.07,16,68.19,54.9,28.08,23.06,5,25,1,3.01,-2,67.57,90.53,43.14,66.67,51.85,3.57,2.38,86.96,14,3,12,10,2009-01-08
"2008200920621",23,24,3,4,21,27,37,48,32,42,23,32,2,4,14,19,14,59.9583333333333,"MIN","CBJ","14254","0","2008200920621",43.53,37.03,48.03,-11,85.06,43.24,32.02,42.03,-10,74.05,41.82,23.02,32.02,-9,33.33,2,4,-2,50,96.2,48.94,71.88,62.16,8.7,6.25,87.5,9,10,5,6,2009-01-10
"2008200920638",38,25,3,6,13,15,60,43,44,37,34,24,6,3,16,26,21,59.9666666666667,"MIN","PHX","14257","1","2008200920638",58.25,60.03,43.02,17,103.06,54.32,44.02,37.02,7,81.05,58.62,34.02,24.01,10,66.67,6,3,3,43.24,105.15,60.32,77.27,56.67,17.65,13.64,87.5,10,13,16,6,2009-01-13
"2008200920650",27,32,7,9,24,18,46,44,36,32,24,21,5,1,16,20,22,59.975,"MIN","EDM","14259","1","2008200920650",51.11,46.02,44.02,2,90.04,52.94,36.02,32.01,4,68.03,53.33,24.01,21.01,3,83.33,5,1,4,42.11,116.07,45.76,66.67,52.17,20.83,13.89,95.24,12,11,10,12,2009-01-15
"2008200920670",28,31,2,4,25,26,59,52,48,43,30,34,0,3,24,17,18,59.9666666666667,"MIN","ANA","14261","1","2008200920670",53.15,59.03,52.03,7,111.06,52.75,48.03,43.02,5,91.05,46.88,30.02,34.02,-4,0,0,3,-3,57.14,91.18,47.46,62.5,50.85,0,0,91.18,18,9,11,9,2009-01-17
"2008200920682",34,25,3,3,5,12,40,57,34,49,26,41,4,1,13,19,27,59.925,"MIN","CHI","14263","0","2008200920682",41.24,40.05,57.07,-17,97.12,40.96,34.04,49.06,-15,83.1,38.81,26.03,41.05,-15,80,4.01,1,3,32.5,112.95,57.63,76.47,65,15.38,11.76,97.56,8,8,6,8,2009-01-19
"2008200920688",29,28,6,3,20,24,55,57,38,47,27,32,2,5,21,15,21,59.95,"MIN","L.A","14264","1","2008200920688",49.11,55.05,57.05,-2,112.09,44.71,38.03,47.04,-9,85.07,45.76,27.02,32.03,-5,28.57,2,5,-3,50,91.78,50.88,71.05,49.09,7.41,5.26,84.38,11,15,17,10,2009-01-20
"2008200920707",18,27,2,3,20,26,42,62,31,45,21,28,6,1,8,19,18,59.9833333333333,"MIN","TOR","14271","1","2008200920707",40.38,42.01,62.02,-20,104.03,40.79,31.01,45.01,-14,76.02,42.86,21.01,28.01,-7,85.71,6,1,5,30.77,125,40,67.74,50,28.57,19.35,96.43,10,17,11,17,2009-01-27
"2008200920729",24,33,7,4,13,17,55,48,36,36,30,28,1,3,23,12,22,60,"MIN","EDM","14274","0","2008200920729",53.4,55,48,7,103,50,36,36,0,72,51.72,30,28,2,25,1,3,-2,51.11,92.62,42.11,83.33,54.55,3.33,2.78,89.29,6,8,19,12,2009-01-30
