"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920012",30,34,6,5,20,14,59,64,46,47,28,36,1,1,25,12,27,64.9333333333333,"MTL","BUF","14162","0","2008200920012",47.97,54.52,59.14,-5,113.66,49.46,42.51,43.43,-1,85.93,43.75,25.87,33.26,-8,50,0.92,0.92,0,48.08,100.79,46.88,60.87,47.46,3.57,2.17,97.22,18,11,13,17,2008-10-10
"2008200920016",40,29,6,9,35,28,71,51,51,42,34,25,6,1,19,30,20,60,"MTL","TOR","14163","0","2008200920016",58.2,71,51,20,122,54.84,51,42,9,93,57.63,34,25,9,85.71,6,1,5,48.72,113.65,57.97,66.67,47.89,17.65,11.76,96,17,17,20,9,2008-10-11
"2008200920035",35,37,10,7,24,16,54,59,39,44,27,32,5,3,13,32,27,59.9333333333333,"MTL","PHI","14165","0","2008200920035",47.79,54.06,59.07,-5,113.13,46.99,39.04,44.05,-5,83.09,45.76,27.03,32.04,-5,62.5,5.01,3,2,32.5,109.14,48.61,69.23,50,18.52,12.82,90.62,12,12,15,15,2008-10-13
"2008200920045",36,27,9,7,30,26,63,73,41,47,28,34,3,3,19,22,22,64.9666666666667,"MTL","BOS","14167","1","2008200920045",46.32,58.18,67.42,-10,125.6,46.59,37.87,43.41,-6,81.27,45.16,25.86,31.4,-6,50,2.77,2.77,0,46.34,101.89,57.14,68.29,44.44,10.71,7.32,91.18,13,13,22,26,2008-10-15
"2008200920064",38,27,6,7,24,27,55,62,47,39,33,29,4,1,20,22,23,59.9333333333333,"MTL","PHX","14170","1","2008200920064",47.01,55.06,62.07,-7,117.13,54.65,47.05,39.04,8,86.1,53.23,33.04,29.03,4,80,4,1,3,46.51,108.67,58.46,70.21,60,12.12,8.51,96.55,14,10,8,23,2008-10-18
"2008200920080",31,30,4,7,33,18,63,68,46,45,34,36,3,1,21,20,20,59.9833333333333,"MTL","FLA","14172","1","2008200920080",48.09,63.02,68.02,-5,131.04,50.55,46.01,45.01,1,91.03,48.57,34.01,36.01,-2,75,3,1,2,51.22,106.05,50.82,73.91,53.97,8.82,6.52,97.22,12,9,17,23,2008-10-20
"2008200920107",44,30,6,9,33,32,78,52,64,36,51,25,4,6,28,29,17,59.9666666666667,"MTL","ANA","14177","1","2008200920107",60,78.04,52.03,26,130.07,64,64.04,36.02,28,100.06,67.11,51.03,25.01,26,40,4,6,-2,62.22,83.84,59.46,79.69,65.38,7.84,6.25,76,13,11,14,16,2008-10-25
"2008200920129",33,31,7,8,28,15,60,66,39,48,24,33,1,2,27,14,23,64.95,"MTL","CAR","14180","1","2008200920129",47.62,55.43,60.97,-6,116.4,44.83,36.03,44.34,-9,80.37,42.11,22.17,30.48,-9,33.33,0.92,1.85,-1,54,98.11,51.56,61.54,40,4.17,2.56,93.94,15,15,21,18,2008-10-28
"2008200920141",25,20,11,6,18,14,40,54,32,37,21,29,2,1,15,13,17,59.9833333333333,"MTL","MIN","14182","0","2008200920141",42.55,40.01,54.02,-14,94.03,46.38,32.01,37.01,-5,69.02,42,21.01,29.01,-8,66.67,2,1,1,46.88,106.08,55.56,65.62,52.5,9.52,6.25,96.55,11,8,8,17,2008-10-30
"2008200920155",20,34,5,4,23,21,66,59,45,41,32,31,5,4,15,21,18,60,"MTL","NYI","14184","0","2008200920155",52.8,66,59,7,125,52.33,45,41,4,86,50.79,32,31,1,55.56,5,4,1,45.45,102.72,37.04,71.11,48.48,15.62,11.11,87.1,13,10,21,18,2008-11-01
"2008200920193",39,32,8,7,27,33,62,52,45,40,37,28,3,3,23,22,26,64.975,"MTL","CBJ","14190","0","2008200920193",54.39,57.25,48.02,10,105.27,52.94,41.55,36.94,5,78.49,56.92,34.17,25.86,9,50,2.77,2.77,0,46.94,97.39,54.93,82.22,59.68,8.11,6.67,89.29,8,12,17,12,2008-11-07
"2008200920197",21,33,10,7,19,20,44,76,28,58,20,41,3,6,15,27,12,60,"MTL","TOR","14191","0","2008200920197",36.67,44,76,-32,120,32.56,28,58,-30,86,32.79,20,41,-21,33.33,3,6,-3,55.56,100.37,38.89,71.43,45.45,15,10.71,85.37,8,17,16,18,2008-11-08
"2008200920217",31,32,6,7,36,28,56,66,42,44,31,28,4,0,19,16,28,59.9916666666667,"MTL","OTT","14194","1","2008200920217",45.9,56.01,66.01,-10,122.02,48.84,42.01,44.01,-2,86.01,52.54,31,28,3,100,4,0,4,40.43,112.9,49.21,73.81,55.36,12.9,9.52,100,11,16,14,22,2008-11-11
