"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920009",28,30,8,6,21,12,58,40,42,32,29,25,2,1,19,15,24,59.95,"N.J","NYI","14162","1","2008200920009",59.18,58.05,40.03,18,98.08,56.76,42.04,32.03,10,74.06,53.7,29.02,25.02,4,66.67,2,1,1,44.19,102.9,48.28,69.05,50,6.9,4.76,96,13,7,16,8,2008-10-10
"2008200920022",29,23,6,7,20,24,88,38,61,27,49,15,2,1,25,17,10,64.35,"N.J","PIT","14163","0","2008200920022",69.84,82.05,35.43,50,117.48,69.32,56.88,25.17,34,82.05,76.56,45.69,13.99,34,66.67,1.86,0.93,1,71.43,97.41,55.77,80.33,55.68,4.08,3.28,93.33,12,12,27,11,2008-10-11
"2008200920034",20,28,6,5,43,37,58,45,39,32,27,24,1,4,16,14,18,59.9833333333333,"N.J","NYR","14165","0","2008200920034",56.31,58.02,45.01,13,103.03,54.93,39.01,32.01,7,71.02,52.94,27.01,24.01,3,20,1,4,-3,47.06,87.04,41.67,69.23,46.55,3.7,2.56,83.33,12,8,19,13,2008-10-13
"2008200920049",21,26,5,3,6,8,63,47,45,37,35,25,1,0,21,12,14,59.9333333333333,"N.J","ATL","14168","0","2008200920049",57.27,63.07,47.05,16,110.12,54.88,45.05,37.04,8,82.09,58.33,35.04,25.03,10,100,1,0,1,60,102.86,44.68,77.78,55.56,2.86,2.22,100,10,12,18,10,2008-10-16
"2008200920067",30,35,8,4,18,14,58,58,45,43,37,27,3,3,25,20,20,64.9833333333333,"N.J","WSH","14170","0","2008200920067",50,53.55,53.55,0,107.1,51.14,41.55,39.7,2,81.25,57.81,34.16,24.93,10,50,2.77,2.77,0,55.56,97,46.15,82.22,63.79,8.11,6.67,88.89,8,16,13,15,2008-10-18
"2008200920088",19,26,6,6,20,22,46,35,38,25,29,21,5,0,14,19,12,60,"N.J","DAL","14174","1","2008200920088",56.79,46,35,11,81,60.32,38,25,13,63,58,29,21,8,100,5,0,5,53.85,117.24,42.22,76.32,63.04,17.24,13.16,100,9,4,8,10,2008-10-22
"2008200920100",41,25,5,5,18,22,42,41,33,39,26,28,3,6,25,28,13,59.9666666666667,"N.J","PHI","14176","1","2008200920100",50.6,42.02,41.02,1,83.05,45.83,33.02,39.02,-6,72.04,48.15,26.01,28.02,-2,33.33,3,6,-3,65.79,90.11,62.12,78.79,61.9,11.54,9.09,78.57,7,11,9,2,2008-10-24
"2008200920110",40,30,9,11,10,12,48,60,35,50,31,33,2,3,23,24,23,63.7,"N.J","PHI","14177","0","2008200920110",44.44,45.21,56.51,-12,101.73,41.18,32.97,47.1,-15,80.06,48.44,29.2,31.08,-2,40,1.88,2.83,-1,50,97.36,57.14,88.57,64.58,6.45,5.71,90.91,4,17,13,10,2008-10-25
"2008200920133",34,42,6,4,10,12,59,71,45,57,31,48,5,5,27,30,19,64.9833333333333,"N.J","TOR","14181","1","2008200920133",45.38,54.48,65.56,-12,120.03,44.12,41.55,52.63,-12,94.18,39.24,28.62,44.32,-17,50,4.62,4.62,0,58.7,105.71,44.74,68.89,52.54,16.13,11.11,89.58,14,9,14,14,2008-10-29
"2008200920154",25,34,4,7,8,9,46,42,40,32,32,20,6,1,24,19,16,60,"N.J","ATL","14184","1","2008200920154",52.27,46,42,4,88,55.56,40,32,8,72,61.54,32,20,12,85.71,6,1,5,60,113.75,42.37,80,69.57,18.75,15,95,8,12,6,10,2008-11-01
