"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920014",28,27,6,4,23,18,49,43,39,36,22,22,2,5,18,23,14,60,"NSH","STL","14162","0","2008200920014",53.26,49,43,6,92,52,39,36,3,75,50,22,22,0,28.57,2,5,-3,56.25,86.36,50.91,56.41,44.9,9.09,5.13,77.27,17,14,10,7,2008-10-10
"2008200920024",30,26,10,11,17,10,64,41,47,32,32,20,3,1,16,17,23,60,"NSH","DAL","14163","1","2008200920024",60.95,64,41,23,105,59.49,47,32,15,79,61.54,32,20,12,75,3,1,2,41.03,104.38,53.57,68.09,50,9.38,6.38,95,15,12,17,9,2008-10-11
"2008200920038",30,22,5,3,15,18,50,45,41,34,27,25,2,2,18,18,16,64.9666666666667,"NSH","CHI","14165","0","2008200920038",52.63,46.18,41.56,5,87.74,54.67,37.87,31.4,7,69.27,51.92,24.94,23.09,2,50,1.85,1.85,0,52.94,99.41,57.69,65.85,54,7.41,4.88,92,14,9,9,11,2008-10-13
"2008200920047",41,27,6,6,21,34,44,60,32,44,19,28,4,6,18,25,25,59.9666666666667,"NSH","DAL","14167","0","2008200920047",42.31,44.02,60.03,-16,104.06,42.11,32.02,44.02,-12,76.04,40.43,19.01,28.02,-9,40,4,6,-2,41.86,99.62,60.29,59.38,43.18,21.05,12.5,78.57,13,16,12,16,2008-10-15
"2008200920058",34,23,6,7,25,30,57,44,42,33,30,28,3,5,19,25,13,59.9666666666667,"NSH","CBJ","14169","0","2008200920058",56.44,57.03,44.02,13,101.06,56,42.02,33.02,9,75.04,51.72,30.02,28.02,2,37.5,3,5,-2,59.38,92.14,59.65,71.43,52.63,10,7.14,82.14,12,5,15,11,2008-10-17
"2008200920072",29,33,7,7,22,16,47,51,38,35,30,26,6,3,18,30,14,59.9666666666667,"NSH","CBJ","14170","1","2008200920072",47.96,47.03,51.03,-4,98.05,52.05,38.02,35.02,3,73.04,53.57,30.02,26.01,4,66.67,6,3,3,56.25,108.46,46.77,78.95,63.83,20,15.79,88.46,8,9,9,16,2008-10-18
"2008200920095",29,37,6,9,17,12,59,57,50,39,38,27,3,5,26,22,18,60,"NSH","CGY","14175","1","2008200920095",50.86,59,57,2,116,56.18,50,39,11,89,58.46,38,27,11,37.5,3,5,-2,59.09,89.38,43.94,76,64.41,7.89,6,81.48,12,12,9,18,2008-10-23
"2008200920112",26,24,5,3,16,16,42,56,36,44,27,30,5,4,9,21,20,60,"NSH","L.A","14177","1","2008200920112",42.86,42,56,-14,98,45,36,44,-8,80,47.37,27,30,-3,55.56,5,4,1,31.03,105.19,52,75,64.29,18.52,13.89,86.67,9,14,6,12,2008-10-25
"2008200920126",32,32,5,7,20,14,47,61,33,43,26,32,3,3,18,26,20,64.9833333333333,"NSH","WSH","14180","0","2008200920126",43.52,43.4,56.32,-14,99.72,43.42,30.47,39.7,-10,70.17,44.83,24.01,29.55,-6,50,2.77,2.77,0,47.37,102.16,50,78.79,55.32,11.54,9.09,90.62,7,11,14,18,2008-10-28
"2008200920140",33,27,4,3,14,12,44,57,35,44,25,28,3,1,17,14,29,60,"NSH","EDM","14182","1","2008200920140",43.56,44,57,-13,101,44.3,35,44,-9,79,47.17,25,28,-3,75,3,1,2,36.96,108.43,55,71.43,56.82,12,8.57,96.43,10,16,9,13,2008-10-30
"2008200920158",37,28,3,4,15,12,68,53,46,39,32,26,2,2,26,22,17,64.9666666666667,"NSH","FLA","14184","1","2008200920158",56.2,62.8,48.95,15,111.75,54.12,42.48,36.02,7,78.5,55.17,29.55,24.01,6,50,1.85,1.85,0,60.47,98.56,56.92,69.57,47.06,6.25,4.35,92.31,14,13,22,14,2008-11-01
"2008200920175",29,32,8,7,17,16,45,52,35,44,24,39,0,4,22,16,23,59.9833333333333,"NSH","VAN","14187","0","2008200920175",46.39,45.01,52.01,-7,97.03,44.3,35.01,44.01,-9,79.02,38.1,24.01,39.01,-15,0,0,4,-4,48.89,89.74,47.54,68.57,53.33,0,0,89.74,11,5,10,8,2008-11-04
"2008200920188",39,31,9,11,17,9,47,52,42,38,29,29,6,7,20,32,18,60,"NSH","CGY","14189","0","2008200920188",47.47,47,52,-5,99,52.5,42,38,4,80,50,29,29,0,46.15,6,7,-1,52.63,96.55,55.71,69.05,61.7,20.69,14.29,75.86,13,9,5,14,2008-11-06
"2008200920203",30,30,9,7,13,21,48,43,39,30,26,20,0,1,24,16,20,60,"NSH","COL","14191","0","2008200920203",52.75,48,43,5,91,56.52,39,30,9,69,56.52,26,20,6,0,0,1,-1,54.55,95,50,66.67,54.17,0,0,95,13,10,9,13,2008-11-08
"2008200920220",33,21,8,3,30,24,51,87,37,65,29,57,4,3,13,18,23,62.4666666666667,"NSH","S.J","14194","0","2008200920220",36.96,48.99,83.56,-36,132.55,36.27,35.54,62.43,-28,97.97,33.72,27.85,54.75,-28,57.14,3.84,2.88,1,36.11,108.53,61.11,78.38,56.86,13.79,10.81,94.74,8,8,14,22,2008-11-11
"2008200920241",29,30,4,6,16,21,56,63,48,54,35,35,4,3,17,25,17,62.2833333333333,"NSH","ANA","14197","0","2008200920241",47.06,53.95,60.69,-7,114.64,47.06,46.24,52.02,-6,98.26,50,33.72,33.72,0,57.14,3.85,2.89,1,50,102.86,49.15,72.92,62.5,11.43,8.33,91.43,13,19,8,9,2008-11-14
"2008200920251",26,20,3,3,22,30,40,68,31,53,22,34,3,1,14,14,18,59.9833333333333,"NSH","L.A","14198","0","2008200920251",37.04,40.01,68.02,-28,108.03,36.9,31.01,53.01,-22,84.02,39.29,22.01,34.01,-12,75,3,1,2,43.75,110.7,56.52,70.97,55,13.64,9.68,97.06,9,19,9,15,2008-11-15
"2008200920261",40,33,12,11,18,11,44,56,38,43,33,32,1,4,27,21,25,59.9833333333333,"NSH","S.J","14200","1","2008200920261",44,44.01,56.02,-12,100.03,46.91,38.01,43.01,-5,81.02,50.77,33.01,32.01,1,20,1,4,-3,51.92,90.53,54.79,86.84,75,3.03,2.63,87.5,5,11,6,13,2008-11-17
"2008200920283",32,25,6,7,13,16,55,44,42,33,35,24,1,4,25,18,14,60,"NSH","T.B","14204","0","2008200920283",55.56,55,44,11,99,56,42,33,9,75,59.32,35,24,11,20,1,4,-3,64.1,86.19,56.14,83.33,63.64,2.86,2.38,83.33,7,9,13,11,2008-11-21
"2008200920297",25,28,9,6,30,28,55,54,39,43,30,26,5,2,16,17,20,60,"NSH","CAR","14206","0","2008200920297",50.46,55,54,1,109,47.56,39,43,-4,82,53.57,30,26,4,71.43,5,2,3,44.44,108.97,47.17,76.92,54.55,16.67,12.82,92.31,9,17,16,11,2008-11-23
"2008200920306",24,27,5,6,30,18,75,42,59,28,47,17,0,0,20,16,15,64.9666666666667,"NSH","STL","14208","1","2008200920306",64.1,69.27,38.79,33,108.06,67.82,54.49,25.86,31,80.35,73.44,43.41,15.7,30,NA,0,0,0,57.14,100,47.06,79.66,62.67,0,0,100,12,11,16,14,2008-11-25
"2008200920330",38,27,4,3,15,12,49,42,38,33,26,25,4,3,24,24,17,61.7166666666667,"NSH","ATL","14211","0","2008200920330",53.85,47.64,40.83,7,88.47,53.52,36.94,32.08,5,69.03,50.98,25.28,24.3,1,57.14,3.89,2.92,1,58.54,103.38,58.46,68.42,53.06,15.38,10.53,88,12,8,11,9,2008-11-28
"2008200920342",36,27,15,9,10,10,54,46,44,37,27,29,2,6,20,24,19,59.9833333333333,"NSH","MIN","14212","1","2008200920342",54,54.02,46.01,8,100.03,54.32,44.01,37.01,7,81.02,48.21,27.01,29.01,-2,25,2,6,-4,51.28,86.72,57.14,61.36,50,7.41,4.55,79.31,17,8,10,9,2008-11-29
"2008200920350",22,24,2,2,16,22,47,53,36,36,27,30,2,0,12,11,23,59.9833333333333,"NSH","BUF","14214","0","2008200920350",47,47.01,53.01,-6,100.03,50,36.01,36.01,0,72.02,47.37,27.01,30.01,-3,100,2,0,2,34.29,107.41,47.83,75,57.45,7.41,5.56,100,9,6,11,17,2008-12-01
"2008200920373",33,21,4,6,7,14,50,37,34,28,24,21,3,2,11,18,25,59.9833333333333,"NSH","COL","14217","1","2008200920373",57.47,50.01,37.01,13,87.02,54.84,34.01,28.01,6,62.02,53.33,24.01,21.01,3,60,3,2,1,30.56,102.98,61.11,70.59,48,12.5,8.82,90.48,10,7,16,9,2008-12-04
"2008200920388",37,36,4,4,21,17,65,55,53,43,43,32,1,0,32,22,19,59.9666666666667,"NSH","MIN","14219","1","2008200920388",54.17,65.04,55.03,10,120.07,55.21,53.03,43.02,10,96.05,57.33,43.02,32.02,11,100,1,0,1,62.75,102.33,50.68,81.13,66.15,2.33,1.89,100,10,11,12,12,2008-12-06
"2008200920401",30,27,5,3,20,17,37,58,28,47,21,26,3,6,14,22,21,59.9666666666667,"NSH","STL","14221","0","2008200920401",38.95,37.02,58.03,-21,95.05,37.33,28.02,47.03,-19,75.04,44.68,21.01,26.01,-5,33.33,3,6,-3,40,91.21,52.63,75,56.76,14.29,10.71,76.92,7,21,9,11,2008-12-08
"2008200920404",31,24,10,10,16,17,44,53,31,42,21,28,1,3,20,19,16,59.9833333333333,"NSH","VAN","14222","1","2008200920404",45.36,44.01,53.01,-9,97.03,42.47,31.01,42.01,-11,73.02,42.86,21.01,28.01,-7,25,1,3,-2,55.56,94.05,56.36,67.74,47.73,4.76,3.23,89.29,10,14,13,11,2008-12-09
"2008200920415",34,20,5,4,19,29,45,63,36,48,26,36,1,1,19,18,17,64.975,"NSH","CBJ","14224","0","2008200920415",41.67,41.55,58.18,-18,99.73,42.86,33.24,44.32,-12,77.57,41.94,24.01,33.24,-10,50,0.92,0.92,0,52.78,101.07,62.96,72.22,57.78,3.85,2.78,97.22,10,12,9,15,2008-12-11
"2008200920437",21,24,5,3,14,14,53,52,44,36,38,27,3,0,16,9,20,60,"NSH","DAL","14226","1","2008200920437",50.48,53,52,1,105,55,44,36,8,80,58.46,38,27,11,100,3,0,3,44.44,107.89,46.67,86.36,71.7,7.89,6.82,100,6,9,9,16,2008-12-13
"2008200920468",30,23,2,3,18,19,53,48,42,39,31,27,1,2,25,13,15,59.9583333333333,"NSH","PHX","14231","0","2008200920468",52.48,53.04,48.03,5,101.07,51.85,42.03,39.03,3,81.06,53.45,31.02,27.02,4,33.33,1,2,-1,62.5,95.82,56.6,73.81,58.49,3.23,2.38,92.59,11,12,11,9,2008-12-18
"2008200920481",38,26,2,2,17,17,61,38,42,27,28,23,1,0,19,21,24,60,"NSH","NYI","14233","1","2008200920481",61.62,61,38,23,99,60.87,42,27,15,69,54.9,28,23,5,100,1,0,1,44.19,103.57,59.38,66.67,45.9,3.57,2.38,100,14,4,19,11,2008-12-20
"2008200920501",33,29,5,2,21,10,57,56,46,48,27,43,0,3,13,15,34,60,"NSH","FLA","14236","0","2008200920501",50.44,57,56,1,113,48.94,46,48,-2,94,38.57,27,43,-16,0,0,3,-3,27.66,93.02,53.23,58.7,47.37,0,0,93.02,19,5,11,8,2008-12-23
"2008200920512",34,23,3,3,29,18,50,72,41,53,31,40,3,2,16,12,29,59.9833333333333,"NSH","DET","14239","1","2008200920512",40.98,50.01,72.02,-22,122.03,43.62,41.01,53.01,-12,94.03,43.66,31.01,40.01,-9,60,3,2,1,35.56,104.68,59.65,75.61,62,9.68,7.32,95,10,13,9,19,2008-12-26
"2008200920531",38,26,5,2,10,9,56,55,44,47,30,33,2,5,23,17,24,59.975,"NSH","EDM","14241","0","2008200920531",50.45,56.02,55.02,1,111.05,48.35,44.02,47.02,-3,91.04,47.62,30.01,33.01,-3,28.57,2,5,-3,48.94,91.52,59.38,68.18,53.57,6.67,4.55,84.85,14,14,12,8,2008-12-28
"2008200920536",25,33,5,6,19,29,56,40,37,29,26,21,1,5,24,18,16,59.95,"NSH","COL","14242","0","2008200920536",58.33,56.05,40.03,16,96.08,56.06,37.03,29.02,8,66.06,55.32,26.02,21.02,5,16.67,1,5,-4,60,80.04,43.1,70.27,46.43,3.85,2.7,76.19,11,8,19,11,2008-12-29
"2008200920558",29,29,6,5,19,20,43,56,38,44,32,32,1,2,17,19,22,60,"NSH","VAN","14245","1","2008200920558",43.43,43,56,-13,99,46.34,38,44,-6,82,50,32,32,0,33.33,1,2,-1,43.59,96.88,50,84.21,74.42,3.12,2.63,93.75,6,12,5,12,2009-01-01
"2008200920567",25,30,5,4,19,15,54,55,42,42,26,26,2,3,19,15,21,60,"NSH","CGY","14247","1","2008200920567",49.54,54,55,-1,109,50,42,42,0,84,50,26,26,0,40,2,3,-1,47.5,96.15,45.45,61.9,48.15,7.69,4.76,88.46,16,16,12,13,2009-01-03
"2008200920592",27,19,2,3,22,13,70,38,47,27,23,21,1,2,21,14,11,59.9666666666667,"NSH","COL","14250","1","2008200920592",64.81,70.04,38.02,32,108.06,63.51,47.03,27.02,20,74.04,52.27,23.01,21.01,2,33.33,1,2,-1,65.62,94.82,58.7,48.94,32.86,4.35,2.13,90.48,24,6,23,11,2009-01-06
"2008200920604",37,36,3,3,24,15,66,37,48,30,35,25,5,3,27,23,23,60,"NSH","PIT","14252","1","2008200920604",64.08,66,37,29,103,61.54,48,30,18,78,58.33,35,25,10,62.5,5,3,2,54,102.29,50.68,72.92,53.03,14.29,10.42,88,13,5,18,7,2009-01-08
"2008200920622",36,29,6,5,28,13,56,70,48,56,38,35,4,1,19,19,27,59.9333333333333,"NSH","CHI","14254","1","2008200920622",44.44,56.06,70.08,-14,126.14,46.15,48.05,56.06,-8,104.12,52.05,38.04,35.04,3,80,4,1,3,41.3,107.67,55.38,79.17,67.86,10.53,8.33,97.14,10,21,8,14,2009-01-10
"2008200920626",21,30,5,2,7,15,40,49,32,39,27,33,1,3,16,19,16,59.9916666666667,"NSH","CHI","14255","0","2008200920626",44.94,40.01,49.01,-9,89.01,45.07,32,39.01,-7,71.01,45,27,33,-6,25,1,3,-2,50,94.61,41.18,84.38,67.5,3.7,3.12,90.91,5,6,8,10,2009-01-11
