"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920009",30,28,6,8,12,21,40,58,32,42,25,29,1,2,24,15,19,59.95,"NYI","N.J","14162","0","2008200920009",40.82,40.03,58.05,-18,98.08,43.24,32.03,42.04,-10,74.06,46.3,25.02,29.02,-4,33.33,1,2,-1,55.81,97.1,51.72,78.12,62.5,4,3.12,93.1,7,13,8,16,2008-10-10
"2008200920018",27,30,3,4,26,16,61,56,49,36,34,26,5,2,18,22,17,59.9166666666667,"NYI","STL","14163","1","2008200920018",52.14,61.08,56.08,5,117.16,57.65,49.07,36.05,13,85.12,56.67,34.05,26.04,8,71.43,5.01,2,3,51.43,107.01,47.37,69.39,55.74,14.71,10.2,92.31,15,10,12,20,2008-10-11
"2008200920033",40,20,19,15,26,15,48,61,35,42,24,35,1,7,15,23,22,59.9833333333333,"NYI","BUF","14165","1","2008200920033",44.04,48.01,61.02,-13,109.03,45.45,35.01,42.01,-7,77.02,40.68,24.01,35.01,-11,12.5,1,7,-6,40.54,84.17,66.67,68.57,50,4.17,2.86,80,11,7,13,19,2008-10-13
"2008200920051",26,35,7,10,14,20,58,58,44,48,36,36,4,3,14,22,25,60.8333333333333,"NYI","T.B","14168","0","2008200920051",50,57.21,57.21,0,114.41,47.83,43.4,47.34,-4,90.74,50,35.51,35.51,0,57.14,3.95,2.96,1,35.9,102.78,42.62,81.82,62.07,11.11,9.09,91.67,8,12,14,10,2008-10-16
"2008200920069",23,28,6,2,20,17,49,65,39,53,31,36,0,2,16,15,20,59.9833333333333,"NYI","FLA","14170","0","2008200920069",42.98,49.01,65.02,-16,114.03,42.39,39.01,53.01,-14,92.03,46.27,31.01,36.01,-5,0,0,2,-2,44.44,94.44,45.1,79.49,63.27,0,0,94.44,8,17,10,12,2008-10-18
"2008200920093",19,31,7,6,17,23,60,51,42,43,27,29,3,5,12,24,14,59.95,"NYI","DAL","14175","1","2008200920093",54.05,60.05,51.04,9,111.09,49.41,42.04,43.04,-1,85.07,48.21,27.02,29.02,-2,37.5,3,5,-2,46.15,93.87,38,64.29,45,11.11,7.14,82.76,15,14,18,8,2008-10-23
"2008200920108",20,31,4,9,16,25,95,58,73,40,60,28,3,4,25,16,10,60,"NYI","CAR","14177","1","2008200920108",62.09,95,58,37,153,64.6,73,40,33,113,68.18,60,28,32,42.86,3,4,-1,71.43,90.71,39.22,82.19,63.16,5,4.11,85.71,13,12,22,18,2008-10-25
"2008200920121",36,35,10,7,32,17,50,68,40,48,30,39,2,4,23,20,28,59.9833333333333,"NYI","NYR","14179","1","2008200920121",42.37,50.01,68.02,-18,118.03,45.45,40.01,48.01,-8,88.02,43.48,30.01,39.01,-9,33.33,2,4,-2,45.1,96.41,50.7,75,60,6.67,5,89.74,10,9,10,20,2008-10-27
"2008200920138",38,35,6,4,12,12,66,50,49,40,36,28,2,3,29,19,25,64.5666666666667,"NYI","PHI","14182","0","2008200920138",56.9,61.33,46.46,16,107.8,55.06,45.53,37.17,9,82.71,56.25,33.45,26.02,8,40,1.86,2.79,-1,53.7,94.84,52.05,73.47,54.55,5.56,4.08,89.29,13,12,17,10,2008-10-30
"2008200920155",34,20,4,5,21,23,59,66,41,45,31,32,4,5,18,21,15,60,"NYI","MTL","14184","1","2008200920155",47.2,59,66,-7,125,47.67,41,45,-4,86,49.21,31,32,-1,44.44,4,5,-1,54.55,97.28,62.96,75.61,52.54,12.9,9.76,84.38,10,13,18,21,2008-11-01
