"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920001",30,32,4,7,16,17,66,37,53,31,41,21,2,1,32,15,15,59.9833333333333,"NYR","T.B","14156","0","2008200920001",64.08,66.02,37.01,29,103.03,63.1,53.01,31.01,22,84.02,66.13,41.01,21.01,20,66.67,2,1,1,68.09,100.12,48.39,77.36,62.12,4.88,3.77,95.24,12,10,13,6,2008-10-04
"2008200920003",17,29,6,5,10,31,72,44,52,32,39,19,2,1,14,16,16,59.9666666666667,"NYR","T.B","14157","1","2008200920003",62.07,72.04,44.02,28,116.06,61.9,52.03,32.02,20,84.05,67.24,39.02,19.01,20,66.67,2,1,1,46.67,99.87,36.96,75,54.17,5.13,3.85,94.74,13,13,20,12,2008-10-05
"2008200920010",23,32,5,5,44,31,51,53,39,45,29,32,4,2,19,19,17,60,"NYR","CHI","14162","1","2008200920010",49.04,51,53,-2,104,46.43,39,45,-6,84,47.54,29,32,-3,66.67,4,2,2,52.78,107.54,41.82,74.36,56.86,13.79,10.26,93.75,10,13,12,8,2008-10-10
"2008200920019",39,29,9,9,5,11,50,50,38,41,27,28,4,3,23,22,23,59.9333333333333,"NYR","PHI","14163","0","2008200920019",50,50.06,50.06,0,100.11,48.1,38.04,41.05,-3,79.09,49.09,27.03,28.03,-1,57.14,4,3,1,50,104.1,57.35,71.05,54,14.81,10.53,89.29,11,13,12,9,2008-10-11
"2008200920034",28,20,5,6,37,43,45,58,32,39,24,27,4,1,18,14,16,59.9833333333333,"NYR","N.J","14165","1","2008200920034",43.69,45.01,58.02,-13,103.03,45.07,32.01,39.01,-7,71.02,47.06,24.01,27.01,-3,80,4,1,3,52.94,112.96,58.33,75,53.33,16.67,12.5,96.3,8,12,13,19,2008-10-13
"2008200920044",27,23,6,5,16,11,50,33,32,24,20,19,1,3,20,20,10,59.9333333333333,"NYR","BUF","14167","1","2008200920044",60.24,50.06,33.04,17,83.09,57.14,32.04,24.03,8,56.06,51.28,20.02,19.02,1,25,1,3,-2,66.67,89.21,54,62.5,40,5,3.12,84.21,12,5,18,9,2008-10-15
"2008200920057",24,33,5,9,42,32,76,43,57,33,32,21,0,0,27,17,13,64.9833333333333,"NYR","TOR","14169","1","2008200920057",63.87,70.17,39.7,33,109.87,63.33,52.63,30.47,24,83.1,60.38,29.55,19.39,11,NA,0,0,0,67.5,100,42.11,56.14,42.11,0,0,100,25,12,19,10,2008-10-17
"2008200920070",29,27,3,2,27,19,47,72,38,62,32,45,4,5,14,24,18,60.3833333333333,"NYR","DET","14170","0","2008200920070",39.5,46.7,71.54,-25,118.24,38,37.76,61.61,-24,99.37,41.56,31.8,44.71,-13,44.44,3.97,4.97,-1,43.75,101.39,51.79,84.21,68.09,12.5,10.53,88.89,6,17,9,10,2008-10-18
"2008200920079",23,18,4,3,43,35,59,47,43,39,29,27,1,2,16,13,12,60,"NYR","DAL","14172","1","2008200920079",55.66,59,47,12,106,52.44,43,39,4,82,51.79,29,27,2,33.33,1,2,-1,57.14,96.04,56.1,67.44,49.15,3.45,2.33,92.59,14,12,16,8,2008-10-20
"2008200920101",23,28,7,8,26,22,58,50,44,39,32,26,3,1,19,18,14,59.9833333333333,"NYR","CBJ","14176","0","2008200920101",53.7,58.02,50.01,8,108.03,53.01,44.01,39.01,5,83.02,55.17,32.01,26.01,6,75,3,1,2,57.58,105.53,45.1,72.73,55.17,9.38,6.82,96.15,12,13,14,11,2008-10-24
"2008200920109",23,24,2,5,29,27,68,54,53,45,44,29,2,2,20,15,12,64.9833333333333,"NYR","PIT","14177","1","2008200920109",55.74,62.79,49.86,14,112.64,54.08,48.94,41.55,8,90.48,60.27,40.63,26.78,15,50,1.85,1.85,0,62.5,97.65,48.94,83.02,64.71,4.55,3.77,93.1,9,16,15,9,2008-10-25
"2008200920121",35,36,7,10,17,32,68,50,48,40,39,30,4,2,28,20,23,59.9833333333333,"NYR","NYI","14179","0","2008200920121",57.63,68.02,50.01,18,118.03,54.55,48.01,40.01,8,88.02,56.52,39.01,30.01,9,66.67,4,2,2,54.9,103.59,49.3,81.25,57.35,10.26,8.33,93.33,9,10,20,10,2008-10-27
"2008200920137",26,30,5,7,28,27,65,58,50,41,33,29,3,2,24,18,14,60,"NYR","ATL","14182","1","2008200920137",52.85,65,58,7,123,54.95,50,41,9,91,53.23,33,29,4,60,3,2,1,63.16,102.19,46.43,66,50.77,9.09,6,93.1,17,12,15,17,2008-10-30
"2008200920153",28,28,5,2,20,22,46,69,31,52,20,35,2,5,18,21,17,60,"NYR","TOR","14184","0","2008200920153",40,46,69,-23,115,37.35,31,52,-21,83,36.36,20,35,-15,28.57,2,5,-3,51.43,95.71,50,64.52,43.48,10,6.45,85.71,11,17,15,17,2008-11-01
"2008200920171",28,22,5,7,19,27,87,37,55,25,36,19,1,2,23,13,14,59.9833333333333,"NYR","NYI","14187","1","2008200920171",70.16,87.02,37.01,50,124.03,68.75,55.02,25.01,30,80.02,65.45,36.01,19.01,17,33.33,1,2,-1,62.16,92.25,56,65.45,41.38,2.78,1.82,89.47,19,6,32,12,2008-11-04
"2008200920182",32,28,4,9,33,38,65,66,52,48,35,38,5,2,22,21,17,59.9666666666667,"NYR","T.B","14189","1","2008200920182",49.62,65.04,66.04,-1,131.07,52,52.03,48.03,4,100.06,47.95,35.02,38.02,-3,71.43,5,2,3,56.41,109.02,53.33,67.31,53.85,14.29,9.62,94.74,17,10,13,18,2008-11-06
"2008200920200",20,33,4,3,21,19,50,54,41,42,29,28,1,3,18,19,16,60,"NYR","WSH","14191","0","2008200920200",48.08,50,54,-4,104,49.4,41,42,-1,83,50.88,29,28,1,25,1,3,-2,52.94,92.73,37.74,70.73,58,3.45,2.44,89.29,12,14,9,12,2008-11-08
"2008200920213",29,33,6,7,31,22,68,51,58,41,42,31,2,2,22,23,17,65,"NYR","EDM","14193","1","2008200920213",57.14,62.77,47.08,17,109.85,58.59,53.54,37.85,17,91.38,57.53,38.77,28.62,11,50,1.85,1.85,0,56.41,98.31,46.77,72.41,61.76,4.76,3.45,93.55,16,10,10,10,2008-11-10
"2008200920222",19,30,4,8,10,10,66,45,49,38,42,32,5,2,21,20,8,59.9833333333333,"NYR","N.J","14195","0","2008200920222",59.46,66.02,45.01,21,111.03,56.32,49.01,38.01,11,87.02,56.76,42.01,32.01,10,71.43,5,2,3,72.41,105.65,38.78,85.71,63.64,11.9,10.2,93.75,7,6,17,7,2008-11-12
"2008200920245",32,29,3,7,38,37,71,39,56,32,31,25,2,2,28,19,14,64.9666666666667,"NYR","BOS","14198","1","2008200920245",64.55,65.57,36.02,32,101.59,63.64,51.72,29.55,24,81.27,55.36,28.63,23.09,6,50,1.85,1.85,0,66.67,98.45,52.46,55.36,43.66,6.45,3.57,92,25,7,15,7,2008-11-15
"2008200920258",30,28,4,4,53,35,60,41,41,36,27,28,1,1,26,19,13,64.95,"NYR","OTT","14200","1","2008200920258",59.41,55.43,37.88,19,93.3,53.25,37.88,33.26,5,71.13,49.09,24.94,25.87,-1,50,0.92,0.92,0,66.67,100.13,51.72,65.85,45,3.7,2.44,96.43,14,8,19,5,2008-11-17
"2008200920269",30,34,4,6,30,22,73,50,58,43,42,33,3,6,31,19,14,59.9833333333333,"NYR","VAN","14202","1","2008200920269",59.35,73.02,50.01,23,123.03,57.43,58.02,43.01,15,101.03,56,42.01,33.01,9,33.33,3,6,-3,68.89,88.96,46.88,72.41,57.53,7.14,5.17,81.82,16,10,15,7,2008-11-19
"2008200920286",33,24,8,3,28,31,46,64,33,51,19,36,1,4,15,18,24,59.9833333333333,"NYR","OTT","14205","0","2008200920286",41.82,46.01,64.02,-18,110.03,39.29,33.01,51.01,-18,84.02,34.55,19.01,36.01,-17,20,1,4,-3,38.46,94.15,57.89,57.58,41.3,5.26,3.03,88.89,14,15,13,13,2008-11-22
"2008200920299",32,20,2,2,32,22,66,65,54,49,36,36,4,1,22,16,14,59.9833333333333,"NYR","PHX","14207","1","2008200920299",50.38,66.02,65.02,1,131.04,52.43,54.02,49.01,5,103.03,50,36.01,36.01,0,80,4,1,3,61.11,108.33,61.54,66.67,54.55,11.11,7.41,97.22,18,13,12,16,2008-11-24
"2008200920314",24,35,9,9,11,26,60,51,46,43,35,29,2,2,18,20,21,64.95,"NYR","T.B","14209","0","2008200920314",54.05,55.43,47.11,9,102.54,51.69,42.49,39.72,3,82.22,54.69,32.33,26.79,6,50,1.85,1.85,0,46.15,98.82,40.68,76.09,58.33,5.71,4.35,93.1,11,14,14,8,2008-11-26
"2008200920331",31,27,7,6,18,28,64,57,54,48,46,41,3,3,17,19,22,64.9666666666667,"NYR","FLA","14211","0","2008200920331",52.89,59.11,52.64,7,111.75,52.94,49.87,44.33,6,94.2,52.87,42.48,37.87,5,50,2.77,2.77,0,43.59,99.2,53.45,85.19,71.88,6.52,5.56,92.68,8,7,10,9,2008-11-28
"2008200920346",33,29,5,7,35,33,68,58,49,46,37,30,0,4,28,16,18,59.9833333333333,"NYR","FLA","14213","1","2008200920346",53.97,68.02,58.02,10,126.04,51.58,49.01,46.01,3,95.03,55.22,37.01,30.01,7,0,0,4,-4,60.87,86.67,53.23,75.51,54.41,0,0,86.67,12,16,19,12,2008-11-30
"2008200920362",33,19,5,4,44,40,61,69,43,48,27,31,2,2,22,16,14,64.9833333333333,"NYR","PIT","14216","1","2008200920362",46.92,56.32,63.71,-8,120.03,47.25,39.7,44.32,-5,84.02,46.55,24.93,28.62,-4,50,1.85,1.85,0,61.11,100.96,63.46,62.79,44.26,7.41,4.65,93.55,16,17,18,21,2008-12-03
"2008200920366",26,23,6,4,15,24,59,62,34,48,20,39,2,6,15,15,19,59.9666666666667,"NYR","MTL","14217","0","2008200920366",48.76,59.03,62.03,-3,121.07,41.46,34.02,48.03,-14,82.05,33.9,20.01,39.02,-19,25,2,6,-4,44.12,94.62,53.06,58.82,33.9,10,5.88,84.62,14,9,25,14,2008-12-04
"2008200920393",19,17,2,4,44,29,56,43,47,36,31,20,0,3,13,14,9,60,"NYR","CGY","14220","1","2008200920393",56.57,56,43,13,99,56.63,47,36,11,83,60.78,31,20,11,0,0,3,-3,59.09,85,52.78,65.96,55.36,0,0,85,16,16,9,7,2008-12-07
