"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920002",32,28,7,6,39,23,58,64,47,43,35,30,3,4,19,19,22,64.3833333333333,"OTT","PIT","14156","1","2008200920002",47.54,54.05,59.64,-6,113.69,52.22,43.8,40.07,4,83.87,53.85,32.62,27.96,5,42.86,2.8,3.73,-1,46.34,95.24,53.33,74.47,60.34,8.57,6.38,86.67,12,13,11,21,2008-10-04
"2008200920004",28,29,8,5,23,32,56,51,41,37,27,31,3,1,16,21,20,59.9333333333333,"OTT","PIT","14157","0","2008200920004",52.34,56.06,51.06,5,107.12,52.56,41.05,37.04,4,78.09,46.55,27.03,31.03,-4,75,3,1,2,44.44,107.89,49.12,65.85,48.21,11.11,7.32,96.77,14,6,15,14,2008-10-05
"2008200920017",26,34,6,6,27,18,36,66,29,53,22,41,2,3,16,19,25,59.9833333333333,"OTT","DET","14163","1","2008200920017",35.29,36.01,66.02,-30,102.03,35.37,29.01,53.01,-24,82.02,34.92,22.01,41.01,-19,40,2,3,-1,39.02,101.77,43.33,75.86,61.11,9.09,6.9,92.68,7,12,7,13,2008-10-11
"2008200920056",24,27,0,3,21,24,43,61,34,44,26,37,6,3,14,19,18,59.9833333333333,"OTT","PHX","14169","1","2008200920056",41.35,43.01,61.02,-18,104.03,43.59,34.01,44.01,-10,78.02,41.27,26.01,37.01,-11,66.67,6,3,3,43.75,114.97,47.06,76.47,60.47,23.08,17.65,91.89,8,7,9,17,2008-10-17
"2008200920065",20,29,2,5,25,27,55,48,35,36,23,27,2,4,22,20,7,59.95,"OTT","BOS","14170","1","2008200920065",53.4,55.05,48.04,7,103.09,49.3,35.03,36.03,-1,71.06,46,23.02,27.02,-4,33.33,2,4,-2,75.86,93.88,40.82,65.71,41.82,8.7,5.71,85.19,12,9,20,12,2008-10-18
"2008200920087",29,22,4,5,27,12,70,44,55,31,42,21,1,3,24,11,16,60,"OTT","FLA","14174","1","2008200920087",61.4,70,44,26,114,63.95,55,31,24,86,66.67,42,21,21,25,1,3,-2,60,88.1,56.86,76.36,60,2.38,1.82,85.71,13,10,15,13,2008-10-22
"2008200920099",26,32,4,7,34,19,59,52,46,44,30,32,3,4,18,20,20,59.9833333333333,"OTT","ANA","14176","1","2008200920099",53.15,59.02,52.01,7,111.03,51.11,46.01,44.01,2,90.03,48.39,30.01,32.01,-2,42.86,3,4,-1,47.37,97.5,44.83,65.22,50.85,10,6.52,87.5,16,12,13,8,2008-10-24
"2008200920106",21,33,7,3,28,23,48,64,32,49,24,38,2,3,12,22,20,59.9833333333333,"OTT","TOR","14177","0","2008200920106",42.86,48.01,64.02,-16,112.03,39.51,32.01,49.01,-17,81.02,38.71,24.01,38.01,-14,40,2,3,-1,37.5,100.44,38.89,75,50,8.33,6.25,92.11,8,11,16,15,2008-10-25
"2008200920120",37,21,14,10,10,11,49,59,35,34,28,27,5,2,15,25,18,59.9833333333333,"OTT","BUF","14179","0","2008200920120",45.37,49.01,59.02,-10,108.03,50.72,35.01,34.01,1,69.02,50.91,28.01,27.01,1,71.43,5,2,3,45.45,110.45,63.79,80,57.14,17.86,14.29,92.59,7,7,14,25,2008-10-27
"2008200920139",34,26,3,5,22,16,52,50,41,37,31,26,2,1,20,20,20,59.9833333333333,"OTT","FLA","14182","0","2008200920139",50.98,52.01,50.01,2,102.03,52.56,41.01,37.01,4,78.02,54.39,31.01,26.01,5,66.67,2,1,1,50,102.61,56.67,75.61,59.62,6.45,4.88,96.15,10,11,11,13,2008-10-30
"2008200920157",35,31,4,3,16,22,64,57,48,44,31,34,2,2,23,24,19,64.95,"OTT","T.B","14184","0","2008200920157",52.89,59.12,52.66,7,111.78,52.17,44.34,40.65,4,84.99,47.69,28.64,31.41,-3,50,1.85,1.85,0,54.76,100.57,53.03,64.58,48.44,6.45,4.17,94.12,17,10,16,13,2008-11-01
"2008200920173",29,34,1,5,20,27,61,49,53,34,44,27,2,1,25,23,15,64.3166666666667,"OTT","WSH","14187","1","2008200920173",55.45,56.91,45.71,12,102.62,60.92,49.44,31.72,19,81.16,61.97,41.05,25.19,17,66.67,1.87,0.93,1,62.5,100.84,46.03,83.02,72.13,4.55,3.77,96.3,9,7,8,15,2008-11-04
"2008200920185",21,21,3,1,28,37,51,44,35,29,25,18,4,1,12,23,7,59.9666666666667,"OTT","PHI","14189","1","2008200920185",53.68,51.03,44.02,7,95.05,54.69,35.02,29.02,6,64.04,58.14,25.01,18.01,7,80,4,1,3,63.16,110.44,50,71.43,49.02,16,11.43,94.44,10,11,16,15,2008-11-06
