"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920019",29,39,9,9,11,5,50,50,41,38,28,27,3,4,23,22,23,59.9333333333333,"PHI","NYR","14163","1","2008200920019",50,50.06,50.06,0,100.11,51.9,41.05,38.04,3,79.09,50.91,28.03,27.03,1,42.86,3,4,-1,50,95.9,42.65,68.29,56,10.71,7.32,85.19,13,11,9,12,2008-10-11
"2008200920035",37,35,7,10,16,24,59,54,44,39,32,27,3,5,27,32,13,59.9333333333333,"PHI","MTL","14165","1","2008200920035",52.21,59.07,54.06,5,113.13,53.01,44.05,39.04,5,83.09,54.24,32.04,27.03,5,37.5,3,5.01,-2,67.5,90.86,51.39,72.73,54.24,9.38,6.82,81.48,12,12,15,15,2008-10-13
"2008200920039",24,36,7,7,38,30,54,62,40,39,30,28,2,3,17,22,21,64.8,"PHI","PIT","14166","0","2008200920039",46.55,50,57.41,-8,107.41,50.63,37.04,36.11,1,73.15,51.72,27.78,25.93,2,40,1.85,2.78,-1,44.74,95.95,40,75,55.56,6.67,5,89.29,10,11,14,23,2008-10-14
"2008200920055",20,30,11,9,21,17,36,50,23,42,17,34,1,5,13,16,21,59.95,"PHI","COL","14168","0","2008200920055",41.86,36.03,50.04,-14,86.07,35.38,23.02,42.04,-19,65.05,33.33,17.01,34.03,-17,16.67,1,5,-4,38.24,91.18,40,73.91,47.22,5.88,4.35,85.29,6,8,13,8,2008-10-16
"2008200920075",26,36,9,6,29,43,40,81,29,62,17,45,4,5,8,21,33,61.3833333333333,"PHI","S.J","14170","0","2008200920075",33.06,39.1,79.17,-41,118.27,31.87,28.35,60.6,-33,88.95,27.42,16.62,43.99,-28,44.44,3.91,4.89,-1,19.51,112.42,41.94,58.62,42.5,23.53,13.79,88.89,12,17,11,19,2008-10-18
"2008200920089",31,36,7,4,14,13,50,62,39,43,29,35,6,6,15,29,23,64.9833333333333,"PHI","S.J","14174","1","2008200920089",44.64,46.17,57.25,-12,103.41,47.56,36.01,39.7,-4,75.71,45.31,26.78,32.32,-6,50,5.54,5.54,0,39.47,103.55,46.27,74.36,58,20.69,15.38,82.86,10,8,11,19,2008-10-22
"2008200920100",25,41,5,5,22,18,41,42,39,33,28,26,6,3,13,28,25,59.9666666666667,"PHI","N.J","14176","0","2008200920100",49.4,41.02,42.02,-1,83.05,54.17,39.02,33.02,6,72.04,51.85,28.02,26.01,2,66.67,6,3,3,34.21,109.89,37.88,71.79,68.29,21.43,15.38,88.46,11,7,2,9,2008-10-24
"2008200920110",30,40,11,9,12,10,60,48,50,35,33,31,3,2,23,24,23,63.7,"PHI","N.J","14177","1","2008200920110",55.56,56.51,45.21,12,101.73,58.82,47.1,32.97,15,80.06,51.56,31.08,29.2,2,60,2.83,1.88,1,50,102.64,42.86,66,55,9.09,6,93.55,17,4,10,13,2008-10-25
"2008200920127",27,29,6,8,11,7,50,40,41,30,30,24,7,0,20,18,18,59.9833333333333,"PHI","ATL","14180","0","2008200920127",55.56,50.01,40.01,10,90.03,57.75,41.01,30.01,11,71.02,55.56,30.01,24.01,6,100,7,0,7,52.63,123.33,48.21,73.17,60,23.33,17.07,100,11,6,9,10,2008-10-28
"2008200920138",35,38,4,6,12,12,50,66,40,49,28,36,3,2,25,19,29,64.5666666666667,"PHI","NYI","14182","1","2008200920138",43.1,46.46,61.33,-16,107.8,44.94,37.17,45.53,-9,82.71,43.75,26.02,33.45,-8,60,2.79,1.86,1,46.3,105.16,47.95,70,56,10.71,7.5,94.44,12,13,10,17,2008-10-30
"2008200920162",39,20,8,7,16,8,48,53,33,39,26,28,4,5,19,25,15,60,"PHI","EDM","14185","1","2008200920162",47.52,48,53,-5,101,45.83,33,39,-6,72,48.15,26,28,-2,44.44,4,5,-1,55.88,97.53,66.1,78.79,54.17,15.38,12.12,82.14,7,11,15,14,2008-11-02
"2008200920185",21,21,1,3,37,28,44,51,29,35,18,25,1,4,7,23,12,59.9666666666667,"PHI","OTT","14189","0","2008200920185",46.32,44.02,51.03,-7,95.05,45.31,29.02,35.02,-6,64.04,41.86,18.01,25.01,-7,20,1,4,-3,36.84,89.56,50,62.07,40.91,5.56,3.45,84,11,10,15,16,2008-11-06
"2008200920199",31,30,8,6,17,21,60,46,48,31,36,22,1,2,20,24,17,59.9833333333333,"PHI","T.B","14191","1","2008200920199",56.6,60.02,46.01,14,106.03,60.76,48.01,31.01,17,79.02,62.07,36.01,22.01,14,33.33,1,2,-1,54.05,93.69,50.82,75,60,2.78,2.08,90.91,12,9,12,15,2008-11-08
"2008200920215",32,36,8,4,17,17,59,73,42,50,32,36,3,1,22,20,26,59.9666666666667,"PHI","NYI","14194","0","2008200920215",44.7,59.03,73.04,-14,132.07,45.65,42.02,50.03,-8,92.05,47.06,32.02,36.02,-4,75,3,1,2,45.83,106.6,47.06,76.19,54.24,9.38,7.14,97.22,10,14,17,23,2008-11-11
"2008200920230",32,29,7,4,25,28,61,59,44,39,35,31,4,4,17,23,21,64.9666666666667,"PHI","PIT","14196","0","2008200920230",50.83,56.34,54.49,2,110.83,53.01,40.64,36.02,5,76.65,53.03,32.32,28.63,4,50,3.69,3.69,0,44.74,98.53,52.46,79.55,57.38,11.43,9.09,87.1,9,8,17,20,2008-11-13
"2008200920242",26,28,5,3,17,27,67,63,46,38,31,25,2,1,21,15,18,59.9666666666667,"PHI","MTL","14198","0","2008200920242",51.54,67.04,63.04,4,130.07,54.76,46.03,38.02,8,84.05,55.36,31.02,25.01,6,66.67,2,1,1,53.85,102.45,48.15,67.39,46.27,6.45,4.35,96,15,13,21,25,2008-11-15
"2008200920254",33,29,3,3,14,15,54,57,44,43,32,32,4,3,23,23,16,59.9166666666667,"PHI","ATL","14199","1","2008200920254",48.65,54.08,57.08,-3,111.15,50.57,44.06,43.06,1,87.12,50,32.04,32.04,0,57.14,4.01,3,1,58.97,103.12,53.23,72.73,59.26,12.5,9.09,90.62,12,11,10,14,2008-11-16
"2008200920282",29,27,7,5,10,15,48,61,36,53,25,40,3,0,18,16,22,59.9166666666667,"PHI","BUF","14204","0","2008200920282",44.04,48.07,61.08,-13,109.15,40.45,36.05,53.07,-17,89.12,38.46,25.03,40.06,-15,100,3,0,3,45,112,51.79,69.44,52.08,12,8.33,100,11,13,12,8,2008-11-21
"2008200920290",31,22,8,3,13,11,59,62,46,41,34,28,4,3,16,20,17,61.5666666666667,"PHI","PHX","14205","1","2008200920290",48.76,57.5,60.42,-3,117.92,52.87,44.83,39.96,5,84.79,54.84,33.13,27.29,6,57.14,3.9,2.92,1,48.48,101.05,58.49,73.91,57.63,11.76,8.7,89.29,12,13,13,21,2008-11-22
"2008200920300",30,36,5,1,21,23,41,58,31,41,25,25,4,3,17,29,20,59.9166666666667,"PHI","DAL","14207","1","2008200920300",41.41,41.06,58.08,-17,99.14,43.06,31.04,41.06,-10,72.1,50,25.03,25.03,0,57.14,4.01,3,1,45.95,104,45.45,80.65,60.98,16,12.9,88,6,16,10,17,2008-11-24
"2008200920312",25,29,7,5,23,39,52,62,36,43,27,28,3,1,15,23,16,59.95,"PHI","CAR","14209","0","2008200920312",45.61,52.04,62.05,-10,114.1,45.57,36.03,43.04,-7,79.07,49.09,27.02,28.02,-1,75,3,1,2,48.39,107.54,46.3,75,51.92,11.11,8.33,96.43,9,15,16,19,2008-11-26
"2008200920324",26,25,6,5,16,11,54,57,42,46,26,30,2,3,17,16,18,63.8666666666667,"PHI","CAR","14211","1","2008200920324",48.65,50.73,53.55,-3,104.28,47.73,39.46,43.22,-4,82.67,46.43,24.43,28.18,-4,40,1.88,2.82,-1,48.57,97.69,50.98,61.9,48.15,7.69,4.76,90,16,16,12,11,2008-11-28
"2008200920337",24,33,6,6,24,36,71,57,52,46,30,27,2,4,18,22,17,60,"PHI","TOR","14212","0","2008200920337",55.47,71,57,14,128,53.06,52,46,6,98,52.63,30,27,3,33.33,2,4,-2,51.43,91.85,42.11,57.69,42.25,6.67,3.85,85.19,22,19,19,11,2008-11-29
"2008200920355",32,33,9,8,14,11,55,62,42,49,32,38,4,3,24,21,20,62.0166666666667,"PHI","T.B","14215","1","2008200920355",47.01,53.21,59.98,-7,113.2,46.15,40.63,47.41,-7,88.04,45.71,30.96,36.76,-6,57.14,3.87,2.9,1,54.55,104.61,49.23,76.19,58.18,12.5,9.52,92.11,10,11,13,13,2008-12-02
"2008200920367",35,27,7,9,18,16,63,63,42,46,31,31,2,3,18,22,22,62.7333333333333,"PHI","N.J","14217","1","2008200920367",50,60.26,60.26,0,120.51,47.73,40.17,44,-4,84.17,50,29.65,29.65,0,40,1.91,2.87,-1,45,96.77,56.45,73.81,49.21,6.45,4.76,90.32,11,15,21,17,2008-12-04
"2008200920384",31,32,9,6,37,23,65,73,44,50,31,36,2,1,18,23,22,63.55,"PHI","CAR","14219","0","2008200920384",47.1,61.37,68.92,-8,130.29,46.81,41.54,47.21,-6,88.75,46.27,29.27,33.99,-5,66.67,1.89,0.94,1,45,103.67,49.21,70.45,47.69,6.45,4.55,97.22,13,14,21,23,2008-12-06
"2008200920402",32,33,4,5,18,19,52,60,33,44,25,27,4,3,18,21,26,59.9666666666667,"PHI","NYI","14222","1","2008200920402",46.43,52.03,60.03,-8,112.06,42.86,33.02,44.02,-11,77.04,48.08,25.01,27.02,-2,57.14,4,3,1,40.91,104.89,49.23,75.76,48.08,16,12.12,88.89,8,17,19,16,2008-12-09
"2008200920414",26,36,11,9,14,5,66,57,57,47,37,31,5,5,21,22,19,65,"PHI","CAR","14224","1","2008200920414",53.66,60.92,52.62,9,113.54,54.81,52.62,43.38,10,96,54.41,34.15,28.62,6,50,4.62,4.62,0,52.5,97.38,41.94,64.91,56.06,13.51,8.77,83.87,20,16,9,10,2008-12-11
"2008200920429",29,23,6,8,21,22,59,48,39,38,27,26,6,3,16,24,12,60,"PHI","PIT","14226","1","2008200920429",55.14,59,48,11,107,50.65,39,38,1,77,50.94,27,26,1,66.67,6,3,3,57.14,110.68,55.77,69.23,45.76,22.22,15.38,88.46,12,12,20,10,2008-12-13
"2008200920447",24,43,7,7,18,12,51,55,35,41,24,31,5,2,23,22,22,59.9,"PHI","COL","14229","1","2008200920447",48.11,51.09,55.09,-4,106.18,46.05,35.06,41.07,-6,76.13,43.64,24.04,31.05,-7,71.43,5.01,2,3,51.11,114.38,35.82,68.57,47.06,20.83,14.29,93.55,11,10,16,14,2008-12-16
"2008200920464",26,38,7,3,36,38,67,57,47,44,31,31,2,5,21,30,13,59.9666666666667,"PHI","MTL","14231","0","2008200920464",54.03,67.04,57.03,10,124.07,51.65,47.03,44.02,3,91.05,50,31.02,31.02,0,28.57,2,5,-3,61.76,90.32,40.62,65.96,46.27,6.45,4.26,83.87,16,13,20,13,2008-12-18
"2008200920475",31,35,11,11,24,25,47,80,32,65,28,48,7,1,15,20,31,59.8666666666667,"PHI","WSH","14233","1","2008200920475",37.01,47.1,80.18,-33,127.28,32.99,32.07,65.14,-33,97.22,36.84,28.06,48.11,-20,87.5,7.02,1,6,32.61,122.92,46.97,87.5,59.57,25,21.88,97.92,4,17,15,15,2008-12-20
"2008200920489",20,41,7,2,7,10,42,51,36,40,29,26,2,2,20,16,25,64.95,"PHI","N.J","14234","0","2008200920489",45.16,38.8,47.11,-9,85.91,47.37,33.26,36.95,-4,70.21,52.73,26.79,24.02,3,50,1.85,1.85,0,44.44,99.2,32.79,80.56,69.05,6.9,5.56,92.31,7,14,6,11,2008-12-21
"2008200920497",32,31,2,2,25,18,66,44,52,28,32,21,6,4,17,31,15,59.95,"PHI","OTT","14236","1","2008200920497",60,66.06,44.04,22,110.09,65,52.04,28.02,24,80.07,60.38,32.03,21.02,11,60,6.01,4,2,53.12,99.7,50.79,61.54,48.48,18.75,11.54,80.95,20,7,14,16,2008-12-23
"2008200920513",37,29,8,4,20,18,29,67,21,50,18,38,1,5,13,25,28,59.9666666666667,"PHI","CHI","14239","0","2008200920513",30.21,29.02,67.04,-38,96.05,29.58,21.01,50.03,-29,71.04,32.14,18.01,38.02,-20,16.67,1,5,-4,31.71,92.4,56.06,85.71,62.07,5.56,4.76,86.84,3,12,8,17,2008-12-26
"2008200920519",26,36,9,6,27,23,35,61,25,46,20,33,0,3,14,23,25,59.9666666666667,"PHI","CBJ","14240","0","2008200920519",36.46,35.02,61.03,-26,96.05,35.21,25.01,46.03,-21,71.04,37.74,20.01,33.02,-13,0,0,3,-3,35.9,90.91,41.94,80,57.14,0,0,90.91,5,13,10,15,2008-12-27
"2008200920546",23,21,4,1,20,14,51,54,36,46,29,31,3,2,11,13,20,59.9833333333333,"PHI","VAN","14243","0","2008200920546",48.57,51.01,54.02,-3,105.03,43.9,36.01,46.01,-10,82.02,48.33,29.01,31.01,-2,60,3,2,1,35.48,103.89,52.27,80.56,56.86,10.34,8.33,93.55,7,15,15,8,2008-12-30
"2008200920564",28,41,5,8,19,33,55,47,46,42,32,27,4,4,29,24,16,64.9666666666667,"PHI","ANA","14246","0","2008200920564",53.92,50.8,43.41,8,94.2,52.27,42.48,38.79,4,81.27,54.24,29.55,24.94,5,50,3.69,3.69,0,64.44,97.69,40.58,69.57,58.18,12.5,8.7,85.19,14,15,9,5,2009-01-02
"2008200920574",28,35,6,3,24,34,54,73,45,50,32,31,1,1,20,14,29,65,"PHI","L.A","14247","0","2008200920574",42.52,49.85,67.38,-19,117.23,47.37,41.54,46.15,-5,87.69,50.79,29.54,28.62,1,50,0.92,0.92,0,40.82,99.9,44.44,71.11,59.26,3.12,2.22,96.77,13,19,9,23,2009-01-03
"2008200920587",32,29,4,4,21,17,57,77,39,53,34,34,1,1,17,13,31,64.9833333333333,"PHI","WSH","14250","0","2008200920587",42.54,52.63,71.1,-20,123.72,42.39,36.01,48.94,-14,84.94,50,31.39,31.39,0,50,0.92,0.92,0,35.42,100,52.46,87.18,59.65,2.94,2.56,97.06,5,19,18,24,2009-01-06
