"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920027",30,35,6,10,24,13,51,69,36,45,30,29,3,1,19,22,24,59.9666666666667,"PHX","CBJ","14163","1","2008200920027",42.5,51.03,69.04,-18,120.07,44.44,36.02,45.03,-9,81.05,50.85,30.02,29.02,1,75,3,1,2,44.19,106.55,46.15,83.33,58.82,10,8.33,96.55,6,16,15,24,2008-10-11
"2008200920030",26,38,9,13,12,28,39,58,32,50,24,35,4,2,19,20,25,59.9833333333333,"PHX","ANA","14164","0","2008200920030",40.21,39.01,58.02,-19,97.03,39.02,32.01,50.01,-18,82.02,40.68,24.01,35.01,-11,66.67,4,2,2,43.18,110.95,40.62,75,61.54,16.67,12.5,94.29,8,15,7,8,2008-10-12
"2008200920046",17,35,11,12,17,27,49,53,36,37,30,30,1,4,15,19,18,59.9666666666667,"PHX","CHI","14167","0","2008200920046",48.04,49.03,53.03,-4,102.06,49.32,36.02,37.02,-1,73.04,50,30.02,30.02,0,20,1,4,-3,45.45,90,32.69,83.33,61.22,3.33,2.78,86.67,6,7,13,16,2008-10-15
"2008200920056",27,24,3,0,24,21,61,43,44,34,37,26,3,6,18,19,14,59.9833333333333,"PHX","OTT","14169","0","2008200920056",58.65,61.02,43.01,18,104.03,56.41,44.01,34.01,10,78.02,58.73,37.01,26.01,11,33.33,3,6,-3,56.25,85.03,52.94,84.09,60.66,8.11,6.82,76.92,7,8,17,9,2008-10-17
"2008200920064",27,38,7,6,27,24,62,55,39,47,29,33,1,4,23,22,20,59.9333333333333,"PHX","MTL","14170","0","2008200920064",52.99,62.07,55.06,7,117.13,45.35,39.04,47.05,-8,86.1,46.77,29.03,33.04,-4,20,1,4,-3,53.49,91.33,41.54,74.36,46.77,3.45,2.56,87.88,10,14,23,8,2008-10-18
"2008200920098",24,43,4,4,23,15,61,61,50,46,34,32,2,1,25,20,22,59.9166666666667,"PHX","WSH","14175","1","2008200920098",50,61.08,61.08,0,122.17,52.08,50.07,46.06,4,96.13,51.52,34.05,32.04,2,66.67,2,1,1,53.19,102.76,35.82,68,55.74,5.88,4,96.88,16,14,11,15,2008-10-23
"2008200920119",21,29,5,5,28,19,40,64,32,48,24,36,1,4,12,19,19,59.9166666666667,"PHX","CGY","14177","1","2008200920119",38.46,40.06,64.09,-24,104.14,40,32.04,48.07,-16,80.11,40,24.03,36.05,-12,20,1,4.01,-3,38.71,93.06,42,75,60,4.17,3.12,88.89,8,12,8,16,2008-10-25
"2008200920145",25,30,5,5,21,20,56,56,41,41,30,28,4,1,15,17,23,59.9833333333333,"PHX","PIT","14182","1","2008200920145",50,56.02,56.02,0,112.03,50,41.01,41.01,0,82.02,51.72,30.01,28.01,2,80,4,1,3,39.47,109.76,45.45,73.17,53.57,13.33,9.76,96.43,11,13,15,15,2008-10-30
"2008200920160",25,34,2,4,13,18,44,51,33,44,27,33,2,3,15,28,16,59.9666666666667,"PHX","MIN","14184","1","2008200920160",46.32,44.02,51.03,-7,95.05,42.86,33.02,44.02,-11,77.04,45,27.02,33.02,-6,40,2,3,-1,48.39,98.32,42.37,81.82,61.36,7.41,6.06,90.91,6,11,11,7,2008-11-01
"2008200920174",32,26,4,4,17,19,36,65,28,42,22,29,4,2,13,23,22,59.9833333333333,"PHX","CGY","14187","0","2008200920174",35.64,36.01,65.02,-29,101.03,40,28.01,42.01,-14,70.02,43.14,22.01,29.01,-7,66.67,4,2,2,37.14,111.29,55.17,78.57,61.11,18.18,14.29,93.1,6,13,8,23,2008-11-04
"2008200920189",30,33,9,5,21,10,55,70,35,53,28,32,0,1,18,17,28,59.9833333333333,"PHX","VAN","14189","0","2008200920189",44,55.02,70.02,-15,125.03,39.77,35.01,53.01,-18,88.02,46.67,28.01,32.01,-4,0,0,1,-1,39.13,96.88,47.62,80,50.91,0,0,96.88,7,21,20,17,2008-11-06
"2008200920204",34,31,1,7,19,24,73,67,54,41,39,27,4,1,33,13,19,59.95,"PHX","FLA","14191","1","2008200920204",52.14,73.06,67.06,6,140.12,56.84,54.05,41.03,13,95.08,59.09,39.03,27.02,12,80,4,1,3,63.46,106.55,52.31,72.22,53.42,10.26,7.41,96.3,15,14,19,26,2008-11-08
"2008200920211",25,28,6,8,27,19,47,64,41,45,30,32,4,2,15,21,17,59.9666666666667,"PHX","S.J","14192","1","2008200920211",42.34,47.03,64.04,-17,111.06,47.67,41.02,45.03,-4,86.05,48.39,30.02,32.02,-2,66.67,4,2,2,46.88,107.08,47.17,73.17,63.83,13.33,9.76,93.75,11,13,6,19,2008-11-09
"2008200920224",25,31,6,6,11,17,58,66,45,47,30,33,5,2,17,19,20,59.975,"PHX","CBJ","14195","0","2008200920224",46.77,58.02,66.03,-8,124.05,48.91,45.02,47.02,-2,92.04,47.62,30.01,33.01,-3,71.43,5,2,3,45.95,110.61,44.64,66.67,51.72,16.67,11.11,93.94,15,14,13,19,2008-11-12
"2008200920232",21,37,8,7,9,16,49,60,33,46,24,32,0,4,23,17,18,59.9666666666667,"PHX","MIN","14196","0","2008200920232",44.95,49.03,60.03,-11,109.06,41.77,33.02,46.03,-13,79.04,42.86,24.01,32.02,-8,0,0,4,-4,56.1,87.5,36.21,72.73,48.98,0,0,87.5,9,14,16,14,2008-11-13
"2008200920249",14,34,5,3,27,22,47,45,32,31,27,19,2,3,17,18,13,59.9666666666667,"PHX","DAL","14198","1","2008200920249",51.09,47.03,45.03,2,92.05,50.79,32.02,31.02,1,63.04,58.7,27.02,19.01,8,40,2,3,-1,56.67,91.62,29.17,84.38,57.45,7.41,6.25,84.21,5,12,15,14,2008-11-15
"2008200920266",34,35,8,9,27,18,70,71,51,49,38,40,2,2,25,21,23,64.9833333333333,"PHX","CHI","14201","1","2008200920266",49.65,64.63,65.56,-1,130.19,51,47.09,45.24,2,92.33,48.72,35.09,36.93,-2,50,1.85,1.85,0,52.08,100.26,49.28,74.51,54.29,5.26,3.92,95,13,9,19,22,2008-11-18
"2008200920281",23,40,3,3,17,20,68,65,49,53,28,33,2,5,25,20,18,59.9833333333333,"PHX","CAR","14204","0","2008200920281",51.13,68.02,65.02,3,133.04,48.04,49.01,53.01,-4,102.03,45.9,28.01,33.01,-5,28.57,2,5,-3,58.14,91.99,36.51,57.14,41.18,7.14,4.08,84.85,21,20,19,12,2008-11-21
"2008200920290",22,31,3,8,11,13,62,59,41,46,28,34,3,4,17,20,16,61.5666666666667,"PHX","PHI","14205","0","2008200920290",51.24,60.42,57.5,3,117.92,47.13,39.96,44.83,-5,84.79,45.16,27.29,33.13,-6,42.86,2.92,3.9,-1,51.52,98.95,41.51,68.29,45.16,10.71,7.32,88.24,13,12,21,13,2008-11-22
"2008200920299",20,32,2,2,22,32,65,66,49,54,36,36,1,4,14,16,22,59.9833333333333,"PHX","NYR","14207","0","2008200920299",49.62,65.02,66.02,-1,131.04,47.57,49.01,54.02,-5,103.03,50,36.01,36.01,0,20,1,4,-3,38.89,91.67,38.46,73.47,55.38,2.78,2.04,88.89,13,18,16,12,2008-11-24
"2008200920313",25,38,9,7,24,43,33,73,30,52,25,40,3,2,15,18,30,59.9583333333333,"PHX","CBJ","14209","0","2008200920313",31.13,33.02,73.05,-40,106.07,36.59,30.02,52.04,-22,82.06,38.46,25.02,40.03,-15,60,3,2,1,33.33,107,39.68,83.33,75.76,12,10,95,5,12,3,21,2008-11-26
"2008200920326",16,35,4,4,15,15,49,64,30,49,20,38,2,1,15,16,20,59.8833333333333,"PHX","COL","14211","1","2008200920326",43.36,49.1,64.12,-15,113.22,37.97,30.06,49.1,-19,79.15,34.48,20.04,38.07,-18,66.67,2,1,1,42.86,107.37,31.37,66.67,40.82,10,6.67,97.37,10,11,19,15,2008-11-28
"2008200920344",29,24,4,8,32,22,46,48,31,38,20,23,2,3,15,21,17,59.95,"PHX","S.J","14212","1","2008200920344",48.94,46.04,48.04,-2,94.08,44.93,31.03,38.03,-7,69.06,46.51,20.02,23.02,-3,40,2,3,-1,46.88,96.96,54.72,64.52,43.48,10,6.45,86.96,11,15,15,10,2008-11-29
"2008200920359",27,29,1,5,33,24,64,62,40,47,26,34,4,2,24,16,16,59.9833333333333,"PHX","L.A","14215","1","2008200920359",50.79,64.02,62.02,2,126.04,45.98,40.01,47.01,-7,87.02,43.33,26.01,34.01,-8,66.67,4,2,2,60,109.5,48.21,65,40.62,15.38,10,94.12,14,13,24,15,2008-12-02
"2008200920374",18,30,6,6,22,19,62,48,43,30,26,18,6,3,15,19,14,59.9833333333333,"PHX","TOR","14217","1","2008200920374",56.36,62.02,48.01,14,110.03,58.9,43.01,30.01,13,73.02,59.09,26.01,18.01,8,66.67,6,3,3,51.72,106.41,37.5,60.47,41.94,23.08,13.95,83.33,17,12,19,18,2008-12-04
"2008200920389",27,30,8,9,22,24,47,56,36,46,26,30,3,4,19,19,19,59.9666666666667,"PHX","STL","14219","0","2008200920389",45.63,47.03,56.03,-9,103.06,43.9,36.02,46.03,-10,82.05,46.43,26.01,30.02,-4,42.86,3,4,-1,50,98.21,47.37,72.22,55.32,11.54,8.33,86.67,10,16,11,10,2008-12-06
"2008200920394",27,31,9,8,12,10,32,58,25,39,21,28,1,7,15,25,18,59.975,"PHX","CHI","14220","0","2008200920394",35.56,32.01,58.02,-26,90.04,39.06,25.01,39.02,-14,64.03,42.86,21.01,28.01,-7,12.5,1,7,-6,45.45,79.76,46.55,84,65.62,4.76,4,75,4,11,7,19,2008-12-07
"2008200920411",34,31,7,6,24,14,60,54,45,49,34,32,5,3,19,22,24,59.9833333333333,"PHX","DAL","14223","0","2008200920411",52.63,60.02,54.02,6,114.03,47.87,45.01,49.01,-4,94.03,51.52,34.01,32.01,2,62.5,5,3,2,44.19,105.33,52.31,75.56,56.67,14.71,11.11,90.62,11,17,15,5,2008-12-10
"2008200920419",30,31,5,5,26,19,55,62,39,46,32,31,3,1,28,14,19,59.95,"PHX","MIN","14224","1","2008200920419",47.01,55.05,62.05,-7,117.1,45.88,39.03,46.04,-7,85.07,50.79,32.03,31.03,1,75,3,1,2,59.57,106.15,49.18,82.05,58.18,9.38,7.69,96.77,7,15,16,16,2008-12-11
"2008200920438",17,44,4,6,18,21,53,74,42,59,28,38,4,4,15,26,20,64.95,"PHX","DET","14226","1","2008200920438",41.73,48.96,68.36,-21,117.32,41.58,38.8,54.5,-17,93.3,42.42,25.87,35.1,-10,50,3.7,3.7,0,42.86,103.76,27.87,66.67,52.83,14.29,9.52,89.47,14,21,11,15,2008-12-13
"2008200920452",17,17,3,4,27,16,49,63,33,44,23,30,1,2,11,11,12,63.65,"PHX","DAL","14229","0","2008200920452",43.75,46.19,59.39,-14,105.58,42.86,31.11,41.48,-11,72.58,43.4,21.68,28.28,-7,33.33,0.94,1.89,-1,47.83,97.68,50,69.7,46.94,4.35,3.03,93.33,10,14,16,19,2008-12-16
"2008200920468",23,30,3,2,19,18,48,53,39,42,27,31,2,1,15,13,25,59.9583333333333,"PHX","NSH","14231","1","2008200920468",47.52,48.03,53.04,-5,101.07,48.15,39.03,42.03,-3,81.06,46.55,27.02,31.02,-4,66.67,2,1,1,37.5,104.18,43.4,69.23,56.25,7.41,5.13,96.77,12,11,9,11,2008-12-18
"2008200920483",23,41,3,4,40,26,44,62,32,44,24,33,2,0,19,21,24,59.9333333333333,"PHX","CBJ","14233","1","2008200920483",41.51,44.05,62.07,-18,106.12,42.11,32.04,44.05,-12,76.08,42.11,24.03,33.04,-9,100,2,0,2,44.19,108.33,35.94,75,54.55,8.33,6.25,100,8,11,12,18,2008-12-20
"2008200920492",33,32,11,8,17,17,45,52,39,44,29,27,2,4,26,15,24,59.975,"PHX","EDM","14235","0","2008200920492",46.39,45.02,52.02,-7,97.04,46.99,39.02,44.02,-5,83.03,51.79,29.01,27.01,2,33.33,2,4,-2,52,92.08,50.77,74.36,64.44,6.9,5.13,85.19,10,17,6,8,2008-12-22
"2008200920504",23,33,3,4,15,14,44,68,38,56,23,48,4,5,16,22,18,61.7666666666667,"PHX","COL","14236","0","2008200920504",39.29,42.74,66.06,-24,108.8,40.43,36.91,54.4,-18,91.31,32.39,22.34,46.63,-25,44.44,3.89,4.86,-1,47.06,106.97,41.07,60.53,52.27,17.39,10.53,89.58,15,8,6,12,2008-12-23
"2008200920515",23,25,3,4,21,29,52,58,41,46,26,25,2,1,16,15,17,60,"PHX","L.A","14239","0","2008200920515",47.27,52,58,-6,110,47.13,41,46,-5,87,50.98,26,25,1,66.67,2,1,1,48.48,103.69,47.92,63.41,50,7.69,4.88,96,15,21,11,12,2008-12-26
