"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920002",28,32,6,7,23,39,64,58,43,47,30,35,4,3,22,19,19,64.3833333333333,"PIT","OTT","14156","0","2008200920002",52.46,59.64,54.05,6,113.69,47.78,40.07,43.8,-4,83.87,46.15,27.96,32.62,-5,57.14,3.73,2.8,1,53.66,104.76,46.67,69.77,46.88,13.33,9.3,91.43,13,12,21,11,2008-10-04
"2008200920004",29,28,5,8,32,23,51,56,37,41,31,27,1,3,20,21,16,59.9333333333333,"PIT","OTT","14157","1","2008200920004",47.66,51.06,56.06,-5,107.12,47.44,37.04,41.05,-4,78.09,53.45,31.03,27.03,4,25,1,3,-2,55.56,92.11,50.88,83.78,60.78,3.23,2.7,88.89,6,14,14,15,2008-10-05
"2008200920022",23,29,7,6,24,20,38,88,27,61,15,49,1,2,10,17,25,64.35,"PIT","N.J","14163","1","2008200920022",30.16,35.43,82.05,-50,117.48,30.68,25.17,56.88,-34,82.05,23.44,13.99,45.69,-34,33.33,0.93,1.86,-1,28.57,102.59,44.23,55.56,39.47,6.67,3.7,95.92,12,12,11,27,2008-10-11
"2008200920039",36,24,7,7,30,38,62,54,39,40,28,30,3,2,21,22,17,64.8,"PIT","PHI","14166","1","2008200920039",53.45,57.41,50,8,107.41,49.37,36.11,37.04,-1,73.15,48.28,25.93,27.78,-2,60,2.78,1.85,1,55.26,104.05,60,71.79,45.16,10.71,7.69,93.33,11,10,23,14,2008-10-14
"2008200920050",26,27,5,7,10,16,48,66,36,40,26,30,3,4,18,16,19,60,"PIT","WSH","14168","1","2008200920050",42.11,48,66,-18,114,47.37,36,40,-4,76,46.43,26,30,-4,42.86,3,4,-1,48.65,98.21,49.06,72.22,54.17,11.54,8.33,86.67,10,10,12,26,2008-10-16
"2008200920066",34,22,6,4,27,24,51,59,36,40,25,27,4,1,15,20,21,60,"PIT","TOR","14170","1","2008200920066",46.36,51,59,-8,110,47.37,36,40,-4,76,48.08,25,27,-2,80,4,1,3,41.67,112.3,60.71,69.44,49.02,16,11.11,96.3,11,13,15,19,2008-10-18
"2008200920078",35,31,7,5,20,20,45,64,36,48,32,36,1,1,19,18,29,64.8666666666667,"PIT","BOS","14172","0","2008200920078",41.28,41.62,59.2,-19,100.82,42.86,33.3,44.4,-12,77.7,47.06,29.6,33.3,-4,50,0.92,0.92,0,39.58,100.35,53.03,88.89,71.11,3.12,2.78,97.22,4,12,9,16,2008-10-20
"2008200920094",30,26,4,3,20,33,55,50,43,33,35,25,4,1,19,16,21,59.95,"PIT","CAR","14175","1","2008200920094",52.38,55.05,50.04,5,105.09,56.58,43.04,33.03,10,76.06,58.33,35.03,25.02,10,80,4,1,3,47.5,107.43,53.57,81.4,63.64,11.43,9.3,96,8,8,12,17,2008-10-23
"2008200920109",24,23,5,2,27,29,54,68,45,53,29,44,2,2,12,15,20,64.9833333333333,"PIT","NYR","14177","0","2008200920109",44.26,49.86,62.79,-14,112.64,45.92,41.55,48.94,-8,90.48,39.73,26.78,40.63,-15,50,1.85,1.85,0,37.5,102.35,51.06,64.44,53.7,6.9,4.44,95.45,16,9,9,15,2008-10-25
"2008200920132",16,30,7,3,21,27,27,66,19,50,11,34,1,2,8,17,21,59.9666666666667,"PIT","S.J","14180","0","2008200920132",29.03,27.02,66.04,-39,93.05,27.54,19.01,50.03,-31,69.04,24.44,11.01,34.02,-23,33.33,1,2,-1,27.59,103.21,34.78,57.89,40.74,9.09,5.26,94.12,8,16,8,16,2008-10-28
"2008200920145",30,25,5,5,20,21,56,56,41,41,28,30,1,4,23,17,15,59.9833333333333,"PIT","PHX","14182","0","2008200920145",50,56.02,56.02,0,112.03,50,41.01,41.01,0,82.02,48.28,28.01,30.01,-2,20,1,4,-3,60.53,90.24,54.55,68.29,50,3.57,2.44,86.67,13,11,15,15,2008-10-30
"2008200920159",36,27,4,6,19,30,49,51,44,35,28,22,6,3,14,31,18,59.9833333333333,"PIT","STL","14184","0","2008200920159",49,49.01,51.01,-2,100.03,55.7,44.01,35.01,9,79.02,56,28.01,22.01,6,66.67,6,3,3,43.75,107.79,57.14,63.64,57.14,21.43,13.64,86.36,16,13,5,16,2008-11-01
"2008200920186",39,21,7,9,25,19,72,54,50,42,34,31,5,4,20,24,16,59.9166666666667,"PIT","EDM","14189","1","2008200920186",57.14,72.1,54.08,18,126.18,54.35,50.07,42.06,8,92.13,52.31,34.05,31.04,3,55.56,5.01,4.01,1,55.56,101.8,65,68,47.22,14.71,10,87.1,16,11,22,12,2008-11-06
"2008200920198",34,31,3,4,10,15,74,42,45,28,32,22,3,3,30,19,16,64.9666666666667,"PIT","NYI","14191","0","2008200920198",63.79,68.34,38.79,32,107.13,61.64,41.56,25.86,17,67.42,59.26,29.55,20.32,10,50,2.77,2.77,0,65.22,95.74,52.31,71.11,43.24,9.38,6.67,86.36,13,6,29,14,2008-11-08
