"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920008",35,25,2,7,23,14,63,40,48,30,41,29,4,1,19,18,23,60,"S.J","ANA","14161","1","2008200920008",61.17,63,40,23,103,61.54,48,30,18,78,58.57,41,29,12,80,4,1,3,45.24,106.31,58.33,85.42,65.08,9.76,8.33,96.55,7,1,15,10,2008-10-09
"2008200920028",30,22,4,6,24,24,69,34,58,21,41,13,3,1,22,20,10,60,"S.J","L.A","14163","1","2008200920028",66.99,69,34,35,103,73.42,58,21,37,79,75.93,41,13,28,75,3,1,2,68.75,99.62,57.69,70.69,59.42,7.32,5.17,92.31,17,8,11,13,2008-10-11
"2008200920031",25,22,5,4,16,25,55,49,42,36,19,21,1,0,16,13,18,59.9666666666667,"S.J","L.A","14164","0","2008200920031",52.88,55.03,49.03,6,104.06,53.85,42.02,36.02,6,78.04,47.5,19.01,21.01,-2,100,1,0,1,47.06,105.26,53.19,45.24,34.55,5.26,2.38,100,23,15,13,13,2008-10-12
"2008200920043",29,25,7,4,26,23,51,58,33,41,25,33,5,2,11,23,20,59.975,"S.J","CBJ","14166","1","2008200920043",46.79,51.02,58.02,-7,109.05,44.59,33.01,41.02,-8,74.03,43.1,25.01,33.01,-8,71.43,5,2,3,35.48,113.94,53.7,75.76,49.02,20,15.15,93.94,8,8,18,17,2008-10-14
"2008200920061",34,23,10,11,24,23,59,43,52,36,38,20,0,4,24,16,17,59.9833333333333,"S.J","ANA","14169","0","2008200920061",57.84,59.02,43.01,16,102.03,59.09,52.01,36.01,16,88.02,65.52,38.01,20.01,18,0,0,4,-4,58.54,80,59.65,73.08,64.41,0,0,80,14,16,7,7,2008-10-17
"2008200920075",36,26,6,9,43,29,81,40,62,29,45,17,5,4,33,21,8,61.3833333333333,"S.J","PHI","14170","1","2008200920075",66.94,79.17,39.1,41,118.27,68.13,60.6,28.35,33,88.95,72.58,43.99,16.62,28,55.56,4.89,3.91,1,80.49,87.58,58.06,72.58,55.56,11.11,8.06,76.47,17,12,19,11,2008-10-18
"2008200920089",36,31,4,7,13,14,62,50,43,39,35,29,6,6,23,29,15,64.9833333333333,"S.J","PHI","14174","0","2008200920089",55.36,57.25,46.17,12,103.41,52.44,39.7,36.01,4,75.71,54.69,32.32,26.78,6,50,5.54,5.54,0,60.53,96.45,53.73,81.4,56.45,17.14,13.95,79.31,8,10,19,11,2008-10-22
"2008200920102",43,31,3,5,19,20,75,52,56,42,50,35,3,4,29,20,25,59.95,"S.J","FLA","14176","0","2008200920102",59.06,75.06,52.04,23,127.11,57.14,56.05,42.04,14,98.08,58.82,50.04,35.03,15,42.86,3,4,-1,53.7,94.57,58.11,89.29,66.67,6,5.36,88.57,6,7,19,10,2008-10-24
"2008200920111",28,18,3,7,12,25,69,33,58,25,45,22,3,0,18,15,13,60,"S.J","T.B","14177","0","2008200920111",67.65,69,33,36,102,69.88,58,25,33,83,67.16,45,22,23,100,3,0,3,58.06,106.67,60.87,77.59,65.22,6.67,5.17,100,13,3,11,8,2008-10-25
"2008200920132",30,16,3,7,27,21,66,27,50,19,34,11,2,1,21,17,8,59.9666666666667,"S.J","PIT","14180","1","2008200920132",70.97,66.04,27.02,39,93.05,72.46,50.03,19.01,31,69.04,75.56,34.02,11.01,23,66.67,2,1,1,72.41,96.79,65.22,68,51.52,5.88,4,90.91,16,8,16,8,2008-10-28
"2008200920147",28,33,4,4,29,16,58,51,44,34,33,27,4,2,20,20,21,59.9666666666667,"S.J","DET","14182","1","2008200920147",53.21,58.03,51.03,7,109.06,56.41,44.02,34.02,10,78.04,55,33.02,27.02,6,66.67,4,2,2,48.78,104.71,45.9,75,56.9,12.12,9.09,92.59,11,7,14,17,2008-10-30
"2008200920165",25,28,3,2,19,17,55,61,43,49,29,36,5,3,16,23,14,59.9916666666667,"S.J","COL","14185","0","2008200920165",47.41,55.01,61.01,-6,116.02,46.74,43.01,49.01,-6,92.01,44.62,29,36.01,-7,62.5,5,3,2,53.33,108.91,47.17,67.44,52.73,17.24,11.63,91.67,14,13,12,12,2008-11-02
"2008200920177",20,26,4,7,24,19,73,44,62,34,49,24,3,1,19,17,10,59.9833333333333,"S.J","MIN","14187","1","2008200920177",62.39,73.02,44.01,29,117.03,64.58,62.02,34.01,28,96.03,67.12,49.01,24.01,25,75,3,1,2,65.52,101.96,43.48,79.03,67.12,6.12,4.84,95.83,13,10,11,10,2008-11-04
"2008200920191",36,28,7,9,17,25,93,50,65,38,43,29,4,4,26,23,15,64.9666666666667,"S.J","STL","14189","1","2008200920191",65.03,85.89,46.18,43,132.07,63.11,60.03,35.09,27,95.13,59.72,39.71,26.78,14,50,3.69,3.69,0,63.41,95.51,56.25,66.15,46.24,9.3,6.15,86.21,22,9,28,12,2008-11-06
"2008200920206",24,27,5,4,43,21,69,44,52,35,33,24,2,1,18,17,16,59.9833333333333,"S.J","DAL","14191","1","2008200920206",61.06,69.02,44.01,25,113.03,59.77,52.01,35.01,17,87.02,57.89,33.01,24.01,9,66.67,2,1,1,52.94,101.89,47.06,63.46,47.83,6.06,3.85,95.83,19,11,17,9,2008-11-08
"2008200920211",28,25,8,6,19,27,64,47,45,41,32,30,2,4,17,21,15,59.9666666666667,"S.J","PHX","14192","0","2008200920211",57.66,64.04,47.03,17,111.06,52.33,45.03,41.02,4,86.05,51.61,32.02,30.02,2,33.33,2,4,-2,53.12,92.92,52.83,71.11,50,6.25,4.44,86.67,13,11,19,6,2008-11-09
