"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920014",27,28,4,6,18,23,43,49,36,39,22,22,5,2,14,23,18,60,"STL","NSH","14162","1","2008200920014",46.74,43,49,-6,92,48,36,39,-3,75,50,22,22,0,71.43,5,2,3,43.75,113.64,49.09,61.11,51.16,22.73,13.89,90.91,14,17,7,10,2008-10-10
"2008200920018",30,27,4,3,16,26,56,61,36,49,26,34,2,5,17,22,18,59.9166666666667,"STL","NYI","14163","0","2008200920018",47.86,56.08,61.08,-5,117.16,42.35,36.05,49.07,-13,85.12,43.33,26.04,34.05,-8,28.57,2,5.01,-3,48.57,92.99,52.63,72.22,46.43,7.69,5.56,85.29,10,15,20,12,2008-10-11
"2008200920032",31,30,7,7,8,13,56,79,39,59,26,39,4,4,12,25,24,64.9833333333333,"STL","TOR","14165","0","2008200920032",41.48,51.71,72.94,-23,124.65,39.8,36.01,54.48,-20,90.48,40,24.01,36.01,-13,50,3.69,3.69,0,33.33,105.13,50.82,66.67,46.43,15.38,10.26,89.74,13,20,17,20,2008-10-13
"2008200920054",25,30,4,5,21,18,44,52,37,42,23,30,6,1,14,27,14,59.9833333333333,"STL","DAL","14168","1","2008200920054",45.83,44.01,52.01,-8,96.03,46.84,37.01,42.01,-5,79.02,43.4,23.01,30.01,-7,85.71,6,1,5,50,122.75,45.45,62.16,52.27,26.09,16.22,96.67,14,12,7,10,2008-10-16
"2008200920073",35,20,4,4,25,15,58,47,43,32,29,26,3,3,18,21,16,65,"STL","CHI","14170","1","2008200920073",55.24,53.54,43.38,11,96.92,57.33,39.69,29.54,11,69.23,52.73,26.77,24,3,50,2.77,2.77,0,52.94,98.81,63.64,67.44,50,10.34,6.98,88.46,14,6,15,15,2008-10-18
"2008200920090",32,34,5,7,23,19,51,57,40,46,24,34,3,4,24,19,23,59.9666666666667,"STL","DET","14174","1","2008200920090",47.22,51.03,57.03,-6,108.06,46.51,40.02,46.03,-6,86.05,41.38,24.01,34.02,-10,42.86,3,4,-1,51.06,100.74,48.48,60,47.06,12.5,7.5,88.24,16,12,11,11,2008-10-22
"2008200920104",26,34,10,9,22,13,43,56,31,42,15,29,0,4,13,20,27,59.95,"STL","L.A","14176","1","2008200920104",43.43,43.04,56.05,-13,99.08,42.47,31.03,42.04,-11,73.06,34.09,15.01,29.02,-14,0,0,4,-4,32.5,86.21,43.33,48.39,34.88,0,0,86.21,16,13,12,14,2008-10-24
"2008200920116",28,28,5,10,16,13,59,52,45,36,31,17,4,0,19,16,21,60,"STL","FLA","14177","1","2008200920116",53.15,59,52,7,111,55.56,45,36,9,81,64.58,31,17,14,100,4,0,4,47.5,112.9,50,68.89,52.54,12.9,8.89,100,14,19,14,16,2008-10-25
"2008200920142",24,32,7,4,21,13,45,61,38,44,19,29,0,1,10,18,28,59.9166666666667,"STL","CAR","14182","1","2008200920142",42.45,45.06,61.08,-16,106.15,46.34,38.05,44.06,-6,82.11,39.58,19.03,29.04,-10,0,0,1,-1,26.32,96.55,42.86,50,42.22,0,0,96.55,19,15,7,17,2008-10-30
"2008200920159",27,36,6,4,30,19,51,49,35,44,22,28,3,6,18,31,14,59.9833333333333,"STL","PIT","14184","1","2008200920159",51,51.01,49.01,2,100.03,44.3,35.01,44.01,-9,79.02,44,22.01,28.01,-6,33.33,3,6,-3,56.25,92.21,42.86,62.86,43.14,13.64,8.57,78.57,13,16,16,5,2008-11-01
"2008200920180",30,18,2,6,19,20,50,49,41,37,32,27,2,5,17,18,13,59.9666666666667,"STL","ANA","14188","0","2008200920180",50.51,50.03,49.03,1,99.06,52.56,41.02,37.02,4,78.04,54.24,32.02,27.02,5,28.57,2,5,-3,56.67,87.73,62.5,78.05,64,6.25,4.88,81.48,9,10,9,12,2008-11-05
"2008200920191",28,36,9,7,25,17,50,93,38,65,29,43,4,4,15,23,26,64.9666666666667,"STL","S.J","14189","0","2008200920191",34.97,46.18,85.89,-43,132.07,36.89,35.09,60.03,-27,95.13,40.28,26.78,39.71,-14,50,3.69,3.69,0,36.59,104.49,43.75,76.32,58,13.79,10.53,90.7,9,22,12,28,2008-11-06
"2008200920207",37,35,7,5,31,30,69,58,52,45,27,31,3,5,27,22,23,60,"STL","L.A","14191","0","2008200920207",54.33,69,58,11,127,53.61,52,45,7,97,46.55,27,31,-4,37.5,3,5,-2,54,94.98,51.39,51.92,39.13,11.11,5.77,83.87,25,14,17,13,2008-11-08
"2008200920221",26,38,5,4,31,19,57,57,46,48,33,32,3,4,17,25,22,59.9666666666667,"STL","BUF","14195","0","2008200920221",50,57.03,57.03,0,114.06,48.94,46.03,48.03,-2,94.05,50.77,33.02,32.02,1,42.86,3,4,-1,43.59,96.59,40.62,71.74,57.89,9.09,6.52,87.5,13,16,11,9,2008-11-12
"2008200920240",26,30,10,10,10,21,48,64,35,46,30,35,4,3,15,18,23,62.2333333333333,"STL","CHI","14197","0","2008200920240",42.86,46.28,61.7,-16,107.98,43.21,33.74,44.35,-11,78.09,46.15,28.92,33.74,-5,57.14,3.86,2.89,1,39.47,104.76,46.43,85.71,62.5,13.33,11.43,91.43,5,11,13,18,2008-11-14
"2008200920253",33,34,10,9,18,22,47,53,37,44,26,26,2,2,22,21,24,64.9833333333333,"STL","MTL","14199","1","2008200920253",47,43.4,48.94,-6,92.33,45.68,34.16,40.63,-7,74.79,50,24.01,24.01,0,50,1.85,1.85,0,47.83,100,49.25,70.27,55.32,7.69,5.41,92.31,11,18,10,9,2008-11-16
"2008200920284",33,26,9,6,12,20,51,53,40,33,28,28,3,2,16,20,23,62.6333333333333,"STL","ANA","14204","1","2008200920284",49.04,48.86,50.77,-2,99.63,54.79,38.32,31.61,7,69.93,50,26.82,26.82,0,60,2.87,1.92,1,41.03,103.57,55.93,70,54.9,10.71,7.5,92.86,12,5,11,20,2008-11-21
"2008200920292",26,27,6,2,26,23,44,68,32,48,26,32,2,1,16,17,20,59.9333333333333,"STL","MIN","14205","0","2008200920292",39.29,44.05,68.08,-24,112.12,40,32.04,48.05,-16,80.09,44.83,26.03,32.04,-6,66.67,2,1,1,44.44,104.57,49.06,81.25,59.09,7.69,6.25,96.88,6,16,12,20,2008-11-22
