"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920001",32,30,7,4,17,16,37,66,31,53,21,41,1,2,15,15,32,59.9833333333333,"T.B","NYR","14156","1","2008200920001",35.92,37.01,66.02,-29,103.03,36.9,31.01,53.01,-22,84.02,33.87,21.01,41.01,-20,33.33,1,2,-1,31.91,99.88,51.61,67.74,56.76,4.76,3.23,95.12,10,12,6,13,2008-10-04
"2008200920003",29,17,5,6,31,10,44,72,32,52,19,39,1,2,16,16,14,59.9666666666667,"T.B","NYR","14157","0","2008200920003",37.93,44.02,72.04,-28,116.06,38.1,32.02,52.03,-20,84.05,32.76,19.01,39.02,-20,33.33,1,2,-1,53.33,100.13,63.04,59.38,43.18,5.26,3.12,94.87,13,13,12,20,2008-10-05
"2008200920023",40,31,9,7,20,16,51,71,41,59,29,46,3,4,17,25,29,64.5333333333333,"T.B","CAR","14163","1","2008200920023",41.8,47.42,66.01,-20,113.43,41,38.12,54.86,-18,92.98,38.67,26.96,42.77,-17,42.86,2.79,3.72,-1,36.96,101.65,56.34,70.73,56.86,10.34,7.32,91.3,12,13,10,12,2008-10-11
"2008200920051",35,26,10,7,20,14,58,58,48,44,36,36,3,4,25,22,14,60.8333333333333,"T.B","NYI","14168","1","2008200920051",50,57.21,57.21,0,114.41,52.17,47.34,43.4,4,90.74,50,35.51,35.51,0,42.86,2.96,3.95,-1,64.1,97.22,57.38,75,62.07,8.33,6.25,88.89,12,8,10,14,2008-10-16
"2008200920071",27,23,7,3,30,18,59,38,43,29,32,21,0,0,18,12,20,65,"T.B","MIN","14170","1","2008200920071",60.82,54.46,35.08,21,89.54,59.72,39.69,26.77,14,66.46,60.38,29.54,19.38,11,NA,0,0,0,47.37,100,54,74.42,54.24,0,0,100,11,8,16,9,2008-10-18
"2008200920085",32,28,3,5,13,10,58,62,49,45,38,33,3,2,24,13,23,61.6833333333333,"T.B","ATL","14173","1","2008200920085",48.33,56.42,60.31,-4,116.73,52.13,47.66,43.77,4,91.43,53.52,36.96,32.1,5,60,2.92,1.95,1,51.06,101.83,53.33,77.55,65.52,7.89,6.12,93.94,11,12,9,17,2008-10-21
"2008200920111",18,28,7,3,25,12,33,69,25,58,22,45,0,3,13,15,18,60,"T.B","S.J","14177","1","2008200920111",32.35,33,69,-36,102,30.12,25,58,-33,83,32.84,22,45,-23,0,0,3,-3,41.94,93.33,39.13,88,66.67,0,0,93.33,3,13,8,11,2008-10-25
"2008200920128",31,44,6,5,17,8,45,75,34,58,25,39,3,2,19,21,35,59.9833333333333,"T.B","TOR","14180","0","2008200920128",37.5,45.01,75.02,-30,120.03,36.96,34.01,58.02,-24,92.03,39.06,25.01,39.01,-14,60,3,2,1,35.19,106.87,41.33,73.53,55.56,12,8.82,94.87,9,19,11,17,2008-10-28
"2008200920136",30,27,6,3,12,19,59,46,50,40,40,31,5,2,23,16,18,59.95,"T.B","BUF","14182","0","2008200920136",56.19,59.05,46.04,13,105.09,55.56,50.04,40.03,10,90.08,56.34,40.03,31.03,9,71.43,5,2,3,56.1,106.05,52.63,80,67.8,12.5,10,93.55,10,9,9,6,2008-10-30
"2008200920157",31,35,3,4,22,16,57,64,44,48,34,31,2,2,19,24,23,64.95,"T.B","OTT","14184","1","2008200920157",47.11,52.66,59.12,-7,111.78,47.83,40.65,44.34,-4,84.99,52.31,31.41,28.64,3,50,1.85,1.85,0,45.24,99.43,46.97,77.27,59.65,5.88,4.55,93.55,10,17,13,16,2008-11-01
"2008200920178",32,31,2,3,11,8,46,61,34,46,27,38,3,3,16,23,24,64.9666666666667,"T.B","N.J","14188","0","2008200920178",42.99,42.48,56.34,-15,98.82,42.5,31.4,42.48,-12,73.88,41.54,24.94,35.09,-11,50,2.77,2.77,0,40,103.22,50.79,79.41,58.7,11.11,8.82,92.11,7,8,12,15,2008-11-05
"2008200920182",28,32,9,4,38,33,66,65,48,52,38,35,2,5,17,21,22,59.9666666666667,"T.B","NYR","14189","0","2008200920182",50.38,66.04,65.04,1,131.07,48,48.03,52.03,-4,100.06,52.05,38.02,35.02,3,28.57,2,5,-3,43.59,90.98,46.67,79.17,57.58,5.26,4.17,85.71,10,17,18,13,2008-11-06
"2008200920199",30,31,6,8,21,17,46,60,31,48,22,36,2,1,17,24,20,59.9833333333333,"T.B","PHI","14191","0","2008200920199",43.4,46.01,60.02,-14,106.03,39.24,31.01,48.01,-17,79.02,37.93,22.01,36.01,-14,66.67,2,1,1,45.95,106.31,49.18,70.97,47.83,9.09,6.45,97.22,9,12,15,12,2008-11-08
"2008200920214",28,29,3,5,15,20,52,56,44,39,36,30,2,4,22,22,13,59.9666666666667,"T.B","WSH","14193","0","2008200920214",48.15,52.03,56.03,-4,108.06,53.01,44.02,39.02,5,83.05,54.55,36.02,30.02,6,33.33,2,4,-2,62.86,92.22,49.12,81.82,69.23,5.56,4.55,86.67,8,9,8,17,2008-11-10
"2008200920225",35,25,7,6,24,18,44,46,36,41,24,31,0,4,20,15,25,59.9416666666667,"T.B","FLA","14195","0","2008200920225",48.89,44.04,46.04,-2,90.09,46.75,36.04,41.04,-5,77.07,43.64,24.02,31.03,-7,0,0,4,-4,44.44,87.1,58.33,66.67,54.55,0,0,87.1,12,10,8,5,2008-11-12
"2008200920231",21,34,5,4,14,10,29,66,22,54,18,39,3,4,13,25,17,59.95,"T.B","DET","14196","1","2008200920231",30.53,29.02,66.06,-37,95.08,28.95,22.02,54.05,-32,76.06,31.58,18.02,39.03,-21,42.86,3,4,-1,43.33,106.41,38.18,81.82,62.07,16.67,13.64,89.74,4,15,7,12,2008-11-13
"2008200920252",29,27,5,6,32,25,57,67,41,46,28,30,2,2,19,15,22,64.9666666666667,"T.B","CAR","14199","0","2008200920252",45.97,52.64,61.88,-10,114.52,47.13,37.87,42.48,-5,80.35,48.28,25.86,27.71,-2,50,1.85,1.85,0,46.34,100.48,51.79,68.29,49.12,7.14,4.88,93.33,13,16,16,21,2008-11-16
"2008200920265",31,26,5,2,23,15,74,55,65,46,52,36,3,3,23,23,11,65,"T.B","FLA","14201","1","2008200920265",57.36,68.31,50.77,19,119.08,58.56,60,42.46,19,102.46,59.09,48,33.23,16,50,2.77,2.77,0,67.65,97.44,54.39,80,70.27,5.77,4.62,91.67,13,10,9,9,2008-11-18
"2008200920283",25,32,7,6,16,13,44,55,33,42,24,35,4,1,14,18,25,60,"T.B","NSH","14204","1","2008200920283",44.44,44,55,-11,99,44,33,42,-9,75,40.68,24,35,-11,80,4,1,3,35.9,113.81,43.86,72.73,54.55,16.67,12.12,97.14,9,7,11,13,2008-11-21
"2008200920298",28,30,2,4,23,18,49,70,38,62,29,45,3,7,17,24,17,59.9583333333333,"T.B","N.J","14206","1","2008200920298",41.18,49.03,70.05,-21,119.08,38,38.03,62.04,-24,100.07,39.19,29.02,45.03,-16,30,3,7,-4,50,94.79,48.28,76.32,59.18,10.34,7.89,84.44,9,17,11,8,2008-11-23
"2008200920314",35,24,9,9,26,11,51,60,43,46,29,35,2,2,21,20,18,64.95,"T.B","NYR","14209","1","2008200920314",45.95,47.11,55.43,-9,102.54,48.31,39.72,42.49,-3,82.22,45.31,26.79,32.33,-6,50,1.85,1.85,0,53.85,101.18,59.32,67.44,56.86,6.9,4.65,94.29,14,11,8,14,2008-11-26
"2008200920325",29,24,3,6,16,11,61,58,48,49,37,33,2,4,23,15,15,59.95,"T.B","MIN","14211","0","2008200920325",51.26,61.05,58.05,3,119.1,49.48,48.04,49.04,-1,97.08,52.86,37.03,33.03,4,33.33,2,4,-2,60.53,93.28,54.72,77.08,60.66,5.41,4.17,87.88,11,16,13,9,2008-11-28
