"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920005",21,38,3,2,17,19,42,60,33,49,29,37,3,2,19,18,22,59.9833333333333,"TOR","DET","14161","0","2008200920005",41.18,42.01,60.02,-18,102.03,40.24,33.01,49.01,-16,82.02,43.94,29.01,37.01,-8,60,3,2,1,46.34,104.94,35.59,87.88,69.05,10.34,9.09,94.59,4,12,9,11,2008-10-09
"2008200920016",29,40,9,6,28,35,51,71,42,51,25,34,1,6,20,30,19,60,"TOR","MTL","14163","1","2008200920016",41.8,51,71,-20,122,45.16,42,51,-9,93,42.37,25,34,-9,14.29,1,6,-5,51.28,86.35,42.03,59.52,49.02,4,2.38,82.35,17,17,9,20,2008-10-11
"2008200920032",30,31,7,7,13,8,79,56,59,39,39,26,4,4,24,25,12,64.9833333333333,"TOR","STL","14165","1","2008200920032",58.52,72.94,51.71,23,124.65,60.2,54.48,36.01,20,90.48,60,36.01,24.01,13,50,3.69,3.69,0,66.67,94.87,49.18,66.1,49.37,10.26,6.78,84.62,20,13,20,17,2008-10-13
"2008200920057",33,24,9,5,32,42,43,76,33,57,21,32,0,0,13,17,27,64.9833333333333,"TOR","NYR","14169","0","2008200920057",36.13,39.7,70.17,-33,109.87,36.67,30.47,52.63,-24,83.1,39.62,19.39,29.55,-11,NA,0,0,0,32.5,100,57.89,63.64,48.84,0,0,100,12,25,10,19,2008-10-17
"2008200920066",22,34,4,6,24,27,59,51,40,36,27,25,1,4,21,20,15,60,"TOR","PIT","14170","0","2008200920066",53.64,59,51,8,110,52.63,40,36,4,76,51.92,27,25,2,20,1,4,-3,58.33,87.7,39.29,67.5,45.76,3.7,2.5,84,13,11,19,15,2008-10-18
"2008200920083",35,24,1,4,19,24,83,52,63,32,38,21,2,2,23,23,13,65,"TOR","ANA","14173","1","2008200920083",61.48,76.62,48,31,124.62,66.32,58.15,29.54,31,87.69,64.41,35.08,19.38,17,50,1.85,1.85,0,63.89,95.74,59.32,60.32,45.78,5.26,3.17,90.48,25,11,20,20,2008-10-21
"2008200920092",33,32,4,7,15,23,57,58,47,39,37,28,4,2,22,21,22,60,"TOR","BOS","14175","0","2008200920092",49.57,57,58,-1,115,54.65,47,39,8,86,56.92,37,28,9,66.67,4,2,2,50,103.67,50.77,78.72,64.91,10.81,8.51,92.86,10,11,10,19,2008-10-23
"2008200920106",33,21,3,7,23,28,64,48,49,32,38,24,3,2,20,22,12,59.9833333333333,"TOR","OTT","14177","1","2008200920106",57.14,64.02,48.01,16,112.03,60.49,49.01,32.01,17,81.02,61.29,38.01,24.01,14,60,3,2,1,62.5,99.56,61.11,77.55,59.38,7.89,6.12,91.67,11,8,15,16,2008-10-25
"2008200920128",44,31,5,6,8,17,75,45,58,34,39,25,2,3,35,21,19,59.9833333333333,"TOR","T.B","14180","1","2008200920128",62.5,75.02,45.01,30,120.03,63.04,58.02,34.01,24,92.03,60.94,39.01,25.01,14,40,2,3,-1,64.81,93.13,58.67,67.24,52,5.13,3.45,88,19,9,17,11,2008-10-28
"2008200920133",42,34,4,6,12,10,71,59,57,45,48,31,5,5,19,30,27,64.9833333333333,"TOR","N.J","14181","0","2008200920133",54.62,65.56,54.48,12,120.03,55.88,52.63,41.55,12,94.18,60.76,44.32,28.62,17,50,4.62,4.62,0,41.3,94.29,55.26,84.21,67.61,10.42,8.77,83.87,9,14,14,14,2008-10-29
