"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920007",30,33,8,11,18,12,47,53,36,38,23,25,6,0,20,19,24,60,"VAN","CGY","14161","1","2008200920007",47,47,53,-6,100,48.65,36,38,-2,74,47.92,23,25,-2,100,6,0,6,45.45,126.09,47.62,63.89,48.94,26.09,16.67,100,13,13,11,15,2008-10-09
"2008200920026",36,38,11,10,20,30,53,58,43,44,34,29,5,4,19,23,32,63.8833333333333,"VAN","CGY","14163","0","2008200920026",47.75,49.78,54.47,-5,104.25,49.43,40.39,41.33,-1,81.71,53.97,31.93,27.24,5,55.56,4.7,3.76,1,37.25,100.91,48.65,79.07,64.15,14.71,11.63,86.21,9,15,10,14,2008-10-11
"2008200920036",30,29,4,4,26,17,42,63,30,45,10,35,1,5,21,19,19,59.95,"VAN","WSH","14165","0","2008200920036",40,42.04,63.05,-21,105.09,40,30.03,45.04,-15,75.06,22.22,10.01,35.03,-25,16.67,1,5,-4,52.5,95.71,50.85,33.33,23.81,10,3.33,85.71,20,10,12,18,2008-10-13
"2008200920053",24,34,6,5,14,22,50,70,39,52,29,35,4,3,15,23,20,60.4333333333333,"VAN","DET","14168","0","2008200920053",41.67,49.64,69.5,-20,119.14,42.86,38.72,51.63,-13,90.35,45.31,28.79,34.75,-6,57.14,3.97,2.98,1,42.86,105.22,41.38,74.36,58,13.79,10.26,91.43,10,17,11,18,2008-10-16
"2008200920059",24,24,8,5,17,25,50,55,36,39,25,31,2,5,15,20,13,59.9666666666667,"VAN","BUF","14169","0","2008200920059",47.62,50.03,55.03,-5,105.06,48,36.02,39.02,-3,75.04,44.64,25.01,31.02,-6,28.57,2,5,-3,53.57,91.87,50,69.44,50,8,5.56,83.87,11,8,14,16,2008-10-17
"2008200920076",22,24,9,10,14,22,53,35,34,32,30,26,2,4,17,18,11,59.9666666666667,"VAN","CHI","14171","0","2008200920076",60.23,53.03,35.02,18,88.05,51.52,34.02,32.02,2,66.04,53.57,30.02,26.01,4,33.33,2,4,-2,60.71,91.28,47.83,88.24,56.6,6.67,5.88,84.62,4,6,19,3,2008-10-19
"2008200920084",28,22,6,7,28,22,40,52,31,41,25,33,2,4,15,16,19,59.9833333333333,"VAN","CBJ","14173","0","2008200920084",43.48,40.01,52.01,-12,92.03,43.06,31.01,41.01,-10,72.02,43.1,25.01,33.01,-8,33.33,2,4,-2,44.12,95.88,56,80.65,62.5,8,6.45,87.88,6,8,9,11,2008-10-21
"2008200920118",38,27,7,10,8,21,52,54,42,42,30,28,6,3,18,21,26,59.9833333333333,"VAN","EDM","14177","1","2008200920118",49.06,52.01,54.02,-2,106.03,50,42.01,42.01,0,84.02,51.72,30.01,28.01,2,66.67,6,3,3,40.91,109.29,58.46,71.43,57.69,20,14.29,89.29,12,14,10,12,2008-10-25
"2008200920131",30,27,2,3,10,19,61,46,43,35,31,30,0,1,21,16,20,60,"VAN","BOS","14180","1","2008200920131",57.01,61,46,15,107,55.13,43,35,8,78,50.82,31,30,1,0,0,1,-1,51.22,96.67,52.63,72.09,50.82,0,0,96.67,12,5,18,11,2008-10-28
"2008200920146",26,23,8,7,17,29,38,53,30,41,18,28,4,0,11,13,25,59.9666666666667,"VAN","L.A","14182","0","2008200920146",41.76,38.02,53.03,-15,91.05,42.25,30.02,41.02,-11,71.04,39.13,18.01,28.02,-10,100,4,0,4,30.56,122.22,53.06,60,47.37,22.22,13.33,100,12,13,8,12,2008-10-30
