"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920013",29,44,12,10,20,16,58,41,48,32,42,31,4,7,28,22,23,59.9666666666667,"WSH","ATL","14162","0","2008200920013",58.59,58.03,41.02,17,99.06,60,48.03,32.02,16,80.04,57.53,42.02,31.02,11,36.36,4,7,-3,54.9,86.94,39.73,87.5,72.41,9.52,8.33,77.42,6,1,10,9,2008-10-10
"2008200920020",24,24,5,5,17,21,59,47,44,36,34,21,4,2,12,21,15,60,"WSH","CHI","14163","1","2008200920020",55.66,59,47,12,106,55,44,36,8,80,61.82,34,21,13,66.67,4,2,2,44.44,102.24,50,77.27,57.63,11.76,9.09,90.48,10,15,15,11,2008-10-11
"2008200920036",29,30,4,4,17,26,63,42,45,30,35,10,5,1,19,19,21,59.95,"WSH","VAN","14165","1","2008200920036",60,63.05,42.04,21,105.09,60,45.04,30.03,15,75.06,77.78,35.03,10.01,25,83.33,5,1,4,47.5,104.29,49.15,77.78,55.56,14.29,11.11,90,10,20,18,12,2008-10-13
"2008200920050",27,26,7,5,16,10,66,48,40,36,30,26,4,3,19,16,18,60,"WSH","PIT","14168","0","2008200920050",57.89,66,48,18,114,52.63,40,36,4,76,53.57,30,26,4,57.14,4,3,1,51.35,101.79,50.94,75,45.45,13.33,10,88.46,10,10,26,12,2008-10-16
"2008200920067",35,30,4,8,14,18,58,58,43,45,27,37,3,3,20,20,25,64.9833333333333,"WSH","N.J","14170","1","2008200920067",50,53.55,53.55,0,107.1,48.86,39.7,41.55,-2,81.25,42.19,24.93,34.16,-10,50,2.77,2.77,0,44.44,103,53.85,62.79,46.55,11.11,6.98,91.89,16,8,15,13,2008-10-18
"2008200920086",20,27,10,6,24,24,54,51,45,41,31,28,1,2,14,11,22,60,"WSH","CGY","14173","0","2008200920086",51.43,54,51,3,105,52.33,45,41,4,86,52.54,31,28,3,33.33,1,2,-1,38.89,96.08,42.55,68.89,57.41,3.23,2.22,92.86,14,13,9,10,2008-10-21
"2008200920098",43,24,4,4,15,23,61,61,46,50,32,34,1,2,22,20,25,59.9166666666667,"WSH","PHX","14175","0","2008200920098",50,61.08,61.08,0,122.17,47.92,46.06,50.07,-4,96.13,48.48,32.04,34.05,-2,33.33,1,2,-1,46.81,97.24,64.18,69.57,52.46,3.12,2.17,94.12,14,16,15,11,2008-10-23
"2008200920114",32,30,5,5,12,35,55,55,40,45,30,33,6,5,16,24,22,62.2833333333333,"WSH","DAL","14177","0","2008200920114",50,52.98,52.98,0,105.97,47.06,38.53,43.35,-5,81.88,47.62,28.9,31.79,-3,54.55,5.78,4.82,1,42.11,104.85,51.61,75,54.55,20,15,84.85,10,12,15,10,2008-10-25
"2008200920126",32,32,7,5,14,20,61,47,43,33,32,26,3,3,20,26,18,64.9833333333333,"WSH","NSH","14180","1","2008200920126",56.48,56.32,43.4,14,99.72,56.58,39.7,30.47,10,70.17,55.17,29.55,24.01,6,50,2.77,2.77,0,52.63,97.84,50,74.42,52.46,9.38,6.98,88.46,11,7,18,14,2008-10-28
"2008200920152",29,27,8,5,18,16,56,45,39,38,29,27,0,5,17,21,18,60,"WSH","BUF","14184","0","2008200920152",55.45,56,45,11,101,50.65,39,38,1,77,51.79,29,27,2,0,0,5,-5,48.57,81.48,51.79,74.36,51.79,0,0,81.48,10,11,17,7,2008-11-01
